,M_ac_e,M_ca2_e,M_cit_e,M_co2_e,M_fe2_e,M_fe3_e,M_for_e,M_gly_e,M_h2_e,M_h2o_e,M_h_e,M_ile__45__L_e,M_k_e,M_leu__45__L_e,M_lys__45__L_e,M_mg2_e,M_nh4_e,M_pi_e,M_pro__45__L_e,M_so4_e,M_val__45__L_e,objective,virtual_tag_R_constraint_reaction,M_mal__45__L_e
0,0.0,-0.00047252885035146535,0.0,12.714907333736692,253.0808292307449,-253.0808292307449,0.0,3.7477497600284013,-121.68432540177331,11.177810992517031,239.91580089844857,0.0,-0.11151684686598128,0.0,0.0,-0.016065986438444386,-7.158607292609404,-0.8932562855615842,0.0,-0.08397438305247136,0.0,0.5024085968307708,1.0,-10.0
1,0.0,-0.0004725288503514771,0.0,13.966783505904292,221.78392492656835,-221.78392492656835,0.0,3.1218116739447677,-104.15805899143389,9.925934820349934,207.99295850818794,0.0,-0.1115168468659316,0.0,0.0,-0.01606598643844479,-6.532669206525952,-0.8932562855615668,0.0,-0.08397438305245321,0.0,0.5024085968307948,1.0,-10.0
2,0.0,-0.00047252885035148074,0.0,0.0,621.8131419091304,-621.8131419091304,0.0,10.105203426897052,-325.1228427415717,23.89271832625435,615.0055672437022,0.0,-0.11151684686600283,0.0,0.0,-0.01606598643844491,-13.516060959478088,-0.8932562855614392,0.0,-0.0839743830524741,0.0,0.5024085968305793,1.0,-10.0
3,0.0,-0.000472528850351487,0.0,0.0,197.39459797945472,-197.39459797945472,20.21040685379447,0.0,-102.80836734983671,3.682311472460379,200.69222674092353,0.0,-0.11151684686598419,0.0,0.0,-0.016065986438445125,-3.4108575325812214,-0.8932562855615975,0.0,-0.08397438305245256,0.0,0.5024085968307399,1.0,-10.0
4,0.0,-0.00047252885035147755,0.0,5.219407813680032,155.63933547001037,-155.63933547001037,14.99099904011398,0.0,-76.71132828143445,3.6823114724602917,153.7175564177991,0.0,-0.11151684686599245,0.0,0.0,-0.0160659864384448,-3.410857532581129,-0.8932562855615952,0.0,-0.08397438305246459,0.0,0.5024085968307521,1.0,-10.0
5,0.0,-0.00047252885035148167,0.0,10.109272520341719,152.5473832156387,-152.5473832156387,4.135853427635005,0.0,-78.62688071573137,13.226760921768262,140.9635147321118,0.0,-0.1115168468659795,0.0,0.0,-0.01606598643844494,-4.603913713744638,-0.8932562855616535,0.0,-0.08397438305242248,1.1930561811634468,0.5024085968307908,1.0,-10.0
6,0.0,-0.00047252885035146074,0.0,14.24512594797612,152.5473832156319,-152.5473832156319,0.0,0.0,-74.49102728809302,13.226760921767703,136.82766130447067,0.0,-0.11151684686594623,0.0,0.0,-0.01606598643844423,-4.603913713744473,-0.893256285561593,0.0,-0.08397438305241957,1.193056181163426,0.5024085968307712,1.0,-10.0
7,0.0,-0.00047252885035146356,0.0,12.177199234158785,179.4304304952596,-179.4304304952596,0.0,1.0339633569087177,-91.034440998633,15.294687635585179,164.74467194100697,0.0,-0.11151684686598305,0.0,0.0,-0.01606598643844433,-5.637877070653193,-0.8932562855616151,0.0,-0.08397438305246765,1.193056181163447,0.5024085968307183,1.0,-10.0
8,0.0,-0.0004725288503514794,0.0,7.723160158014674,140.61682140400305,-140.61682140400305,12.487246695779382,0.0,-66.69631890409613,3.682311472460286,136.1912900074571,0.0,-0.11151684686598501,0.0,0.0,-0.01606598643844486,-3.410857532581119,-0.8932562855616011,0.0,-0.08397438305242574,0.0,0.5024085968307686,1.0,-10.0
9,0.0,-0.000472528850351459,0.0,7.72316015801434,154.93349557795824,-154.93349557795824,2.942797246471389,0.0,-78.62688071572761,10.84064855944077,145.73573945675878,0.0,-0.11151684686597697,0.0,0.0,-0.01606598643844417,-3.4108575325810184,-0.893256285561571,0.0,-0.08397438305244173,0.0,0.5024085968307249,1.0,-7.613887637673145
