pattern,mu,min_fraction,max_fraction
mEmC_1,0.0,0.0,1.0
mEmC_1,0.01367087755102041,0.0,0.9864436349904337
mEmC_1,0.02734175510204082,0.0,0.9726962974158828
mEmC_1,0.04101263265306123,0.0,0.9587539232200468
mEmC_1,0.05468351020408164,0.0,0.9446123322056457
mEmC_1,0.06835438775510205,0.0,0.9302672238587901
mEmC_1,0.08202526530612246,0.0,0.9157141729872119
mEmC_1,0.09569614285714287,0.0,0.900948625169298
mEmC_1,0.10936702040816328,0.0,0.88596589200235
mEmC_1,0.12303789795918368,0.0,0.870761146139636
mEmC_1,0.1367087755102041,0.0,0.8553294161027905
mEmC_1,0.1503796530612245,0.0,0.8396655808647733
mEmC_1,0.16405053061224492,0.0,0.8237643641825436
mEmC_1,0.17772140816326532,0.0,0.8076203286718296
mEmC_1,0.19139228571428574,0.0,0.7912278696078292
mEmC_1,0.20506316326530613,0.0,0.7745812084379471
mEmC_1,0.21873404081632655,0.0,0.7576743859908041
mEmC_1,0.23240491836734697,0.0,0.740501255361625
mEmC_1,0.24607579591836737,0.0,0.7230554744633024
mEmC_1,0.2597466734693878,0.0,0.7053304982157587
mEmC_1,0.2734175510204082,0.0,0.6873195703599408
mEmC_1,0.2870884285714286,0.0,0.6690157148693545
mEmC_1,0.300759306122449,0.0,0.6504117269445698
mEmC_1,0.3144301836734694,0.0,0.6315001635543127
mEmC_1,0.32810106122448984,0.0,0.6122733335080048
mEmC_1,0.34177193877551026,0.0,0.5927232870268772
mEmC_1,0.35544281632653063,0.0,0.5728418047838688
mEmC_1,0.36911369387755105,0.0,0.5526203863814989
mEmC_1,0.3827845714285715,0.0,0.532050238233742
mEmC_1,0.3964554489795919,0.0,0.5111222608174331
mEmC_1,0.41012632653061226,0.0,0.4898270352475175
mEmC_1,0.4237972040816327,0.0,0.4681548091417477
mEmC_1,0.4374680816326531,0.0,0.44609548173666413
mEmC_1,0.4511389591836735,0.0,0.42363858818074207
mEmC_1,0.46480983673469395,0.0,0.40077328298635584
mEmC_1,0.4784807142857143,0.0,0.37748832256332066
mEmC_1,0.49215159183673474,0.0,0.3537720467838005
mEmC_1,0.5058224693877551,0.0,0.3296123595124776
mEmC_1,0.5194933469387756,0.0,0.304996708035159
mEmC_1,0.533164224489796,0.0,0.27991206131039625
mEmC_1,0.5468351020408164,0.0,0.25434488696770796
mEmC_1,0.5605059795918368,0.0,0.22828112696357572
mEmC_1,0.5741768571428572,0.0,0.2017061718069243
mEmC_1,0.5878477346938776,0.0,0.17460483325135856
mEmC_1,0.601518612244898,0.0,0.14696131534980517
mEmC_1,0.6151894897959185,0.0,0.11875918375360728
mEmC_1,0.6288603673469388,0.0,0.08998133313171053
mEmC_1,0.6425312448979592,0.0,0.06060995257380908
mEmC_1,0.6562021224489797,0.0,0.03062648883086938
mEmC_1,0.669873,0.0,1.1607232738963802e-05
mEmC_2,0.0,0.0,1.0
mEmC_2,0.02050630612244898,0.0,0.9802064003224984
mEmC_2,0.04101261224489796,0.0,0.961181165122509
mEmC_2,0.061518918367346936,0.0,0.9428804057328268
mEmC_2,0.08202522448979592,0.0,0.9252635135710281
mEmC_2,0.1025315306122449,0.0,0.9082928593322734
mEmC_2,0.12303783673469387,0.0,0.8919335246892851
mEmC_2,0.14354414285714287,0.0,0.8761530624735837
mEmC_2,0.16405044897959184,0.0,0.8609212818719891
mEmC_2,0.1845567551020408,0.0,0.8462100556462007
mEmC_2,0.2050630612244898,0.0,0.8319931467854369
mEmC_2,0.22556936734693878,0.0,0.8182460523444737
mEmC_2,0.24607567346938775,0.0,0.8049458625117022
mEmC_2,0.2665819795918367,0.0,0.7920711332020272
mEmC_2,0.28708828571428574,0.0,0.7796017706841769
mEmC_2,0.3075945918367347,0.0,0.7675189269368018
mEmC_2,0.3281008979591837,0.0,0.7558049045871453
mEmC_2,0.34860720408163265,0.0,0.7405014017787803
mEmC_2,0.3691135102040816,0.0,0.7230556319641899
mEmC_2,0.38961981632653064,0.0,0.7053306671381001
mEmC_2,0.4101261224489796,0.0,0.6873197510528768
mEmC_2,0.4306324285714286,0.0,0.6690159076955511
mEmC_2,0.45113873469387755,0.0,0.6504119322787962
mEmC_2,0.4716450408163265,0.0,0.6315003817856051
mEmC_2,0.4921513469387755,0.0,0.6122735650394714
mEmC_2,0.5126576530612245,0.0,0.5927235322770085
mEmC_2,0.5331639591836734,0.0,0.572842064186426
mEmC_2,0.5536702653061225,0.0,0.5526206603867202
mEmC_2,0.5741765714285715,0.0,0.5320505273091117
mEmC_2,0.5946828775510205,0.0,0.5111225654473953
mEmC_2,0.6151891836734694,0.0,0.48982735593517923
