,M_ca2_e,M_cit_e,M_co2_e,M_fe2_e,M_fe3_e,M_for_e,M_h2_e,M_h2o_e,M_h_e,M_k_e,M_mg2_e,M_n2_e,M_pi_e,M_so4_e,objective,virtual_tag_R_constraint_reaction,M_mal__45__L_e
1,-0.0007006521875288283,0.0,0.0,641.2524840694363,-641.2524840694363,10.656560508673762,-343.9637228303641,19.943162616742864,631.4291669825212,-0.16535397287353668,-0.02382218257050733,-2.528760719874094,-1.324494726696762,-0.12451479975949653,0.7449570161501834,1.0,-10.0
2,-0.0007006521875289523,1.7760934181126407,0.0,960.9492993298251,-960.9492993298251,0.0,-509.1404107149005,28.823629707309568,945.7977019885705,-0.16535397287356593,-0.02382218257051155,-2.5287607198745365,-1.3244947266967282,-0.12451479975951858,0.7449570161504016,1.0,-10.0
5,-0.0007006521875288504,0.0,0.0,881.0250955146282,-881.0250955146282,0.0,-469.1783088072979,27.935582998249117,865.8734981733758,-0.1653539728735419,-0.023822182570508086,-2.528760719873942,-1.3244947266968152,-0.12451479975950047,0.7449570161501193,1.0,-7.335859872831492
11,-0.000700652187528902,0.0,10.65656050867498,556.000000000103,-556.000000000103,0.0,-290.68092028702495,19.94316261674502,535.5201224045119,-0.1653539728735541,-0.02382218257050985,-2.528760719874206,-1.3244947266969411,-0.12451479975950967,0.7449570161503517,1.0,-10.0
