,M_ac_e,M_co2_e,M_fe2_e,M_glu__45__L_e,M_glyclt_e,M_h2o_e,M_h_e,M_hom__45__L_e,M_mal__45__L_e,M_nh4_e,M_o2_e,M_orot_e,M_pi_e,M_pro__45__L_e,M_pyr_e,M_so4_e,M_succ_e,objective,virtual_tag_R_constraint_reaction,M_fum_e
3,0.0,6.097745377664226,-1.1387928194830891e-05,0.0,0.0,0.0,-6.7608546219903225,0.0,4.906004784988909,-3.6547763617314377,-0.2819856450333074,0.0,-0.3119639194207783,0.0,0.0,-0.08373376132126839,0.0,0.33493906455384936,1.0,-10.0
6,0.0,5.721764517619807,-1.1387928194830881e-05,0.0,0.0,0.0,-6.854849837001417,0.0,4.718014354966697,-3.654776361731434,0.0,0.0,-0.3119639194207777,0.0,0.0,-0.08373376132126728,0.0,0.33493906455384886,1.0,-9.718014354966693
9,0.0,5.721764517619805,-1.1387928194830876e-05,0.0,0.18758555270373234,0.0,-6.8548498370014155,0.0,4.530428802262961,-3.6547763617314324,0.0,0.0,-0.31196391942077584,0.0,0.0,-0.08373376132126754,0.0,0.334939064553848,1.0,-9.624221578614824
12,0.0,6.097745377664226,-1.1387928194830891e-05,0.0,0.0,0.0,-7.042840267023632,0.0,4.34203349492229,-3.6547763617314377,0.0,0.0,-0.3119639194207783,0.0,0.0,-0.08373376132126839,0.5639712900666173,0.33493906455384936,1.0,-10.0
15,0.0,6.473321360390155,-1.1387928194830873e-05,0.0,0.5633639740889093,0.0,-7.230628258386591,0.0,3.4030935381074316,-3.6547763617314297,0.0,0.0,-0.3119639194207764,0.0,0.0,-0.08373376132126624,1.1273352641555272,0.3349390645538488,1.0,-10.0
17,0.0,5.984951119650892,-1.1387928194830873e-05,0.0,0.0,0.0,-7.155634525036942,0.0,4.793210526975576,-3.7675706197447543,0.0,0.0,-0.3119639194207757,0.11279425801332325,0.0,-0.08373376132126747,0.0,0.33493906455384725,1.0,-10.0
19,0.0,6.050570636331834,-1.1387928194830871e-05,0.0,0.14061325003058608,0.0,-7.23062825838659,0.0,4.671345710282401,-3.7956932697508727,0.0,0.0,-0.31196391942077706,0.1409169080194394,0.0,-0.08373376132126786,0.0,0.3349390645538475,1.0,-10.0
22,0.0,6.097745377664223,-1.1387928194830885e-05,0.0,0.0,0.0,-7.3248259120569355,0.2819856450333082,4.624019139955597,-3.9367620067647437,0.0,0.0,-0.31196391942077645,0.0,0.0,-0.08373376132126722,0.0,0.3349390645538473,1.0,-10.0
25,0.0,6.473321360390165,-1.138792819483089e-05,0.0,0.5633639740889104,0.0,-7.794295890464364,0.5636676320777649,3.966761170185202,-4.218443993809202,0.0,0.0,-0.31196391942077667,0.0,0.0,-0.08373376132126678,0.0,0.33493906455384875,1.0,-10.0
28,0.0,6.473321360390155,-1.1387928194830873e-05,0.0,0.5633639740889093,0.0,-6.666960626308825,0.0,4.530428802262959,-3.6547763617314297,-0.5636676320777636,0.0,-0.3119639194207764,0.0,0.0,-0.08373376132126624,0.0,0.3349390645538488,1.0,-10.0
30,0.0,5.721764517619807,-1.1387928194830878e-05,0.0,0.0,-0.28198564503330725,-6.854849837001416,0.0,5.000000000000007,-3.6547763617314333,0.0,0.0,-0.31196391942077606,0.0,0.0,-0.08373376132126704,0.0,0.3349390645538493,1.0,-10.0
32,0.0,5.721764517619807,-1.1387928194830878e-05,0.0,0.1875855527037326,-0.3757784213851754,-6.854849837001417,0.0,4.906207223648138,-3.6547763617314333,0.0,0.0,-0.3119639194207764,0.0,0.0,-0.08373376132126717,0.0,0.3349390645538476,1.0,-10.0
34,0.0,5.587485639032519,-1.1387928194830885e-05,0.0,0.0,0.0,-6.74742673413159,0.0,4.932860560706365,-3.815911016036183,0.0,0.08056732715237189,-0.31196391942077617,0.0,0.0,-0.08373376132126836,0.0,0.33493906455384864,1.0,-10.0
37,0.0,5.550956144262903,-1.1387928194830866e-05,0.0,0.15342387803235383,0.0,-6.718203138315893,0.0,4.8378838743053745,-3.8597464097597074,0.0,0.10248502401413853,-0.31196391942077634,0.0,0.0,-0.08373376132126657,0.0,0.33493906455384753,1.0,-10.0
38,0.5382435442473715,6.456574407162473,-1.1387928194830893e-05,0.0,0.0,0.0,-6.9402691367394445,0.0,4.54717575549066,-3.654776361731438,-0.2819856450333082,0.0,-0.3119639194207783,0.0,0.0,-0.08373376132126713,0.0,0.33493906455384787,1.0,-10.0
39,0.5466170208612178,6.473321360390155,-1.1387928194830873e-05,0.0,0.016746953227691475,0.0,-6.940269136739433,0.0,4.530428802262959,-3.6547763617314297,-0.2903591216471547,0.0,-0.3119639194207764,0.0,0.0,-0.08373376132126624,0.0,0.3349390645538488,1.0,-10.0
44,0.2562578992140627,5.892603117095848,-1.1387928194830873e-05,0.0,0.0,0.0,-6.9402691367394365,0.0,4.5471757554906524,-3.6547763617314324,0.0,0.0,-0.31196391942077634,0.0,0.0,-0.08373376132126853,0.0,0.3349390645538483,1.0,-9.718014354966693
45,0.2562578992140619,5.892603117095845,-1.1387928194830871e-05,0.0,0.016746953227691607,0.0,-6.940269136739435,0.0,4.530428802262959,-3.654776361731432,0.0,0.0,-0.3119639194207765,0.0,0.0,-0.08373376132126777,0.0,0.3349390645538484,1.0,-9.709640878352845
50,0.5382435442473715,6.456574407162473,-1.1387928194830893e-05,0.0,0.0,0.0,-7.222254781772755,0.0,3.983204465424042,-3.654776361731438,0.0,0.0,-0.3119639194207783,0.0,0.0,-0.08373376132126713,0.5639712900666188,0.33493906455384787,1.0,-10.0
51,0.5466170208612178,6.473321360390155,-1.1387928194830873e-05,0.0,0.016746953227691475,0.0,-7.230628258386591,0.0,3.9497105589686496,-3.6547763617314297,0.0,0.0,-0.3119639194207764,0.0,0.0,-0.08373376132126624,0.5807182432943094,0.3349390645538488,1.0,-10.0
56,0.0,5.918330862915097,-1.138792819483088e-05,0.0,0.0,0.0,-7.209390908863125,0.0,4.547175755490657,-3.654776361731434,-0.012863872909622393,0.0,-0.3119639194207765,0.0,0.5382435442473716,-0.08373376132126635,0.0,0.33493906455384764,1.0,-10.0
57,0.0,5.926704339528941,-1.1387928194830874e-05,0.0,0.01674695322769206,0.0,-7.213577647170046,0.0,4.530428802262962,-3.6547763617314324,-0.017050611216543925,0.0,-0.31196391942077706,0.0,0.5466170208612172,-0.0837337613212668,0.0,0.33493906455384836,1.0,-10.0
58,0.0,5.892603117095856,-1.1387928194830891e-05,0.0,0.0,0.0,-7.196527035953511,0.0,4.547175755490661,-3.654776361731438,0.0,0.0,-0.3119639194207773,0.0,0.512515798428126,-0.08373376132126817,0.0,0.33493906455384787,1.0,-9.974272254180756
59,0.0,5.892603117095856,-1.138792819483089e-05,0.0,0.016746953227690403,0.0,-7.19652703595351,0.0,4.530428802262968,-3.654776361731436,0.0,0.0,-0.31196391942077684,0.0,0.5125157984281257,-0.08373376132126677,0.0,0.33493906455384814,1.0,-9.96589877756691
60,0.0,5.918330862915097,-1.138792819483088e-05,0.0,0.0,0.0,-7.22225478177275,0.0,4.52144800967141,-3.654776361731434,0.0,0.0,-0.3119639194207765,0.0,0.5382435442473716,-0.08373376132126635,0.025727745819244786,0.33493906455384764,1.0,-10.0
61,0.0,5.926704339528941,-1.1387928194830874e-05,0.0,0.01674695322769206,0.0,-7.2306282583865915,0.0,4.496327579829869,-3.6547763617314324,0.0,0.0,-0.31196391942077706,0.0,0.5466170208612172,-0.0837337613212668,0.03410122243309022,0.33493906455384836,1.0,-10.0
62,0.0,5.918330862915097,-1.138792819483088e-05,0.0,0.0,0.0,-7.22225478177275,0.0,4.56003962840028,-3.667640234641057,0.0,0.0,-0.3119639194207765,0.012863872909622393,0.4996519255185022,-0.08373376132126635,0.0,0.33493906455384764,1.0,-10.0
63,0.0,5.926704339528941,-1.1387928194830874e-05,0.0,0.01674695322769206,0.0,-7.2306282583865915,0.0,4.5474794134795085,-3.6718269729479784,0.0,0.0,-0.31196391942077706,0.017050611216543925,0.4954651872115784,-0.0837337613212668,0.0,0.33493906455384836,1.0,-10.0
64,0.0,5.918330862915096,-1.1387928194830878e-05,0.0,0.0,0.0,-7.23511865468237,0.01286387290962152,4.534311882581032,-3.667640234641057,0.0,0.0,-0.3119639194207759,0.0,0.5382435442473709,-0.08373376132126828,0.0,0.3349390645538473,1.0,-10.0
65,0.0,5.926704339528939,-1.1387928194830874e-05,0.0,0.016746953227691513,0.0,-7.247678869603138,0.01705061121654525,4.513378191046416,-3.6718269729479784,0.0,0.0,-0.3119639194207758,0.0,0.5466170208612166,-0.08373376132126682,0.0,0.3349390645538492,1.0,-10.0
66,0.0,5.892603117095848,-1.1387928194830878e-05,0.0,0.0,-0.025727745819243836,-7.196527035953501,0.0,4.5729035013098995,-3.654776361731432,0.0,0.0,-0.31196391942077695,0.0,0.5125157984281257,-0.08373376132126806,0.0,0.33493906455384787,1.0,-10.0
67,0.0,5.892603117095847,-1.1387928194830873e-05,0.0,0.016746953227690403,-0.03410122243309213,-7.196527035953498,0.0,4.564530024696053,-3.6547763617314324,0.0,0.0,-0.31196391942077584,0.0,0.512515798428126,-0.08373376132126688,0.0,0.3349390645538482,1.0,-10.0
68,0.0,5.875451286549682,-1.1387928194830871e-05,0.0,0.0,0.0,-7.179375205407331,0.0,4.572903501309898,-3.671928192277595,0.0,0.008575915273080569,-0.31196391942077767,0.0,0.5039398831550428,-0.08373376132126673,0.0,0.33493906455384753,1.0,-10.0
69,0.0,5.86986896880712,-1.1387928194830874e-05,0.0,0.01674695322769227,0.0,-7.1737928876647725,0.0,4.5645300246960545,-3.677510510020161,0.0,0.01136707414436338,-0.3119639194207767,0.0,0.5011487242837619,-0.08373376132126802,0.0,0.3349390645538478,1.0,-10.0
98,0.0,6.91763471395211,-1.1387928194830896e-05,0.0,0.0,0.9993038510370074,-8.221558632809765,0.0,4.060387702881779,-4.167292160159565,0.0,0.0,-0.31196391942077584,0.5125157984281256,0.0,-0.08373376132126693,0.0,0.3349390645538495,1.0,-10.0
99,0.0,6.91763471395211,-1.1387928194830896e-05,0.0,0.016746953227691944,0.9909303744231612,-8.221558632809765,0.0,4.052014226267932,-4.167292160159565,0.0,0.0,-0.31196391942077584,0.5125157984281256,0.0,-0.08373376132126693,0.0,0.3349390645538495,1.0,-10.0
104,0.19986077020739942,6.118191633122495,-1.1387928194830878e-05,0.0,0.0,0.0,-7.222254781772747,0.0,4.659970013503979,-3.7675706197447583,0.0,0.0,-0.31196391942077806,0.11279425801332141,0.0,-0.08373376132126822,0.0,0.3349390645538474,1.0,-10.0
105,0.1981860748846304,6.124890414413577,-1.1387928194830885e-05,0.0,0.016746953227691562,0.0,-7.230628258386599,0.0,4.646572450921827,-3.7709200103902973,0.0,0.0,-0.31196391942077617,0.11614364865886216,0.0,-0.08373376132126793,0.0,0.334939064553848,1.0,-10.0
108,0.5382435442473706,6.45657440716246,-1.1387928194830866e-05,0.0,0.0,0.0,-7.504240426806048,0.28198564503330703,4.2651901104573415,-3.9367620067647384,0.0,0.0,-0.3119639194207762,0.0,0.0,-0.0837337613212683,0.0,0.33493906455384737,1.0,-10.0
109,0.5466170208612184,6.473321360390165,-1.1387928194830888e-05,0.0,0.01674695322769191,0.0,-7.520987380033754,0.2903591216471534,4.240069680615811,-3.9451354833785905,0.0,0.0,-0.31196391942077645,0.0,0.0,-0.08373376132126778,0.0,0.3349390645538481,1.0,-10.0
114,0.0,5.926704339528942,-1.1387928194830878e-05,0.18220567362040435,0.016746953227691874,0.0,-7.031371973549643,0.0,4.712634475883369,-3.8369820353518396,-0.01705061121654469,0.0,-0.31196391942077684,0.0,0.0,-0.083733761321267,0.0,0.33493906455384925,1.0,-10.0
115,0.0,5.918330862915102,-1.1387928194830891e-05,0.1794145147491234,0.0,0.0,-7.0299763941140085,0.0,4.726590270239786,-3.834190876480563,-0.012863872909621175,0.0,-0.3119639194207783,0.0,0.0,-0.08373376132126839,0.0,0.33493906455384936,1.0,-10.0
