,M_ac_e,M_ca2_e,M_cit_e,M_co2_e,M_fe2_e,M_fe3_e,M_for_e,M_h2_e,M_h2o_e,M_h_e,M_ile__45__L_e,M_k_e,M_leu__45__L_e,M_lys__45__L_e,M_mg2_e,M_n2_e,M_pi_e,M_pro__45__L_e,M_so4_e,M_val__45__L_e,objective,virtual_tag_R_constraint_reaction,M_mal__45__L_e
19,0.0,-0.0006237380824640034,0.0,11.879474652839226,480.935315314198,-480.935315314198,0.0,-250.83177221009373,17.791088467264835,460.17507255695864,0.0,-0.14720223786313522,0.0,0.3330437323615219,-0.021207102098748945,-2.584209703865236,-1.1790982969414363,0.0,-0.11084618562927447,0.0,0.6631793478166685,1.0,-10.0
20,0.0,-0.0006237380824639738,0.0,0.0,546.2192057792543,-546.2192057792543,12.545562117561893,-294.02101716601396,16.68094269272548,538.3375688719393,0.0,-0.14720223786312825,0.22202915490754818,0.0,-0.021207102098747935,-2.3621805489574017,-1.1790982969412283,0.0,-0.11084618562926925,0.0,0.6631793478165535,1.0,-10.0
23,0.0,-0.0006237380824639963,0.0,12.545562117562298,445.8547088387752,-445.8547088387752,0.0,-231.2932065782127,16.680942692726187,425.4275098138976,0.0,-0.14720223786313355,0.2220291549076652,0.0,-0.0212071020987487,-2.362180548957525,-1.1790982969413255,0.0,-0.11084618562927322,0.0,0.6631793478165686,1.0,-10.0
24,0.0,-0.0006237380824640211,0.0,0.0,561.9832757777435,-561.9832757777435,11.879474652839605,-303.0687052285256,17.791088467265386,553.4355514057047,0.33304373236155743,-0.1472022378631394,0.0,0.0,-0.021207102098749542,-2.4176878376845345,-1.1790982969414563,0.0,-0.11084618562927763,0.0,0.6631793478165987,1.0,-10.0
27,0.0,-0.0006237380824639563,0.0,11.879474652838361,466.9474785549773,-466.9474785549773,0.0,-243.6713319643018,17.791088467263553,446.52027953010094,0.3330437323614809,-0.14720223786312414,0.0,0.0,-0.021207102098747346,-2.4176878376843285,-1.1790982969412858,0.0,-0.11084618562926614,0.0,0.6631793478166204,1.0,-10.0
28,0.0,-0.0006237380824640181,0.3330437323614936,0.0,532.0093398651993,-532.0093398651993,11.87947465283955,-285.58390927954173,16.125869805457484,524.4607466902454,0.0,-0.14720223786313866,0.0,0.0,-0.021207102098749438,-2.2511659715036765,-1.1790982969414292,0.0,-0.11084618562927707,0.0,0.6631793478167062,1.0,-10.0
30,0.0,-0.0006237380824640896,2.312956174501627,0.0,888.3935794504908,-888.3935794504908,0.0,-469.7157663986103,26.025432016160064,874.9052489491156,0.0,-0.14720223786315556,0.0,0.0,-0.02120710209875187,-2.251165971503881,-1.1790982969414578,0.0,-0.1108461856292898,0.0,0.6631793478166069,1.0,-10.0
31,0.0,-0.0006237380824639603,0.3330437323613994,11.879474652838505,436.9735426424418,-436.9735426424418,0.0,-226.1865360153225,16.125869805455917,417.5454748146499,0.0,-0.14720223786312506,0.0,0.0,-0.02120710209874748,-2.2511659715035472,-1.179098296941335,0.0,-0.11084618562926683,0.0,0.6631793478165425,1.0,-10.0
32,0.6660874647230507,-0.0006237380824639741,0.0,0.0,525.3484652179309,-525.3484652179309,12.545562117561882,-282.5865156882677,15.792826073094737,518.132915775339,0.0,-0.14720223786312828,0.0,0.0,-0.021207102098747942,-2.2511659715034837,-1.1790982969412762,0.0,-0.11084618562926928,0.0,0.6631793478166669,1.0,-10.0
35,0.6660874647230843,-0.0006237380824639961,0.0,12.545562117562211,424.98396827745086,-424.98396827745086,0.0,-219.85870510046584,15.792826073095329,405.2228567172963,0.0,-0.14720223786313352,0.0,0.0,-0.0212071020987487,-2.251165971503584,-1.1790982969413157,0.0,-0.1108461856292732,0.0,0.6631793478165727,1.0,-10.0
