M_2ddglcn_e,M_ac_e,M_ala__45__D_e,M_alaala_e,M_arab__45__L_e,M_arg__45__L_e,M_asp__45__L_e,M_buts_e,M_bz_e,M_ca2_e,M_cd2_e,M_cellb_e,M_cgly_e,M_co2_e,M_cobalt2_e,M_cro4_e,M_cu2_e,M_eths_e,M_etoh_e,M_fe2_e,M_fe3_e,M_fru_e,M_fum_e,M_glc__45__D_e,M_gln__45__L_e,M_glu__45__L_e,M_glyc3p_e,M_glyclt_e,M_gthrd_e,M_h2_e,M_h2o_e,M_h_e,M_hexs_e,M_hom__45__L_e,M_ile__45__L_e,M_istnt_e,M_k_e,M_lac__45__L_e,M_leu__45__L_e,M_mal__45__L_e,M_met__45__D_e,M_met__45__L_e,M_mg2_e,M_mn2_e,M_mobd_e,M_mops_e,M_na1_e,M_nh4_e,M_ni2_e,M_no2_e,M_no3_e,M_o2_e,M_orot_e,M_pi_e,M_ppa_e,M_ppn_e,M_pro__45__L_e,M_ptrc_e,M_pyr_e,M_rib__45__D_e,M_so4_e,M_spmd_e,M_succ_e,M_sula_e,M_tsul_e,M_ura_e,M_val__45__L_e,M_zn2_e,M_fixed_uptake,objective,virtual_tag_R_constraint_reaction
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34990556008628143,0.0,0.0,0.0,0.0,0.0,-2.0911461197431322e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.311070717867707,-0.06466501585072765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06711204423323211,0.0,0.0,0.0,-0.18362831974057786,0.0,-0.0057285410342922125,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015375889896983054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006150429763950389,0.010201573318920956
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013591906500919541,0.0,0.0,0.0,0.0,0.0,-2.900907135561552e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5283358769864455,-0.041301312285094274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2867166049501904,0.0,0.0,0.0,-0.012714591242133928,0.0968082775485205,-0.007946821795875608,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021329943563793566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008532079810475152,0.014151960284079682
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2158741504161729,0.0,0.0,0.0,0.0,0.0,-3.211839815900651e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2634114534344228,-0.2600974538877656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10307894496691519,0.0,0.0,0.0,-0.014077400097980827,0.0,-0.008798599010967488,0.0,0.0,0.0,0.0,0.10718463770433985,0.0,-0.0023616185836932797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009446587693825444,0.015668833019934967
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20588430382518286,0.0,0.0,0.0,0.0,0.0,-4.097679415473836e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2897089016081547,-0.24665572694772367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13150857302055252,0.0,0.0,0.0,0.0,0.0,-0.011225291458733553,0.0,0.0,0.0,0.0,0.0,0.0,-0.003012963414206507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07996146534135937,0.0120519982808054,0.019990366335339772
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02982174334882489,0.0,0.0,0.0,0.0,0.0,-3.229390140326593e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4843634026272318,-0.08844101705905154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2625655490223388,0.0,0.0,0.0,0.0,0.07946167700446234,-0.008846676834267325,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023745230791506686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018872430209746223,0.009498206295078214,0.015754451580834047
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20503774002971578,0.0,0.0,0.0,0.0,0.0,-3.508153935208027e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26721144081585096,-0.2687170809608709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11258868036710358,0.0,0.0,0.0,0.0,0.0,-0.009610329753007154,0.0,0.0,0.0,0.0,0.08632087879392669,0.0,-0.002579493998059415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020501514970428566,0.010318099809435374,0.017114389686208008
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2413405174017446,0.0,0.0,0.0,0.0,0.0,-3.603696270701568e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2648299294182887,-0.24705888550451613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11565496128609382,0.0,0.0,0.0,0.0,0.0,-0.009872060955919982,0.0,0.0,0.0,0.0,0.0,0.0,-0.0026497448723134705,0.0,0.09041394433643349,0.0,0.0,0.0,0.0,0.0,0.0,0.010599106678534023,0.01758048917652867
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01482790489088526,0.0,0.0,0.0,0.0,0.0,-3.0563479974886845e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5030624454716722,-0.07030615063804466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27528812647362244,0.0,0.0,0.0,0.0,0.08859972337384488,-0.008372640607649848,0.0,0.0,0.0,0.0,0.0,0.0,-0.002247287736259349,0.0,0.013395883999665063,0.0,0.0,0.0,0.0,0.0,0.0,0.00898925881614319,0.014910272357413277
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21069485775166405,0.0,0.0,0.0,0.0,0.0,-3.353463978311211e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2603282898140483,-0.27156629609764543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10762414960969716,0.0,0.0,0.0,0.0,0.0,-0.009186567990349864,0.0,0.0,0.0,0.0,0.09721274575626157,0.0,-0.002465752747605494,0.0,0.014698134665104876,0.0,0.0,0.0,0.0,0.0,0.0,0.009863129347974151,0.016359740873251108
