,M_ac_e,M_co2_e,M_etoh_e,M_fe2_e,M_fum_e,M_glu__45__L_e,M_glyclt_e,M_h2o_e,M_h_e,M_hom__45__L_e,M_nh4_e,M_o2_e,M_orot_e,M_pi_e,M_pro__45__L_e,M_pyr_e,M_so4_e,M_succ_e,objective,virtual_tag_R_constraint_reaction,M_mal__45__L_e
0,0.0,5.721764517619821,0.0,-1.1387928194830907e-05,4.999999999999989,0.0,0.0,14.718014354966714,-6.854849837001434,0.0,-3.6547763617314426,0.0,0.0,-0.31196391942077795,0.0,0.0,-0.08373376132126595,0.0,0.33493906455384675,1.0,-10.0
1,0.0,25.72176451761995,0.0,-1.1387928194830981e-05,0.0,0.0,0.0,24.718014354966854,-1.8548498370014503,0.0,-3.6547763617314635,-15.000000000000066,0.0,-0.3119639194207741,0.0,0.0,-0.08373376132126271,0.0,0.3349390645538511,1.0,-10.0
2,0.0,15.72176451761986,5.000000000000005,-1.138792819483095e-05,0.0,0.0,0.0,9.718014354966758,-16.854849837001478,0.0,-3.6547763617314533,0.0,0.0,-0.31196391942077534,0.0,0.0,-0.08373376132126756,0.0,0.33493906455384903,1.0,-10.0
3,0.0,5.721764517619823,0.0,-1.1387928194830913e-05,0.0,0.0,0.0,9.71801435496673,-6.854849837001437,0.0,-3.654776361731443,0.0,0.0,-0.3119639194207768,0.0,0.0,-0.08373376132126634,0.0,0.3349390645538477,1.0,-5.00000000000001
5,0.0,8.57890737476268,0.0,-1.1387928194830918e-05,0.0,0.0,0.0,11.860871497823878,-8.283421265572867,0.0,-3.654776361731445,0.0,0.0,-0.31196391942077834,0.0,0.0,-0.08373376132126759,4.28571428571428,0.33493906455384925,1.0,-10.0
6,0.0,10.721764517619805,0.0,-1.1387928194830903e-05,0.0,0.0,0.0,13.468014354966714,-13.104849837001419,3.7499999999999876,-7.404776361731431,0.0,0.0,-0.31196391942077406,0.0,0.0,-0.08373376132126596,0.0,0.3349390645538498,1.0,-10.0
7,0.0,10.465506618405758,0.0,-1.1387928194830917e-05,0.0,0.0,0.0,14.547175755490684,-9.482978786608468,0.0,-3.6547763617314466,-2.2864517506549418,0.0,-0.3119639194207785,0.0,5.0854192997380165,-0.08373376132126599,0.0,0.33493906455384787,1.0,-10.0
8,0.0,10.457133141791937,0.0,-1.1387928194830946e-05,0.0,0.0,0.016746953227687898,14.530428802263028,-9.47879204830157,0.0,-3.6547763617314533,-2.2822650123480224,0.0,-0.3119639194207754,0.0,5.07704582312418,-0.08373376132126654,0.0,0.3349390645538477,1.0,-10.0
9,0.0,5.892603117095877,0.0,-1.1387928194830932e-05,0.0,0.0,0.0,9.97427225418081,-7.196527035953536,0.0,-3.65477636173145,0.0,0.0,-0.31196391942077734,0.0,0.5125157984281277,-0.08373376132126714,0.0,0.3349390645538504,1.0,-5.427096498690108
10,0.0,5.892603117095877,0.0,-1.1387928194830932e-05,0.0,0.0,0.016746953227691177,9.965898777566965,-7.196527035953536,0.0,-3.65477636173145,0.0,0.0,-0.31196391942077734,0.0,0.5125157984281277,-0.08373376132126714,0.0,0.3349390645538504,1.0,-5.435469975303954
