,M_ac_e,M_co2_e,M_etoh_e,M_fe2_e,M_fum_e,M_glu__45__L_e,M_glyclt_e,M_h2o_e,M_h_e,M_hom__45__L_e,M_mal__45__L_e,M_nh4_e,M_o2_e,M_orot_e,M_pi_e,M_pro__45__L_e,M_pyr_e,M_so4_e,M_succ_e,objective,virtual_tag_R_constraint_reaction,M_cit_e
39,0.0,6.498517129438148,0.0,-9.498201955916057e-06,0.0,0.0,9.909853246823152,0.0,-7.690181072199708,0.0,4.5184565162126225,-3.788110874664365,0.0,0.0,-0.2601962586102917,0.7398124139144729,0.0,-0.06983888218744447,0.0,0.2793588810563521,1.0,-10.0
41,0.0,7.191932636554152,0.5468695932493465,-9.498201955916066e-06,0.0,0.0,0.0,5.094253518252009,-9.462897727761964,0.0,6.9680730891737035,-3.0482984607498937,0.0,0.0,-0.260196258610294,0.0,3.9777158592532325,-0.06983888218744358,0.0,0.2793588810563535,1.0,-10.0
42,0.0,1.1280788149014953,0.5468695932493438,-9.49820195591605e-06,0.0,0.0,0.0,14.19003425073097,-3.3990439061093065,0.0,6.968073089173694,-9.112152282402533,0.0,3.0319269108263183,-0.26019625861029194,0.0,0.9457889484269075,-0.06983888218744522,0.0,0.279358881056352,1.0,-10.0
43,0.0,0.0,0.5468695932493448,-9.498201955916047e-06,0.0,0.0,0.0,17.29225099171008,-2.552984794933182,0.2820197037253727,6.122013977997563,-11.08629020848015,0.0,3.8779860220024447,-0.26019625861028994,0.0,0.6637692447015311,-0.06983888218744297,0.0,0.27935888105635076,1.0,-10.0
44,0.0,0.0,1.2106388379508803,-9.498201955916057e-06,0.0,0.0,0.0,19.2835587258147,-2.552984794933186,0.2820197037253745,5.458244733296038,-12.41382869788323,0.0,4.541755266703982,-0.26019625861029,0.0,0.0,-0.06983888218744395,0.0,0.27935888105635426,1.0,-10.0
50,0.0,0.0,0.5468695932493475,-9.49820195591607e-06,0.0,0.0,0.0,16.446191880534,-2.2709650912078136,0.0,5.275954866821454,-10.240231097304052,0.0,3.5959663182770747,-0.2601962586102916,0.0,0.3817495409761569,-0.06983888218744377,0.0,0.27935888105635176,1.0,-8.8719211850985
51,0.0,0.0,0.2923698992652395,-9.498201955916044e-06,0.0,0.0,0.0,15.428193104597536,-2.016465397223704,0.0,4.639705631861176,-9.476732015351713,0.0,3.2142167773009116,-0.26019625861028994,0.0,0.0,-0.0698388821874418,0.0,0.27935888105635276,1.0,-7.8539224091620845
52,0.0,0.0,0.9286191342255039,-9.498201955916069e-06,0.0,0.0,0.0,17.591440503462472,-2.2709650912078128,0.0,4.894205325845292,-11.003730179256369,0.0,3.9777158592532342,-0.26019625861029405,0.0,0.0,-0.06983888218744196,0.0,0.27935888105635415,1.0,-8.8719211850985
68,0.0,7.191932636554152,0.5468695932493465,-9.498201955916066e-06,0.0,0.0,8.830552098376907,0.6789774690635557,-9.462897727761964,0.0,2.5527970399852467,-3.0482984607498937,0.0,0.0,-0.260196258610294,0.0,3.9777158592532325,-0.06983888218744358,0.0,0.2793588810563535,1.0,-10.0
69,0.0,6.173466432958818,0.20738085871756703,-9.498201955916067e-06,0.0,0.0,9.17004083290869,0.0,-8.104942789634855,0.0,3.5712632435805856,-3.048298460749895,0.0,0.0,-0.26019625861029194,0.0,2.9592496556579,-0.06983888218744455,0.0,0.27935888105635337,1.0,-10.0
