,M_ac_e,M_ca2_e,M_co2_e,M_fe2_e,M_fe3_e,M_for_e,M_gly_e,M_h2_e,M_h2o_e,M_h_e,M_ile__45__L_e,M_k_e,M_leu__45__L_e,M_lys__45__L_e,M_mal__45__L_e,M_mg2_e,M_n2_e,M_pi_e,M_pro__45__L_e,M_so4_e,M_val__45__L_e,objective,virtual_tag_R_constraint_reaction,M_cit_e
17,0.0,-0.00030294230047876443,22.236143691489783,261.6514483955193,-261.6514483955193,0.0,0.0,-128.01137315101823,5.8252089252234125,234.90945417908006,0.0,-0.07149440739247154,0.0,0.0,1.7327456798167515,-0.010300041759361075,-2.907924577369975,-0.5726742692300665,3.6291191238501264,-0.053836697514403425,0.0,0.32209846232877576,1.0,-10.0
18,0.0,-0.0003029423004787565,22.55717911375288,238.75092160736932,-238.75092160736932,0.0,0.0,-114.47437951222926,4.2200318139047805,212.650998235458,0.0,-0.07149440739246968,0.0,0.0,2.053781102080365,-0.010300041759360808,-2.747406866238075,-0.5726742692300311,3.3080837015863787,-0.05383669751440201,0.0,0.32209846232877026,1.0,-10.0
39,0.0,-0.0003029423004787542,13.54487612131204,218.5115251278015,-218.5115251278015,0.0,1.4563022313057885,-103.51717060013324,0.0,203.7316602747709,0.0,-0.07149440739246911,0.0,0.0,0.657973687959015,-0.010300041759360728,-1.8215161310977668,-0.572674269229983,0.0,-0.0538366975144016,0.0,0.3220984623288182,1.0,-5.2961088842923525
41,0.0,-0.00030294230047876616,19.81673094225644,274.95821851630495,-274.95821851630495,0.0,3.024265936541813,-124.68468062082295,-6.271854820943833,255.47446254756585,0.0,-0.07149440739247194,0.0,0.0,5.36186480366698,-0.010300041759361136,-2.6054979837157846,-0.5726742692300129,0.0,-0.05383669751440373,0.0,0.32209846232880723,1.0,-10.0
42,0.0,-0.0003029423004787765,20.194297993243257,257.9677012219389,-257.9677012219389,0.0,2.8354824110488015,-115.33989610892063,-6.649421871930178,238.48394525319907,0.0,-0.0714944073924744,0.0,0.0,5.361864803667135,-0.010300041759361488,-2.511106220969377,-0.5726742692300334,0.0,-0.05383669751440558,0.0,0.3220984623288581,1.0,-10.0
46,0.0,-0.0003029423004787804,21.071101906446156,268.05917821327927,-268.05917821327927,0.0,1.4563022313059149,-126.40944069658846,0.0,244.81230935197286,0.0,-0.07149440739247531,0.0,0.0,3.480308357383987,-0.01030004175936162,-2.7622943542395193,-0.5726742692300199,1.8815564462831647,-0.05383669751440627,0.0,0.3220984623287785,1.0,-10.0
47,0.0,-0.0003029423004787575,20.66677395160211,249.14814999919966,-249.14814999919966,0.0,2.363006452688467,-111.87507241427222,-5.231993996849276,228.7194421137408,0.0,-0.0714944073924699,0.0,0.0,4.889388845306648,-0.010300041759360841,-2.511106220969247,-0.5726742692300342,0.472475958360074,-0.05383669751440219,0.0,0.3220984623288219,1.0,-10.0
48,0.0,-0.0003029423004787678,21.713172750972767,243.39295660267368,-243.39295660267368,0.0,1.055007953476225,-113.31387076340964,0.0,219.82505231910451,0.0,-0.07149440739247234,0.0,0.0,3.3197906462519837,-0.010300041759361193,-2.6419060708905686,-0.572674269230076,2.0420741574150103,-0.05383669751440402,0.0,0.3220984623288212,1.0,-10.0
52,0.0,-0.0003029423004787722,18.7768701181624,236.70628309572686,-236.70628309572686,0.0,2.3630064526886265,-106.12661492089535,-5.231993996849494,218.40371702288783,0.0,-0.07149440739247337,0.0,0.0,4.180674907766635,-0.01030004175936134,-2.27486824178925,-0.5726742692300925,0.0,-0.053836697514404806,0.0,0.322098462328849,1.0,-8.818810104099619
53,0.0,-0.0003029423004787671,13.544876121312617,189.6183371240776,-189.6183371240776,0.0,1.0550079534762313,-88.46863518152665,0.0,175.23976654887602,0.0,-0.071494407392469,0.0,0.0,0.25667941012943407,-0.010300041759361165,-1.6208689921830777,-0.5726742692300698,0.0,-0.05383669751440389,0.0,0.3220984623288039,1.0,-4.89481460646246
