,M_co2_e,M_fe2_e,M_glyclt_e,M_h2o_e,M_h_e,M_hom__45__L_e,M_nh4_e,M_o2_e,M_orot_e,M_pi_e,M_so4_e,M_succ_e,objective,virtual_tag_R_constraint_reaction,M_mal__45__L_e
13,-0.5790862839226225,-6.637180435866952e-06,0.009760559464508461,20.36864106025396,-0.1808744548559405,0.0,-9.559580542863511,0.0,3.714740959979139,-0.18182067776084018,-0.04880221168898075,3.416033436345127,0.19521118929020062,1.0,-10.0
14,-0.5815264237887521,-6.6371804358669594e-06,0.0,20.383281899450747,-0.17843431498981496,0.0,-9.564460822595777,0.0,3.7171810998452703,-0.1818206777608409,-0.04880221168898065,3.4184735762112597,0.19521118929020273,1.0,-10.0
15,-0.6695235113505984,-6.637180435866961e-06,0.009760559464509107,20.73038996996588,0.0,0.0,-9.740454997719471,-0.09043722742797232,3.805178187407117,-0.1818206777608407,-0.048802211688981495,3.325596208917161,0.19521118929020206,1.0,-10.0
16,-0.6707435812836595,-6.637180435866942e-06,0.0,20.740150529430327,0.0,0.0,-9.74289513758557,-0.08921715749490777,3.806398257340171,-0.18182067776083993,-0.04880221168898062,3.3292564187163407,0.19521118929020403,1.0,-10.0
17,-1.7177640960376652,-6.637180435866958e-06,0.009760559464509409,24.923352308714154,-1.319552266970985,2.277355624230085,-14.114291791323696,0.0,4.8534187720941855,-0.18182067776084218,-0.04880221168897869,0.0,0.19521118929020337,1.0,-10.0
18,-1.721017615859166,-6.6371804358669366e-06,0.0,24.94124666773235,-1.3179255070602307,2.278982384140829,-14.122425590877414,0.0,4.856672291915674,-0.18182067776083904,-0.04880221168897828,0.0,0.19521118929020193,1.0,-10.0
19,-2.0947790294579467,-6.6371804358669476e-06,0.009760559464508597,26.431412042395248,0.0,1.9003406908097993,-14.491306724743959,-0.5655224001304213,5.230433705514462,-0.18182067776084107,-0.04880221168897847,0.0,0.19521118929020323,1.0,-10.0
20,-2.097567760733524,-6.637180435866958e-06,0.0,26.44744724722984,0.0,1.9024322392664865,-14.498975735751808,-0.5648252173115271,5.233222436790045,-0.1818206777608404,-0.04880221168898296,0.0,0.19521118929020295,1.0,-10.0
21,-3.9951197202677506,-6.6371804358669535e-06,0.00976055946450549,34.03277480563448,6.6511924178343085,0.0,-16.391647415553773,-3.4160334363451237,7.13077439632427,-0.18182067776083785,-0.04880221168897845,0.0,0.19521118929019746,1.0,-10.0
22,-4.000000000000022,-6.637180435866985e-06,0.0,34.05717620429592,6.658512837432723,0.0,-16.401407975018355,-3.41847357621127,7.135654676056557,-0.18182067776084046,-0.048802211688978074,0.0,0.19521118929020312,1.0,-10.0
23,-4.000000000000006,-6.637180435866957e-06,0.0,34.05717620429578,0.0,0.0,-16.401407975018294,-3.4184735762112584,7.135654676056528,-0.18182067776084124,-0.04880221168898224,0.0,0.1952111892901989,1.0,-10.0
24,-3.9951197202677444,-6.637180435866938e-06,0.009760559464505013,34.03277480563441,0.0,0.0,-16.391647415553738,-3.4160334363451215,7.130774396324255,-0.1818206777608416,-0.048802211688977255,0.0,0.19521118929019984,1.0,-10.0
