,M_ac_e,M_co2_e,M_fe2_e,M_glu__45__L_e,M_glyclt_e,M_h2o_e,M_h_e,M_mal__45__L_e,M_nh4_e,M_orot_e,M_pi_e,M_pro__45__L_e,M_pyr_e,M_so4_e,objective,virtual_tag_R_constraint_reaction,M_fum_e
0,0.0,9.154823228191692,-1.8220685111729404e-05,0.0,0.0,5.548822967946723,-10.967759739202267,1.999999999999993,-5.847642178770292,0.0,-0.49914227107324244,0.0,0.0,-0.1339740181140295,0.5359025032861562,1.0,-10.0
13,0.0,9.428164987353362,-1.8220685111729418e-05,0.0,0.0,5.958835606689228,-11.51444325752561,1.316645602095825,-5.847642178770297,0.0,-0.4991422710732449,0.0,0.8200252774850002,-0.1339740181140292,0.5359025032861584,1.0,-10.0
14,0.0,9.428164987353362,-1.8220685111729418e-05,0.0,0.026795125164305326,5.945438044107072,-11.51444325752561,1.3032480395136723,-5.847642178770297,0.0,-0.4991422710732449,0.0,0.8200252774850002,-0.1339740181140292,0.5359025032861584,1.0,-10.0
25,0.0,11.068215542323383,-1.822068511172944e-05,0.0,0.02679512516430591,7.5854885990770855,-13.154493812495632,0.4832227620286689,-6.667667456255307,0.0,-0.4991422710732423,0.8200252774850026,0.0,-0.13397401811402918,0.535902503286156,1.0,-10.0
26,0.0,11.068215542323383,-1.822068511172944e-05,0.0,0.0,7.59888616165924,-13.154493812495632,0.49662032461082395,-6.667667456255307,0.0,-0.4991422710732423,0.8200252774850026,0.0,-0.13397401811402918,0.535902503286156,1.0,-10.0
31,0.0,9.154823228191692,-1.8220685111729404e-05,0.0,0.3001368843259725,5.398754525783734,-10.967759739202267,1.8499315578370048,-5.847642178770292,0.0,-0.49914227107324244,0.0,0.0,-0.1339740181140295,0.5359025032861562,1.0,-10.0
43,0.0,9.428164987353377,-1.822068511172944e-05,0.2733417591616673,0.026795125164305475,5.94543804410708,-11.241101498363957,1.576589798675339,-6.120983937931974,0.0,-0.49914227107324277,0.0,0.0,-0.13397401811402979,0.5359025032861573,1.0,-10.0
44,0.0,9.428164987353377,-1.822068511172944e-05,0.2733417591616673,0.0,5.958835606689236,-11.241101498363957,1.5899873612574955,-6.120983937931974,0.0,-0.49914227107324277,0.0,0.0,-0.13397401811402979,0.5359025032861573,1.0,-10.0
55,0.0,7.78811443238336,-1.8220685111729425e-05,0.0,0.0,8.418911439144237,-9.87439270255561,1.3166456020958235,-7.487692733740305,0.8200252774850002,-0.499142271073243,0.0,0.0,-0.133974018114027,0.5359025032861572,1.0,-10.0
56,0.0,7.78811443238336,-1.8220685111729425e-05,0.0,0.02679512516430539,8.405513876562084,-9.87439270255561,1.3032480395136727,-7.487692733740305,0.8200252774850002,-0.499142271073243,0.0,0.0,-0.133974018114027,0.5359025032861572,1.0,-10.0
67,0.4100126387424995,9.428164987353362,-1.822068511172941e-05,0.0,0.0,5.548822967946722,-11.104430618783107,1.7266582408383253,-5.847642178770295,0.0,-0.49914227107324216,0.0,0.0,-0.13397401811402743,0.5359025032861585,1.0,-10.0
68,0.4100126387424995,9.428164987353362,-1.822068511172941e-05,0.0,0.026795125164307924,5.535425405364572,-11.104430618783107,1.7132606782561712,-5.847642178770295,0.0,-0.49914227107324216,0.0,0.0,-0.13397401811402743,0.5359025032861585,1.0,-10.0
