M_ac_e,M_ca2_e,M_cd2_e,M_cl_e,M_co2_e,M_cobalt2_e,M_cu2_e,M_fe2_e,M_fe3_e,M_for_e,M_fum_e,M_gln__45__L_e,M_gly_e,M_h2_e,M_h2o_e,M_h2s_e,M_h_e,M_ile__45__L_e,M_k_e,M_lac__45__L_e,M_leu__45__L_e,M_lys__45__L_e,M_mal__45__L_e,M_mg2_e,M_mn2_e,M_mobd_e,M_n2_e,M_na1_e,M_nh4_e,M_ni2_e,M_oxa_e,M_pi_e,M_pro__45__L_e,M_s_e,M_so4_e,M_ss_e,M_succ_e,M_ura_e,M_val__45__L_e,M_zn2_e,M_fixed_uptake,objective,virtual_tag_R_constraint_reaction
0.0,-4.4412836703514917e-07,0.0,0.0,0.02063849884672889,0.0,0.0,0.2869433910776062,-0.2869433910776062,0.0,0.0,0.0,0.0017419541944245643,-0.13329748855994059,-0.0004603464693623029,0.0,0.2652779154616405,0.0,-0.00010481433050842589,0.0,0.0,0.0,0.0,-1.5100369673529777e-05,0.0,0.0,-0.00247390418304844,0.0,0.0,0.0,0.0,-0.0008395687483532222,0.0,0.0,-7.892725616676742e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00047221224593780843,0.0007120430506354983
0.0,-5.983014455772553e-07,0.0,0.0,0.015246098136497039,0.0,0.0,0.27885381668702297,-0.27885381668702297,0.017250072320246963,0.0,0.0,0.0,-0.1324110133220601,-0.005313448900250608,0.0,0.2669175403246037,0.0,-0.00014119918950243588,0.0,0.0,0.0,0.0,-2.034225614710352e-05,0.0,0.0,-0.002159361265331675,0.0,0.0,0.0,0.0,-0.001131013538168044,0.0,0.0,-0.00010632577192774993,0.0,0.0,0.0,0.0,0.0,0.0,0.0006361342583224674,0.0009592190414505581
0.0,-4.1053138984607963e-07,0.0,0.0,0.0,0.0,0.0,0.27502901924512707,-0.27502901924512707,0.022297619571035484,0.0,0.0,0.0,-0.1431617577589529,-0.0036458838233148507,0.0,0.2773000913662114,0.0,-9.688544117697618e-05,0.0,0.0,0.0,0.0,-1.3958072056165592e-05,0.0,0.0,-0.001481670465597989,0.0,0.0,0.0,0.0,-0.0007760578938780194,0.0,0.0,-7.295664626690288e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0004364908076494132,0.0006581791322158423
0.0,-4.5041092290219245e-07,0.0,0.0,0.02074370376998183,0.0,0.0,0.28698745539491266,-0.28698745539491266,0.0,0.0,0.0,0.0016265380159130199,-0.133805857209903,0.0,0.0,0.2650155040592085,0.0,-0.00010629701420071481,0.0,0.0,0.0,0.0,-1.5313976646487323e-05,0.0,0.0,-0.002485556641476731,0.0,0.0,0.0,0.0,-0.0008514451290513623,0.0,0.0,-8.004374620231812e-05,0.0,0.0,0.0,9.337168868739746e-05,0.0,0.0,0.00047889207104335384,0.0007221154769369766
0.0,-6.453570067587762e-07,0.0,0.0,0.01986468578739141,0.0,0.0,0.28026825258984217,-0.28026825258984217,0.015187262443910892,0.0,0.0,0.0,-0.12914693743922778,-0.005731344129585037,0.0,0.26397370137059134,0.0,-0.00015230430574363524,0.0,0.0,0.0,0.0,-2.1942145777616874e-05,0.0,0.0,-0.002329191970045727,0.0,0.0,0.0,0.0,-0.0012199661508281161,0.0,0.0,-0.00011468814327601144,0.0,0.0,0.0,0.0,0.0,0.0,0.0006861653166350102,0.0010346602602961982
0.0,-4.5437775561735475e-07,0.0,0.0,0.02048682438057596,0.0,0.0,0.2869717558014387,-0.2869717558014387,0.0,0.0,0.0,0.0016251641619235025,-0.1337833304870611,0.0,0.0,0.2652772645138618,0.0,-0.00010723318704203606,0.0,0.0,0.0,0.0,-1.5448849005197216e-05,0.0,0.0,-0.0024525007750605195,0.0,0.0,0.0,0.0,-0.0008589439267521898,0.0,0.0,-8.074870279847166e-05,0.0,0.0,0.0,0.0,0.0,-0.00015699004393074668,0.00048310974125926714,0.0007284752500960761
0.0,-6.655734851480808e-07,0.0,0.0,0.036149986908344235,0.0,0.0,0.28904794663879607,-0.28904794663879607,0.0,0.0,0.0,0.0,-0.11752958015272096,-0.005910884435995212,0.0,0.2565799324712439,0.0,-0.00015707539627711907,0.0,0.0,0.0,0.0,-2.2629506279296484e-05,0.0,0.0,-0.0024021563271904105,0.0,0.0,0.0,0.0,-0.0012581828573418777,0.0,0.0,-0.00011828086845876538,0.0,0.0,0.0,0.0,0.0,0.0,0.0007076601577074139,0.001067072067363428
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,-0.2857142857142857,0.0,0.0,0.0,0.0,-0.14285714285714285,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-4.075483912609104e-07,0.0,0.0,0.01763026079875321,0.0,0.0,0.28579391821446726,-0.28579391821446726,0.0,0.0,0.0,0.001516965648736429,-0.13687243973754434,0.0017687931724449724,0.0,0.2659128874392128,0.0,-9.618145326983277e-05,0.0,0.0,0.0,0.0,-1.3856650069381969e-05,0.0,0.0,-0.002376528068761435,0.0,0.0,0.0,0.0,-0.0007704189107047339,0.0002942817522624614,0.0,-7.242652950122886e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00043331918303345936,0.0006533966783797936
0.0,-5.073224716126457e-07,0.0,0.0,0.022809575550889357,0.0,0.0,0.28622028801770466,-0.28622028801770466,0.0,0.0,0.0,0.0,-0.1343970081072146,0.003086779694627482,0.0,0.2614720767932563,0.0,-0.00011972814429516279,0.0,0.0,0.0,0.0,-1.7248969968255775e-05,0.0,0.0,-0.0023055201576487085,0.0,0.0,0.0,0.0,-0.0009590292449605746,0.0009490317999219659,0.0,-9.01576518145708e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0005394023474208031,0.0008133581801011607
0.0,-4.946334799863302e-07,0.0,0.0,0.021867608832297453,0.0,0.0,0.2858467844889311,-0.2858467844889311,0.0,0.0,0.0,0.0,-0.13535683838435542,0.003603911274802133,0.0,0.2617175678144286,0.0,-0.00011673354124600871,0.0,0.0,0.0,0.0,-1.681754410455605e-05,0.0,0.0,-0.0022850012776692136,0.0,0.0,0.0,0.0,-0.0009350423042283536,0.0009995870562143317,0.0,-8.79026567119749e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0005259109839338267,0.0007930147186658885
0.0,-4.903229348374991e-07,0.0,0.0,0.021701589066571256,0.0,0.0,0.28590875385402564,-0.28590875385402564,0.0,0.0,0.0,0.0001718376704077489,-0.13530647331239024,0.0033270221542445674,0.0,0.26198981424747303,0.0,-0.00011571625224256768,0.0,0.0,0.0,0.0,-1.6670985519081508e-05,0.0,0.0,-0.0023141848263237333,0.0,0.0,0.0,0.0,-0.0009268937614557238,0.0009172313142618805,0.0,-8.713661804740727e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000521327867076117,0.0007861038930004051
0.0,-5.062423814398572e-07,0.0,0.0,0.02169651331456221,0.0,0.0,0.28561092466867366,-0.28561092466867366,0.0010645006216214602,0.0,0.0,0.0,-0.13517537733148768,0.003080207936820003,0.0,0.2619799030383116,0.0,-0.00011947324292710722,0.0,0.0,0.0,0.0,-1.7212246889748697e-05,0.0,0.0,-0.0023006117023667526,0.0,0.0,0.0,0.0,-0.0009569874705057473,0.0009470113100400549,0.0,-8.99657060617697e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0005382539591525361,0.0008116265395245234
