,M_ac_e,M_co2_e,M_etoh_e,M_fe2_e,M_glyclt_e,M_h2o_e,M_h_e,M_hom__45__L_e,M_mal__45__L_e,M_nh4_e,M_o2_e,M_orot_e,M_pi_e,M_pyr_e,M_so4_e,M_succ_e,objective,virtual_tag_R_constraint_reaction,M_cit_e
11,0.0,0.0,0.0,-1.708189229224636e-05,0.0,30.597685695839996,-2.311960411715604,0.0,2.419964524183207,-17.043280014476,-0.7887120876019663,5.780557735939414,-0.4679458791311664,0.0,-0.12560064198190202,0.0,0.5024085968307707,1.0,-10.0
32,0.0,12.934218417433177,0.983509040252761,-1.708189229224636e-05,0.0,13.153851873196947,-17.01839995700352,0.0,0.555107058502473,-5.482164542597161,0.0,0.0,-0.4679458791311675,7.153660681493764,-0.12560064198189866,0.0,0.5024085968307703,1.0,-10.0
33,0.0,0.0,0.9835090402527598,-1.708189229224639e-05,0.0,32.55517949934678,-4.0841815395703485,0.0,0.555107058502476,-18.416382960030383,0.0,6.4671092087166,-0.46794587913116464,0.6865514727771711,-0.12560064198190096,0.0,0.502408596830776,1.0,-10.0
34,0.0,0.0,0.5258080584013108,-1.708189229224636e-05,0.0,29.808973608238027,-3.626480557718887,0.0,2.157060494982551,-17.043280014476,0.0,5.780557735939414,-0.4679458791311664,0.0,-0.12560064198190202,0.0,0.5024085968307707,1.0,-10.0
51,0.0,0.0,0.0,-1.708189229224636e-05,0.0,30.597685695839996,-3.100672499317576,0.0,0.8425403489792679,-17.043280014476,0.0,5.780557735939414,-0.4679458791311664,0.0,-0.12560064198190202,1.5774241752039386,0.5024085968307707,1.0,-10.0
59,0.0,9.983691296674849,0.0,-1.7081892292246297e-05,0.0,11.678588312817753,-13.084363795992418,0.0,3.997388699387131,-5.482164542597141,0.0,0.0,-0.4679458791311658,4.2031335607354565,-0.1256006419819011,0.0,0.5024085968307725,1.0,-10.0
60,0.0,8.582646776429721,0.0,-1.708189229224634e-05,0.0,9.577021532450054,-10.282274755502138,0.0,7.500000000000035,-5.4821645425971575,0.0,0.0,-0.4679458791311661,0.0,-0.12560064198189916,0.0,0.5024085968307728,1.0,-10.0
61,0.0,1.5774241752039304,0.0,-1.7081892292246287e-05,0.0,24.287988995024126,-4.678096674521494,0.0,3.9973886993871273,-13.888431664068056,0.0,4.203133560735456,-0.4679458791311635,0.0,-0.12560064198189821,0.0,0.5024085968307725,1.0,-10.0
64,0.0,0.0,0.0,-1.7081892292246294e-05,0.0,30.59768569583987,-3.8893845869195336,0.7887120876019645,1.6312524365812275,-17.831992102077894,0.0,5.780557735939394,-0.4679458791311662,0.0,-0.1256006419818984,0.0,0.5024085968307684,1.0,-10.0
76,0.0,8.582646776429721,0.0,-1.708189229224634e-05,10.281378329055634,4.436332367922232,-10.282274755502138,0.0,2.3593108354722174,-5.4821645425971575,0.0,0.0,-0.4679458791311661,0.0,-0.12560064198189916,0.0,0.5024085968307728,1.0,-10.0
92,0.0,0.0,0.0,-1.708189229224638e-05,0.0,36.87300681335382,0.0,0.0,0.7685642301006268,-19.685520485008134,-2.4401123816845436,7.101677971205484,-0.46794587913116414,0.0,-0.12560064198190177,0.0,0.5024085968307715,1.0,-10.0
106,1.5774241752039386,0.0,0.0,-1.708189229224636e-05,0.0,29.808973608238027,-3.100672499317576,0.0,1.6312524365812342,-17.043280014476,0.0,5.780557735939414,-0.4679458791311664,0.0,-0.12560064198190202,0.0,0.5024085968307707,1.0,-10.0
