,M_co2_e,M_etoh_e,M_fe2_e,M_fe3_e,M_glu__45__L_e,M_glyclt_e,M_h2o_e,M_h_e,M_hom__45__L_e,M_nh4_e,M_o2_e,M_pi_e,M_pyr_e,M_so4_e,objective,virtual_tag_R_constraint_reaction,M_ac_e
1,3.700294627641109,0.0,17.527373564571892,-17.527378589043753,2.0000000000000098,0.0,2.905843934160296,0.0,0.0,-3.6125251827638203,0.0,-0.1376417122117394,0.0,-0.036944202712885454,0.14777858419456524,1.0,-10.0
2,3.6038647666156844,0.28928958307627056,15.791636066114256,-15.791641090586117,1.9035701389745856,0.0,3.195133517236565,0.0,0.0,-3.5160953217383963,0.0,-0.13764171221173496,0.0,-0.03694420271288854,0.1477785841945632,1.0,-10.0
3,1.7002946276410948,0.0,5.527373564571811,-5.527378589043675,0.0,0.0,2.9058439341602864,0.0,0.0,-1.6125251827638083,0.0,-0.1376417122117376,0.0,-0.03694420271288838,0.1477785841945648,1.0,-3.999999999999985
4,1.700294627641094,0.28928958307627034,4.370215232266729,-4.37022025673859,0.0,0.0,3.1951335172365556,0.0,0.0,-1.6125251827638096,0.0,-0.13764171221173688,0.0,-0.03694420271288868,0.14777858419456397,1.0,-4.2892895830762585
5,4.555649836102977,0.2892895830762666,21.50234648303803,-21.50235150750989,0.0,0.0,0.33977830877468723,0.0,0.0,-1.6125251827638147,0.0,-0.13764171221173682,2.8553552084618805,-0.03694420271288727,0.1477785841945604,1.0,-10.0
6,4.555649836102971,0.28928958307626834,21.502346483037986,-21.502351507509847,0.0,0.0,0.3397783087746855,15.745379541732847,0.0,-1.6125251827638072,0.0,-0.13764171221173635,2.855355208461873,-0.036944202712883574,0.14777858419456458,1.0,-10.0
7,4.668909272361203,0.0,23.33906143289247,-23.33906645736433,0.06277071055981082,0.0,0.0,0.0,0.0,-1.6752958933236266,0.0,-0.13764171221173443,2.905843934160292,-0.03694420271288309,0.14777858419456033,1.0,-10.0
8,4.606138561801388,0.0,22.962437169533565,-22.962442194005423,0.0,0.0,0.0,0.0,0.0,-1.6125251827638107,0.0,-0.1376417122117368,2.9058439341602886,-0.03694420271288592,0.14777858419456474,1.0,-9.811687868320567
9,4.6532165947212425,0.0,23.244905367052713,-23.24491039152457,0.0,0.0,0.0,0.0,0.047078032919855586,-1.659603215683668,0.0,-0.13764171221173907,2.9529219670801443,-0.03694420271288597,0.14777858419456305,1.0,-10.0
10,4.700294627641104,0.0,23.52737356457187,-23.527378589043728,0.0,0.0,-0.09415606583971797,0.0,0.0,-1.6125251827638092,0.0,-0.1376417122117349,3.0000000000000058,-0.03694420271288593,0.1477785841945628,1.0,-10.0
