,M_ac_e,M_co2_e,M_etoh_e,M_fe2_e,M_fum_e,M_glu__45__L_e,M_glyclt_e,M_h2o_e,M_h_e,M_hom__45__L_e,M_nh4_e,M_o2_e,M_orot_e,M_pi_e,M_pro__45__L_e,M_pyr_e,M_so4_e,M_succ_e,objective,virtual_tag_R_constraint_reaction,M_mal__45__L_e
0,0.0,-0.3843413171608704,0.0,-5.530983696555782e-06,0.0,0.0,0.0,18.950125441191936,0.0,0.0,-8.765693140788686,0.0,3.495305477517167,-0.15151723146736626,0.0,0.0,-0.04066850974081767,3.9932604366192908,0.16267599107516773,1.0,-10.0
14,0.0,-0.6333006156488072,0.0,-5.5309836965557885e-06,0.0,0.0,0.0,17.580849299508312,0.0,0.0,-8.267774543812825,0.0,3.246346179029236,-0.15151723146736865,0.0,0.0,-0.040668509740817795,2.997423242667557,0.16267599107516797,1.0,-8.630723858316362
15,0.0,-0.6333006156488072,0.0,-5.5309836965557885e-06,0.0,0.0,0.008133799553758222,17.576782399731435,0.0,0.0,-8.267774543812825,0.0,3.246346179029236,-0.15151723146736865,0.0,0.0,-0.040668509740817795,2.997423242667557,0.16267599107516797,1.0,-8.634790758093239
16,0.0,-0.6333006156488044,0.0,-5.53098369655579e-06,0.0,0.0,0.0,19.29244447661287,0.0,0.0,-8.952412614654651,0.0,3.588665214450146,-0.15151723146736534,0.0,0.342319035420908,-0.0406685097408176,3.6820613135093794,0.1626759910751694,1.0,-10.0
17,0.0,-0.633300615648806,0.0,-5.530983696555795e-06,0.0,0.0,0.00813379955375774,19.28329395211491,0.0,0.0,-8.950379164766217,0.0,3.587648489505931,-0.1515172314673654,0.0,0.34130231047668985,-0.04066850974081836,3.680027863620943,0.16267599107516995,1.0,-10.0
18,0.0,-0.6333006156488068,0.0,-5.530983696555793e-06,0.0,0.0,0.00813379955375828,19.852131136242722,0.0,0.0,-9.329603954184758,0.0,3.701415926331492,-0.15151723146736903,0.15168991576741608,0.0,-0.04066850974081615,3.604182905737233,0.16267599107516945,1.0,-10.0
19,0.0,-0.6333006156488048,0.0,-5.530983696555783e-06,0.0,0.0,0.0,19.862976202314368,0.0,0.0,-9.33276709845565,0.0,3.7027715595904427,-0.15151723146736704,0.15214179352040363,0.0,-0.04066850974081701,3.605990416749173,0.16267599107516775,1.0,-10.0
20,0.0,-2.542581191142507,0.0,-5.5309836965557995e-06,0.0,0.0,0.008133799553755037,25.213904701706266,-0.5440713335869288,2.453351909080631,-14.539687603880873,0.0,5.155626754522938,-0.15151723146736695,0.0,0.0,-0.04066850974081571,0.0,0.16267599107516809,1.0,-10.0
21,0.0,-2.545292457660421,0.0,-5.530983696555793e-06,0.0,0.0,0.0,25.22881666755479,-0.5427157003279689,2.4547075423395834,-14.546465770175653,0.0,5.158338021040853,-0.15151723146736604,0.0,0.0,-0.040668509740818634,0.0,0.16267599107516653,1.0,-10.0
22,0.0,-2.698030143595912,0.0,-5.530983696555798e-06,0.0,0.0,0.008133799553757001,25.835700511519892,0.0,2.2979029566272198,-14.695136556334274,-0.2331734286801093,5.3110757069763475,-0.1515172314673671,0.0,0.0,-0.04066850974081833,0.0,0.16267599107516623,1.0,-10.0
