,M_ac_e,M_co2_e,M_etoh_e,M_fe2_e,M_glyclt_e,M_h2o_e,M_h_e,M_hom__45__L_e,M_mal__45__L_e,M_nh4_e,M_o2_e,M_orot_e,M_pi_e,M_pyr_e,M_so4_e,objective,virtual_tag_R_constraint_reaction,M_cit_e
12,0.0,0.0,0.0,-1.8996403911832196e-05,0.0,34.58741831615309,-2.571081298121215,0.0,1.0100139355013145,-18.953464030703532,-0.8771096977957247,6.428433554601855,-0.5203925172205863,0.0,-0.1396777643748907,0.5587177621127091,1.0,-10.0
13,0.0,11.102647713612246,0.0,-1.899640391183218e-05,0.0,13.547898256756037,-14.550838709529186,0.0,2.764233331092773,-6.096596921499806,0.0,0.0,-0.5203925172205862,4.674214159010393,-0.13967776437488705,0.5587177621127106,1.0,-10.0
14,0.0,9.544576327275415,0.0,-1.899640391183211e-05,0.0,11.210791177250801,-11.434695936855553,0.0,6.659411796934749,-6.096596921499785,0.0,0.0,-0.5203925172205837,0.0,-0.13967776437488896,0.5587177621127059,1.0,-10.0
15,0.0,1.7542193955914485,0.0,-1.899640391183214e-05,0.0,27.570540733787173,-5.202410391508381,0.0,2.7642333310927665,-15.445025239520564,0.0,4.674214159010386,-0.5203925172205863,0.0,-0.13967776437488805,0.5587177621127085,1.0,-10.0
18,0.0,0.0,0.0,-1.8996403911832223e-05,0.0,34.58741831615313,-4.32530069371268,0.8771096977957258,0.13290423770558543,-19.830573728499285,0.0,6.428433554601863,-0.5203925172205884,0.0,-0.13967776437489,0.5587177621127078,1.0,-10.0
41,0.0,0.0,0.5847397985304831,-1.8996403911832196e-05,0.0,33.71030861835736,-4.03293079444743,0.0,0.717644036236073,-18.953464030703532,0.0,6.428433554601855,-0.5203925172205863,0.0,-0.1396777643748907,0.5587177621127091,1.0,-10.0
57,1.754219395591456,0.0,0.0,-1.8996403911832196e-05,0.0,33.71030861835736,-3.4481909959169403,0.0,0.13290423770558984,-18.953464030703532,0.0,6.428433554601855,-0.5203925172205863,0.0,-0.1396777643748907,0.5587177621127091,1.0,-10.0
67,0.0,9.544576327275415,0.0,-1.899640391183211e-05,10.312914769589252,6.054333792456173,-11.434695936855553,0.0,1.5029544121401235,-6.096596921499785,0.0,0.0,-0.5203925172205837,0.0,-0.13967776437488896,0.5587177621127059,1.0,-10.0
