,M_ca2_e,M_co2_e,M_fe2_e,M_fe3_e,M_for_e,M_gly_e,M_h2_e,M_h2o_e,M_h_e,M_ile__45__L_e,M_k_e,M_leu__45__L_e,M_lys__45__L_e,M_mal__45__L_e,M_mg2_e,M_n2_e,M_pi_e,M_pro__45__L_e,M_so4_e,M_val__45__L_e,objective,virtual_tag_R_constraint_reaction,M_cit_e
17,-0.00056703462042178,26.710354974424128,339.3409458477036,-339.3409458477036,0.0,0.0,-161.1181903828447,4.642426889487742,309.56655961409245,0.0,-0.13382021623916796,0.0,0.0,0.30698825813846947,-0.019279183726134,-2.8779325413061194,-1.071907542673908,1.6628360435149978,-0.10076925966296948,0.0,0.6028903161968929,1.0,-10.0
161,-0.0005670346204217912,25.65089961152426,411.5848117735189,-411.5848117735189,0.0,2.7134212675723526,-194.98282045859827,0.0,383.5850408702165,0.0,-0.13382021623920673,0.0,0.049695298089010444,1.2191435723376398,-0.01927918372613438,-3.452920451423958,-1.0719075426739002,0.0,-0.10076925966297144,0.0,0.602890316196834,1.0,-10.0
162,-0.0005670346204217568,25.468683518529637,410.0442575327347,-410.0442575327347,0.0,2.7548340159798093,-194.15042421559545,-0.1159556955410173,382.292963119879,0.0,-0.13382021623919862,0.0,0.0,1.318534168515643,-0.019279183726133204,-3.423931527538407,-1.0719075426739253,0.0,-0.10076925966296532,0.0,0.6028903161969255,1.0,-10.0
163,-0.0005670346204217911,25.70059490961324,411.22700562727795,-411.22700562727795,0.0,2.743238446425792,-194.79397832586,0.0,383.1974175451222,0.0,-0.13382021623920673,0.0,0.0,1.1793873338665226,-0.019279183726134373,-3.4529204514238976,-1.0719075426739197,0.0,-0.10076925966297143,0.0695734173246146,0.6028903161969585,1.0,-10.0
164,-0.0005670346204217582,25.352727822988737,409.0006562728666,-409.0006562728666,0.0,2.725845092094517,-193.75907374314514,0.0,381.3363286316668,0.0,-0.13382021623919896,0.0,0.0,1.2315673968598833,-0.019279183726133256,-3.4094370655959048,-1.0719075426738454,0.0,-0.1007692596629656,0.0,0.602890316196853,1.0,-9.913033228344236
165,-0.0005670346204217594,25.961495224579117,412.9141609973767,-412.9141609973767,0.0,2.7693284779223895,-195.5201508691747,0.0,384.6410659545864,0.0,-0.1338202162391992,0.0869667716557634,0.0,1.0576338535483643,-0.019279183726133294,-3.4746621443377266,-1.0719075426739386,0.0,-0.1007692596629658,0.0,0.6028903161969177,1.0,-10.0
166,-0.0005670346204217947,25.6136281379576,410.30515784772945,-410.30515784772945,0.0,2.7258450920946165,-194.34609945183402,0.0,382.37992989156055,0.043483385827884406,-0.13382021623920756,0.0,0.0,1.2315673968599055,-0.019279183726134498,-3.4311787585099762,-1.0719075426739566,0.0,-0.10076925966297208,0.0,0.6028903161969674,1.0,-10.0
167,-0.0005670346204217705,25.491874657638498,409.91670626764954,-409.91670626764954,0.0,2.7258450920946076,-194.18231203187398,0.0,382.0958384374686,0.0,-0.13382021623920184,0.0,0.0,1.2837474598533674,-0.019279183726133676,-3.4268304199271507,-1.0719075426739446,0.034786708662306036,-0.10076925966296778,0.0,0.6028903161969048,1.0,-10.0
168,-0.0005670346204218187,25.35272782299136,415.957998005372,-415.957998005372,0.0,2.812811863750606,-197.3681947668804,0.0,388.2067035925134,0.0,-0.13382021623921325,0.0,0.0,1.318534168515753,-0.019279183726135313,-3.452920451424136,-1.0719075426739288,0.0,-0.10076925966297635,0.0,0.6028903161969636,1.0,-10.0
169,-0.0005670346204218015,14.449347454611472,261.28322066984515,-261.28322066984515,16.529004095880136,0.0,-123.90215680812,-5.6256237275010506,250.06093035286762,0.0,-0.13382021623917964,0.0,0.0,1.318534168515754,-0.01927918372613473,-2.046514519548756,-1.0719075426739633,0.0,-0.10076925966289697,0.0,0.6028903161969572,1.0,-10.0
