,M_ac_e,M_co2_e,M_etoh_e,M_fe2_e,M_fum_e,M_glu__45__L_e,M_glyclt_e,M_h2o_e,M_h_e,M_hom__45__L_e,M_mal__45__L_e,M_nh4_e,M_o2_e,M_orot_e,M_pi_e,M_pro__45__L_e,M_pyr_e,M_so4_e,M_succ_e,objective,virtual_tag_R_constraint_reaction,M_cit_e
1,0.0,6.549588065857835,0.0,-1.0249135375347787e-05,0.0,0.0,0.0,5.246212919470034,-7.769364853301284,0.0,9.400000000000004,-3.889298725558294,0.0,0.0,-0.2807675274786983,0.6000000000000028,0.0,-0.07536038518913964,0.0,0.3014451580984631,1.0,-10.0
6,0.0,0.0,1.1087011879836703,-1.024913537534782e-05,0.0,0.0,0.0,20.795533073755426,-2.6638386840736246,0.0,5.067814310109526,-12.940340345007913,0.0,4.718855929559095,-0.280767527478697,0.2133297603314134,0.0,-0.07536038518914007,0.0,0.30144515809846134,1.0,-10.0
7,0.0,0.0,0.590105424151656,-1.0249135375347789e-05,0.0,0.0,0.0,19.239745782259316,-2.6638386840736157,0.0,5.58641007394152,-11.90314881734385,0.0,4.200260165727067,-0.28076752747869627,0.21332976033141676,0.5185957638320094,-0.07536038518914027,0.0,0.3014451580984642,1.0,-10.0
14,0.0,0.0,0.0,-1.0249135375347793e-05,0.0,0.2235430517561847,0.0,24.023084764994973,-3.0304010564690858,0.0,3.968127192923093,-14.406589834589766,0.0,4.861875250198369,-0.28076752747869566,1.1699975568785435,0.0,-0.07536038518914132,0.0,0.30144515809845934,1.0,-10.0
15,0.0,0.0,0.0,-1.0249135375347813e-05,0.0,0.0,0.0,22.01119729918935,-2.80685800471291,0.0,3.744584141166915,-13.065331524052684,0.0,4.414789146686008,-0.28076752747869804,0.9464545051223613,0.0,-0.07536038518914179,0.0,0.30144515809846223,1.0,-9.10582779297526
16,0.0,0.0,0.0,-1.0249135375347798e-05,0.0,0.0,0.0,27.07817313899618,-3.402972809396061,0.0,2.8504119341421714,-15.89687684629767,0.0,5.457990054881531,-0.2807675274786965,1.6915980109763085,0.0,-0.07536038518913739,0.0,0.30144515809846223,1.0,-10.0
17,0.0,0.0,0.0,-1.0249135375347804e-05,0.0,0.0,0.0,25.140800023775924,-3.253944108225274,0.0,3.521041089410728,-14.853675938102155,0.0,5.085418301954561,-0.2807675274786999,1.3935406086347288,0.22354305175618117,-0.07536038518913893,0.0,0.30144515809846073,1.0,-10.0
18,0.0,0.0,0.0,-1.0249135375347813e-05,0.0,0.0,0.8941722070247405,21.11702509216461,-2.80685800471291,0.0,4.638756348191661,-13.065331524052684,0.0,4.414789146686008,-0.28076752747869804,0.9464545051223613,0.0,-0.07536038518914179,0.0,0.30144515809846223,1.0,-10.0
32,0.0,0.0,0.0,-1.0249135375347813e-05,0.0,0.0,8.38174578016394,17.37323830559501,-2.80685800471291,0.0,0.894969561622059,-13.065331524052684,0.0,4.414789146686008,-0.28076752747869804,0.9464545051223613,0.0,-0.07536038518914179,0.0,0.30144515809846223,1.0,-10.0
38,0.0,6.32051357269865,0.0,-1.0249135375347779e-05,0.0,0.0,10.001551925027531,0.0,-7.507565432547928,0.0,4.57921113925416,-3.7911239427757852,0.0,0.0,-0.28076752747869793,0.5018252172174961,0.0,-0.07536038518914139,0.0,0.3014451580984615,1.0,-10.0
39,0.0,7.760531050459898,0.5901054241516567,-1.0249135375347806e-05,0.0,0.0,0.0,5.892311123918157,-10.211039974202103,0.0,6.333064235101492,-3.2892987255582926,0.0,0.0,-0.28076752747869754,0.0,4.2921964088962525,-0.07536038518914148,0.0,0.3014451580984635,1.0,-10.0
40,0.0,0.42665952066283475,0.5901054241516558,-1.0249135375347798e-05,0.0,0.0,0.0,16.893118418613742,-2.877168444405034,0.0,6.333064235101491,-10.623170255355355,0.0,3.666935764898527,-0.28076752747869616,0.0,0.6252606439977219,-0.07536038518914001,0.0,0.30144515809846184,1.0,-10.0
41,0.0,0.0,0.590105424151655,-1.0249135375347804e-05,0.0,0.0,0.0,18.06643210043655,-2.557173803907908,0.10666488016570753,6.0130695946043655,-11.369824416515318,0.0,3.9869304053956554,-0.2807675274786984,0.0,0.518595763832013,-0.07536038518913978,0.0,0.3014451580984628,1.0,-10.0
42,0.0,0.0,1.1087011879836677,-1.0249135375347793e-05,0.0,0.0,0.0,19.622219391932564,-2.557173803907905,0.10666488016570543,5.494473830772346,-12.407015944179333,0.0,4.505526169227664,-0.2807675274786968,0.0,0.0,-0.07536038518913916,0.0,0.30144515809846056,1.0,-10.0
48,0.0,0.0,0.5901054241516519,-1.0249135375347784e-05,0.0,0.0,0.0,17.74643745993939,-2.450508923742195,0.0,5.693074954107229,-11.04982977601817,0.0,3.880265525229938,-0.2807675274786964,0.0,0.4119308836663011,-0.07536038518913764,0.0,0.3014451580984611,1.0,-9.573340479337167
49,0.0,0.0,0.31548483504078406,-1.0249135375347779e-05,0.0,0.0,0.0,16.647955103495907,-2.1758883346313267,0.0,5.006523481330051,-10.22596800868556,0.0,3.4683346415636334,-0.2807675274786962,0.0,0.0,-0.07536038518914014,0.0,0.3014451580984609,1.0,-8.47485812289369
50,0.0,0.0,1.00203630781796,-1.0249135375347808e-05,0.0,0.0,0.0,18.982230110938342,-2.450508923742201,0.0,5.281144070440935,-11.873691543350809,0.0,4.292196408896255,-0.28076752747870043,0.0,0.0,-0.07536038518914105,0.0,0.301445158098461,1.0,-9.573340479337167
66,0.0,7.760531050459898,0.5901054241516567,-1.0249135375347806e-05,0.0,0.0,8.738094861134636,1.5232636933508354,-10.211039974202103,0.0,1.9640168045341744,-3.2892987255582926,0.0,0.0,-0.28076752747869754,0.0,4.2921964088962525,-0.07536038518914148,0.0,0.3014451580984635,1.0,-10.0
67,0.0,0.0,0.31548483504078406,-1.0249135375347779e-05,0.0,0.0,1.5251418771063112,15.122813226389592,-2.1758883346313267,0.0,6.531665358436366,-10.22596800868556,0.0,3.4683346415636334,-0.2807675274786962,0.0,0.0,-0.07536038518914014,0.0,0.3014451580984609,1.0,-10.0
68,0.0,0.0,1.00203630781796,-1.0249135375347808e-05,0.0,0.0,0.4266595206628334,18.555570590275508,-2.450508923742201,0.0,5.707803591103773,-11.873691543350809,0.0,4.292196408896255,-0.28076752747870043,0.0,0.0,-0.07536038518914105,0.0,0.301445158098461,1.0,-10.0
69,0.0,0.0,0.5901054241516519,-1.0249135375347784e-05,0.0,0.0,0.42665952066283286,17.319777939276552,-2.450508923742195,0.0,6.119734474770062,-11.04982977601817,0.0,3.880265525229938,-0.2807675274786964,0.0,0.4119308836663011,-0.07536038518913764,0.0,0.3014451580984611,1.0,-10.0
79,0.0,0.0,0.5901054241516519,-1.0249135375347784e-05,0.0,0.0,8.738094861134616,13.164060269040657,-2.450508923742195,0.0,1.9640168045341702,-11.04982977601817,0.0,3.880265525229938,-0.2807675274786964,0.0,0.4119308836663011,-0.07536038518913764,0.0,0.3014451580984611,1.0,-10.0
88,0.0,0.0,0.5901054241516568,-1.024913537534782e-05,0.0,0.8238617673326107,7.914233093802036,16.047576454704846,-2.4505089237422033,0.0,1.1401550372015654,-12.697553310683434,0.0,4.292196408896261,-0.2807675274786986,0.0,0.0,-0.07536038518913743,0.0,0.3014451580984652,1.0,-10.0
97,0.0,0.0,1.00203630781796,-1.0249135375347808e-05,0.0,0.0,8.738094861134638,14.39985292003961,-2.450508923742201,0.0,1.5520859208678692,-11.873691543350809,0.0,4.292196408896255,-0.28076752747870043,0.0,0.0,-0.07536038518914105,0.0,0.301445158098461,1.0,-10.0
100,0.0,0.0,0.31548483504078406,-1.0249135375347779e-05,0.0,0.0,9.012715450245482,11.379026439820006,-2.1758883346313267,0.0,2.7878785718667767,-10.22596800868556,0.0,3.4683346415636334,-0.2807675274786962,0.0,0.0,-0.07536038518914014,0.0,0.3014451580984609,1.0,-10.0
