,M_co2_e,M_fe2_e,M_glyclt_e,M_h2o_e,M_h_e,M_mal__45__L_e,M_nh4_e,M_orot_e,M_pi_e,M_pyr_e,M_so4_e,objective,virtual_tag_R_constraint_reaction,M_cit_e
13,10.299176131715656,-2.0498270750695592e-05,0.0,12.49242583894005,-12.338729706602555,6.00000000000004,-6.578597451116583,0.0,-0.5615350549573981,0.0,-0.15072077037828333,0.6028903161969291,1.0,-10.0
14,1.8929090102447166,-2.0498270750695575e-05,0.0,30.145586794028993,-5.613716009425803,1.796866439264572,-16.666117996881695,5.043760272882555,-0.5615350549573989,0.0,-0.15072077037827925,0.6028903161969278,1.0,-10.0
15,11.980429556009804,-2.0498270750695527e-05,0.0,15.014305975381284,-15.701236555190883,1.7968664392645668,-6.57859745111656,0.0,-0.561535054957396,5.04376027288254,-0.15072077037828235,0.6028903161969231,1.0,-10.0
25,10.299176131715656,-2.0498270750695592e-05,10.337653994866757,7.323598841506671,-12.338729706602555,0.8311730025666612,-6.578597451116583,0.0,-0.5615350549573981,0.0,-0.15072077037828333,0.6028903161969291,1.0,-10.0
