M_ac_e,M_ca2_e,M_cd2_e,M_cit_e,M_cl_e,M_co2_e,M_cobalt2_e,M_cu2_e,M_fe2_e,M_fe3_e,M_for_e,M_fum_e,M_gln__45__L_e,M_gly_e,M_h2_e,M_h2o_e,M_h2s_e,M_h_e,M_ile__45__L_e,M_k_e,M_leu__45__L_e,M_lys__45__L_e,M_mal__45__L_e,M_mg2_e,M_mn2_e,M_mobd_e,M_n2_e,M_na1_e,M_nh4_e,M_ni2_e,M_oxa_e,M_pi_e,M_pro__45__L_e,M_s_e,M_so4_e,M_ss_e,M_succ_e,M_ura_e,M_val__45__L_e,M_zn2_e,M_fixed_uptake,objective,virtual_tag_R_constraint_reaction
0.0,-3.480279449882978e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.28323314721792414,-0.28323314721792414,0.0021333987337981007,0.0,0.0,0.0,-0.13023650397052278,0.0,0.0,0.284957820930259,0.0,-8.213462313990123e-05,0.0,0.0,0.008098895454781083,-1.1832954199987551e-05,0.0,0.0,-0.001256085990124311,0.0,0.0,0.0,0.0,-0.0006579030024953225,0.0,0.0,-6.184898963031352e-05,0.0,0.0,0.0,0.0,0.0,-0.003663711576881464,0.00037003503885406564,0.002003186271520245
0.0,-3.29326317062213e-07,0.0,0.005200257584630747,0.0,0.0,0.0,0.0,0.28534752417229187,-0.28534752417229187,0.0020187584300178567,0.0,0.0,0.0,-0.1267049542287354,0.0,0.0,0.28871294002145,0.0,-7.772103743814595e-05,0.0,0.0,0.002463435664153148,-1.1197098631774458e-05,0.0,0.0,-0.0011885889595876899,0.0,0.0,0.0,0.0,-0.0006225499300156535,0.0,0.0,-5.8525472630236725e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00035015083784113905,0.0018955430639672646
0.0,-3.1808878961543224e-07,0.0,0.002098001182084841,0.0,0.0,0.0,0.0,0.2853600390934538,-0.2853600390934538,0.0,0.0,0.0,0.0,-0.12823104810512467,0.0,0.0,0.2876356812223049,0.0,-7.506898005264873e-05,0.0,0.0,0.0072540583875672845,-1.0815022567154616e-05,0.0,0.0,-0.0011480310072944815,0.0,0.0,0.0,0.0,-0.000601306799530516,0.0,0.0,-5.6528421161999954e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00033820271998085354,0.0018308618766333564
0.0,-3.259538583521741e-07,0.0,0.006609929808446398,0.0,0.0,0.0,0.0,0.28535127998557713,-0.28535127998557713,0.0029733689426756117,0.0,0.0,0.0,-0.12638271857011205,0.0,0.0,0.28916987415113754,0.0,-7.692513691006267e-05,0.0,0.0,0.0,-1.1082434996190307e-05,0.0,0.0,-0.0011764172411985387,0.0,0.0,0.0,0.0,-0.0006161747215214026,0.0,0.0,-5.792614384992034e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000346565126096512,0.00187613179804307
0.0,-2.818208165987348e-07,0.0,0.0012829399802527681,0.0,0.0,0.0,0.0,0.2850713723094999,-0.2850713723094999,0.0,0.0,0.0,0.0005758504759437289,-0.13059793894920904,0.0,0.0,0.28651169890101785,0.0,-6.650973549004697e-05,0.0,0.0,0.007002812774460178,-9.58191106041226e-06,0.0,0.0,-0.0013050595932805062,0.0,0.0,0.0,0.0,-0.0005327467638043421,0.0,0.0,-5.008314135236388e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00029964138892209875,0.0016221099453901401
0.0,-4.1339403639349747e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.26130217046171195,-0.26130217046171195,0.054069635686306045,0.0,0.0,0.0,-0.08483811857837274,-0.04191552720997463,0.0,0.29129445463421966,0.0,-9.756102599348511e-05,0.0,0.0,0.0,-1.4055402072258083e-05,0.0,0.0,-0.0014920021940544787,0.0,0.0,0.0,0.0,-0.0007814693666799875,0.0,0.0,-7.346537494566588e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00043953446992324246,0.002379421739997457
0.0,-3.6126360137493e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.2787924522592938,-0.2787924522592938,0.013623665265988077,0.0,0.0,0.0,-0.11617423498252366,-0.011409132436543784,0.0,0.28818880436530403,0.0,-8.525823911666371e-05,0.0,0.0,0.008406900024225483,-1.2282966671931602e-05,0.0,0.0,-0.0013038554948343628,0.0,0.0,0.0,0.0,-0.0006829233441148857,0.0,0.0,-6.420113400950909e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0003841076347355578,0.002079368329743048
0.0,-6.359563559516073e-07,0.0,0.0,0.0,0.08166879760411977,0.0,0.0,0.294162989807515,-0.294162989807515,0.0,0.0,0.0,0.0,0.0024211593284659667,-0.06196401666276264,0.0,0.2571229181527175,0.0,-0.00015008575139351666,0.0002517914849361139,0.0,0.0,-2.1622523540227156e-05,0.0,0.0,-0.0024211593284659667,0.0,0.0,0.0,0.0,-0.0012021954043104639,0.0,0.0,-0.0001130175281352924,0.0,0.0,0.0,0.0,0.0,0.0,0.0006761702279164844,0.003660450431850056
0.0,-1.91292243877252e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.27995958675239563,-0.27995958675239563,0.013382468775666184,0.0,0.0,0.0,-0.13914609926518648,0.0,0.0,0.2822006016312482,0.0,-4.514498501254682e-05,0.0019395817422150363,0.0,0.0,-6.503938529098526e-06,0.0,0.0,-0.0016601937856255994,0.0,0.0,0.0,0.0,-0.00036161389742752774,0.0,0.0,-3.399506326516792e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00020338835979961448,0.0011010437589892344
0.0,-2.2466765104847987e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.28172110314302073,-0.28172110314302073,0.0,0.0,0.0,0.0,-0.14048048636821123,0.006464315510389133,0.0,0.2793982748958482,0.0,-5.302158380188177e-05,0.0013100417641826651,0.0,0.005381256466519401,-7.638702763264706e-06,0.0,0.0,-0.0014658807368240377,0.0,0.0,0.0,0.0,-0.00042470590168653354,0.0,0.0,-3.9926297356471054e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00023887421737863972,0.0012931466013459021
0.0,-1.582458526531063e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.2792918410789587,-0.2792918410789587,0.007580633116653279,0.0,0.0,0.0,-0.14506369443346823,0.005816613798017178,0.0,0.27765574467244386,0.0,-3.7346034013309636e-05,0.0021861737236694937,0.0,0.0,-5.380360840981168e-06,0.0,0.0,-0.001664220304925147,0.0,0.0,0.0,0.0,-0.00029914385638317545,0.0,0.0,-2.8122299489804436e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00016825232306260884,0.0009108346732627372
0.0,-7.365527718556123e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.2817168567847105,-0.2817168567847105,0.0,0.0,0.0,0.0017641967359268483,-0.14779061436317248,0.006235726993658356,0.0,0.2774269448761726,0.0,-1.738265136756318e-05,0.0010175510377870638,0.0,0.0,-2.504280285749582e-06,0.0,0.0,-0.0016567070278554962,0.0,0.0,0.0,0.0,-0.00013923602603703371,0.0,0.0,-1.3089478992903346e-05,0.0,0.0,0.0,0.0,0.0,0.0,7.831277271738211e-05,0.0004239465313283843
0.0,-2.0260452438805504e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.2816699910997433,-0.2816699910997433,0.0,0.0,0.0,0.0,-0.14165580140559275,0.006682765831691936,0.0,0.27910985353254875,0.0,-4.781468412719377e-05,0.0013365308605951989,0.0,0.004620089325279917,-6.888556198769406e-06,0.0,0.0,-0.0013994960923301907,0.0,0.0,0.0,0.0,-0.00038299833916647166,0.0,0.0,-3.6005399303072525e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00021541595763657507,0.0011661552115181072
0.0,-1.489337283596923e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.27950685794753266,-0.27950685794753266,0.006792416217229557,0.0,0.0,0.0,-0.1454511120471913,0.006044542247796052,0.0,0.2776249116575984,0.0,-3.5148371927590644e-05,0.0021145475483324086,0.0,0.0,-5.063748506094484e-06,0.0,0.0,-0.0015947983389130941,0.0,0.0,0.0,0.0,-0.00028154045809154483,0.0,0.0,-2.6467416635845913e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00015835135871664747,0.0008572357602677353
0.0,-7.340068050652209e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.28169855723530873,-0.28169855723530873,0.0,0.0,0.0,0.001673791350418914,-0.14784181007547134,0.006326582281558252,0.0,0.2774234738274162,0.0,-1.732256653073706e-05,0.001042136195208572,0.0,0.0,-2.4956239956845976e-06,0.0,0.0,-0.001622878035525989,0.0,0.0,0.0,0.0,-0.00013875474307692307,0.0,0.0,-1.3044233926843109e-05,0.0,0.0,0.0,0.0,0.0,0.0,7.804207694890428e-05,0.00042248111862354246
0.0,-1.8704921123383278e-07,0.0,0.0,0.0,0.008530747935996327,0.0,0.0,0.282792951005544,-0.282792951005544,0.0,0.0,0.0,0.0,-0.1400215755837581,0.0075914762369289155,0.0,0.27189862449675806,0.0,-4.41436289658384e-05,0.0026557077123374926,0.0,0.0,-6.3596753695975845e-06,0.0,0.0,-0.0020029430180534915,0.0,0.0,0.0,0.0,-0.00035359297854446205,0.0,0.0,-3.324102243096784e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00019887702451267512,0.001076621626044722
0.0,-6.379110980261106e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.2816701378148059,-0.2816701378148059,0.0,0.0,0.0,0.0,-0.14836680221055573,0.00743785632039116,0.0,0.2779547456248935,0.0,-1.5054707068105387e-05,0.0013905869313545897,0.0,0.0,-2.1688984793622093e-06,0.0,0.0,-0.0009255253205366384,0.0,0.0,0.0,0.0,-0.00012058905980397001,0.0,0.0,-1.1336491064878556e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.782485755604152e-05,0.0003671701575743515
0.0,-2.0482752141412377e-07,0.0,0.0,0.0,0.009812088380209666,0.0,0.0,0.28300822089342786,-0.28300822089342786,0.0,0.0,0.0,0.0,-0.13870458624864748,0.0075288076578079255,0.0,0.2710784304305254,0.0,-4.8339311604976955e-05,0.002829701617403608,0.0,0.0,-6.964138123654961e-06,0.0,0.0,-0.0021541046064070977,0.0,0.0,0.0,0.0,-0.0003872006351000294,0.0,0.0,-3.640045413126503e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00021777952298458606,0.0011789503826771385
0.0,-3.1085557201360065e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.284835550776614,-0.284835550776614,0.0,0.0,0.0,0.0,-0.12969529538241287,0.0,0.0,0.2865002747352924,0.0,-7.336194011413081e-05,0.00018639031240035795,0.0,0.009884958556071103,-1.0569093084095734e-05,0.0,0.0,-0.0012151203768070806,0.0,0.0,0.0,0.0,-0.0005876333125405358,0.0,0.0,-5.524298645225408e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0003305121192837639,0.0017892287767413495
0.0,-3.041388548905336e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.28411519832100524,-0.28411519832100524,0.0,0.0,0.0,0.0,-0.13155078233229472,0.0014232284474437363,0.0,0.28496764583774276,0.0,-7.177679433033756e-05,0.00044113174910337085,0.0,0.009283219110900987,-1.0340724623355615e-05,0.0,0.0,-0.001318249437557798,0.0,0.0,0.0,0.0,-0.0005749362046622414,0.0,0.0,-5.404934044285593e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0003233706793005768,0.0017505685607317838
0.0,-3.112622513250078e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.284244209552973,-0.284244209552973,0.0015148251363509629,0.0,0.0,0.0,-0.13017482089560845,0.0,0.0,0.28604882277624044,0.0,-7.345791646448495e-05,0.00039320122307901336,0.0,0.009209333752736935,-1.0582920185439925e-05,0.0,0.0,-0.0013199935998727877,0.0,0.0,0.0,0.0,-0.0005884020885652212,0.0,0.0,-5.5315258535218375e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0003309445144318109,0.0017915695497317185
0.0,-2.79935330405606e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.284757084481026,-0.284757084481026,0.0,0.0,0.0,0.0005321741770378848,-0.13135695954968155,0.0,0.0,0.285869185592844,0.0,-6.606476059611044e-05,0.00011947093444772103,0.0,0.008708201721548164,-9.517804507794046e-06,0.0,0.0,-0.0013361519035057388,0.0,0.0,0.0,0.0,-0.0005291824895973827,0.0,0.0,-4.9748066489307e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00029763667646500954,0.0016112574258967888
0.0,-3.2249841142643423e-07,0.0,0.0,0.0,0.013079236184878568,0.0,0.0,0.28718068142600084,-0.28718068142600084,0.0,0.0,0.0,0.0,-0.1241489879727855,0.0,0.0,0.27701754153587166,0.0,-7.610965115636804e-05,0.0019769036150593822,0.0,0.0043100841802559894,-1.0964949760301727e-05,0.0,0.0,-0.0021523978131980314,0.0,0.0,0.0,0.0,-0.0006096426342561574,0.0,0.0,-5.731206700880526e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00034289117848443926,0.0018562428668716328
0.0,-3.337175470438986e-07,0.0,0.002676014521421938,0.0,0.015318248803304478,0.0,0.0,0.2882511287802428,-0.2882511287802428,0.0,0.0,0.0,0.0,-0.12133186767924882,0.0,0.0,0.27684242682055965,0.0,-7.875736806866042e-05,0.002045676511216938,0.0,0.0,-1.134640050250971e-05,0.0,0.0,-0.002227275834649963,0.0,0.0,0.0,0.0,-0.0006308509973040736,0.0,0.0,-5.930585001519277e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0003548197415320332,0.0019208181941430798
0.0,-6.329323605757912e-07,0.0,0.0,0.0,0.08089491606971436,0.0,0.0,0.2954630384211282,-0.2954630384211282,0.0,0.0,0.0,0.0,0.0,-0.061026803097655194,0.0,0.2585990936410065,0.0,-0.00014937208824046777,0.000314851450788283,0.0,0.0,-2.1519707662082056e-05,0.0,0.0,-0.0024417752503792457,0.0,0.0,0.0,0.0,-0.0011964789218672268,0.0,0.0,-0.00011248012571880752,0.0,0.0,0.0,0.0,0.0,0.0,0.000672955014131217,0.0036430448582195265
0.0,-3.375773662168701e-07,0.0,0.0,0.0,0.024354581882015672,0.0,0.0,0.28912419977746395,-0.28912419977746395,0.0,0.0,0.0,0.0,-0.11744431994783593,-0.0012304389283443998,0.0,0.2694626464071849,0.0,-7.966828570537732e-05,0.003299775991694828,0.0,0.0,-1.1477634399533528e-05,0.0,0.0,-0.0028682562515986356,0.0,0.0,0.0,0.0,-0.0006381474993797111,0.0,0.0,-5.99917889446429e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00035892363134377867,0.0019430346192583308
