,M_ac_e,M_ca2_e,M_co2_e,M_fe2_e,M_fe3_e,M_for_e,M_gly_e,M_h2_e,M_h2o_e,M_h_e,M_k_e,M_mal__45__L_e,M_mg2_e,M_n2_e,M_pi_e,M_so4_e,objective,virtual_tag_R_constraint_reaction,M_lac__45__L_e
22,2.7396876519753186,-0.00034399962743050864,0.0,245.67991897186866,-245.67991897186866,10.113858497049556,0.0,-119.59676389498549,0.0,248.29785932812928,-0.08118393987075172,0.0,-0.011695991355909248,-1.2415471770175486,-0.6502879754423415,-0.06113310639608734,0.3657519958815609,1.0,-10.0
54,2.036785887758358,-0.000343999627430508,10.113858497049552,228.03020977500083,-228.03020977500083,0.0,0.7029017642169639,-101.00950168161047,0.0,219.83138986999492,-0.08118393987067887,0.0,-0.011695991355909225,-1.592998059125997,-0.6502879754423306,-0.061133106396087225,0.36575199588152935,1.0,-10.0
55,3.794040298300782,-0.00034399962743050566,8.005153204398484,177.42128275137637,-177.42128275137637,0.0,0.0,-79.57099787299182,2.1087052926509333,170.979717256913,-0.08118393987070631,0.0,-0.011695991355909147,-1.2415471770175088,-0.6502879754422984,-0.061133106396086836,0.36575199588155705,1.0,-10.0
56,2.7396876519751805,-0.00034399962743048837,10.113858497048978,181.63869333666915,-181.63869333666915,0.0,0.0,-77.46229258033694,0.0,174.14277519588066,-0.08118393987069691,0.0,-0.011695991355908559,-1.24154717701748,-0.6502879754423087,-0.06113310639608374,0.3657519958815163,1.0,-10.0
57,2.7396876519753044,-0.00034399962743050425,8.00515320439849,181.63869333667762,-181.63869333667762,2.108705292650886,0.0,-79.57099787299148,0.0,176.2514804885397,-0.08118393987069675,0.0,-0.011695991355909102,-1.2415471770175217,-0.6502879754422863,-0.06113310639608659,0.3657519958815326,1.0,-10.0
117,4.4571119653143505,-0.000343999627430545,0.0,526.0076461445751,-526.0076461445751,0.0,3.339504935186424,-271.54423844598233,10.113858497050503,520.2291523171243,-0.08118393987076034,0.0,-0.011695991355910486,-2.911299644610864,-0.6502879754423874,-0.06113310639609382,0.365751995881587,1.0,-10.0
118,4.457111965313899,-0.00034399962743049796,0.0,238.8102217185065,-238.8102217185065,6.679009870371981,0.0,-119.59676389498179,3.4348486266772014,239.71073776142848,-0.0811839398707492,0.0,-0.011695991355908883,-1.2415471770174533,-0.6502879754422936,-0.06113310639608545,0.36575199588154783,1.0,-10.0
119,1.1176070301277994,-0.00034399962743048945,0.0,272.20527107035986,-272.20527107035986,0.0,0.0,-136.2942885709085,6.774353561863025,269.76628217809593,-0.08118393987074721,3.3395049351858597,-0.011695991355908595,-1.241547177017429,-0.6502879754422971,-0.061133106396083936,0.3657519958815472,1.0,-10.0
120,4.457111965313843,-0.0003439996274304951,6.679009870371929,185.37814275552887,-185.37814275552887,0.0,0.0,-86.20171454312099,3.4348486266771747,179.5996489280789,-0.08118393987074458,0.0,-0.011695991355908788,-1.2415471770175066,-0.650287975442272,-0.061133106396084935,0.3657519958815133,1.0,-10.0
121,4.8522263993888535,-0.00034399962743054144,0.0,518.1053574630795,-518.1053574630795,0.0,2.9443905011118723,-267.3955368881971,10.113858497050494,512.7219780697031,-0.08118393987075949,0.0,-0.011695991355910365,-2.7137424275735,-0.6502879754423732,-0.06113310639609318,0.36575199588152457,1.0,-10.0
122,7.796616900500635,-0.00034399962743053244,0.0,500.43901445639494,-500.43901445639494,0.0,0.0,-257.0901701342987,10.113858497050188,498.0000255641307,-0.08118393987075737,0.0,-0.01169599135591006,-1.2415471770176276,-0.650287975442323,-0.06113310639609158,0.36575199588149815,1.0,-10.0
123,4.852226399388183,-0.0003439996274304914,0.0,264.88777436741606,-264.88777436741606,5.888781002222904,0.0,-133.42576908758542,4.225077494826031,265.3931759762636,-0.08118393987074765,0.0,-0.011695991355908661,-1.2415471770174562,-0.650287975442322,-0.06113310639608428,0.3657519958815524,1.0,-10.0
124,1.9078358982767207,-0.0003439996274304981,0.0,294.3316793785367,-294.3316793785367,0.0,0.0,-148.14772159314583,7.169467995937688,291.8926904862726,-0.08118393987074925,2.9443905011115388,-0.011695991355908892,-1.2415471770174507,-0.6502879754422897,-0.061133106396085476,0.36575199588152246,1.0,-10.0
125,4.852226399388184,-0.0003439996274304881,5.888781002222886,217.7775263496302,-217.7775263496302,0.0,0.0,-103.98186407646953,4.225077494825982,212.3941469562547,-0.08118393987069791,0.0,-0.01169599135590855,-1.2415471770174262,-0.6502879754422729,-0.06113310639608369,0.36575199588153573,1.0,-10.0
