,M_ac_e,M_ca2_e,M_cit_e,M_co2_e,M_fe2_e,M_fe3_e,M_for_e,M_gly_e,M_h2_e,M_h2o_e,M_h_e,M_ile__45__L_e,M_k_e,M_leu__45__L_e,M_lys__45__L_e,M_mg2_e,M_n2_e,M_pi_e,M_pro__45__L_e,M_so4_e,M_val__45__L_e,objective,virtual_tag_R_constraint_reaction,M_mal__45__L_e
101,6.137726579867341,-0.0001737371855709602,0.0,15.108009341944493,174.03942582875047,-174.03942582875047,0.0,2.670196476686115,-81.60882423958795,0.0,160.0581595839889,0.0,-0.041001989833712095,0.0,0.0,-0.005907066341368177,-1.962142267139753,-0.32842827042538153,0.0,-0.0308753062606495,0.0,0.18472323024320425,1.0,-10.0
102,6.367868551805985,-0.00017373718557095816,0.0,15.10800934194433,155.16778412976967,-155.16778412976967,0.0,2.4400545047473083,-72.05793240412824,0.0,141.41665985694698,0.0,-0.041001989833711616,0.0,0.0,-0.005907066341368109,-1.8470712811703864,-0.3284282704253934,0.0,-0.030875306260649143,0.0,0.18472323024320353,1.0,-10.0
152,1.6423580696178415,-0.00017373718557095778,0.0,15.543630493251195,153.4361571801835,-153.4361571801835,0.0,0.0,-78.8277055501426,7.901684142231578,134.95952242517268,0.0,-0.041001989833711526,0.0,0.0,-0.005907066341368096,-2.016594911053138,-0.328428270425419,0.0,-0.030875306260649073,2.7791017645128067,0.18472323024320486,1.0,-10.0
153,0.25280718736141056,-0.00017373718557095604,0.0,4.42722343519987,95.07502012541327,-95.07502012541327,0.0,0.0,-48.25758614050106,3.7330314954622774,89.10434331071025,0.0,-0.04100198983369629,0.0,0.0,-0.005907066341368039,-0.6270440287967158,-0.32842827042541506,0.0,-0.030875306260648768,0.0,0.184723230243185,1.0,-3.052245588718028
154,1.6423580696178832,-0.0001737371855709637,0.0,15.543630493251692,179.37444031564266,-179.37444031564266,0.0,0.0,-89.01774535335932,7.901684142231838,160.89780556063118,0.0,-0.04100198983371293,0.0,0.0,-0.005907066341368298,-2.016594911053202,-0.3284282704254036,2.779101764512903,-0.030875306260650128,0.0,0.1847232302431909,1.0,-10.0
155,4.112670749184868,-0.00017373718557096076,0.0,15.23484140830557,173.81623678661384,-173.81623678661384,0.0,0.0,-87.62819447110135,6.048949632556426,156.26596928644037,0.0,-0.04100198983371223,0.0,1.543945424729354,-0.0059070663413681975,-2.1709894535260763,-0.32842827042538325,0.0,-0.030875306260649604,0.0,0.1847232302431636,1.0,-10.0
156,3.7266843930023383,-0.00017373718557095347,0.0,14.848855052122635,133.28766938746224,-133.28766938746224,0.0,0.0,-68.23238007293578,7.206908701103175,116.89536095583647,1.736938602820468,-0.04100198983371052,0.0,0.0,-0.00590706634136795,-1.4955133302069366,-0.32842827042537964,0.0,-0.030875306260648314,0.0,0.1847232302431761,1.0,-10.0
157,7.200561598643305,-0.00017373718557095344,0.0,13.69089598357564,150.65705541566697,-150.65705541566697,0.0,2.315918137093939,-72.5747265799869,1.417113358368256,137.7386241896821,0.0,-0.041001989833710506,0.0,0.0,-0.005907066341367949,-1.7850030973436681,-0.3284282704254085,0.0,-0.030875306260648307,0.0,0.18472323024317458,1.0,-10.0
158,7.200561598643468,-0.00017373718557096217,0.0,0.0,848.8927505780684,-848.8927505780684,0.0,9.161366128882175,-452.49709012423415,15.108009341944616,835.9743193520832,0.0,-0.041001989833712574,0.0,0.0,-0.005907066341368247,-5.207727093237722,-0.3284282704253496,0.0,-0.030875306260649854,0.0,0.18472323024321696,1.0,-10.0
159,9.185634287581099,-0.00017373718557095577,0.0,14.352586879888404,102.20664514735294,-102.20664514735294,0.0,0.0,-45.86818058465777,0.7554224620557197,91.27328661030566,0.0,-0.0410019898336752,0.0,0.0,-0.0059070663413680275,-0.6270440287966922,-0.3284282704254155,0.0,-0.030875306260648713,0.0,0.18472323024320333,1.0,-10.0
