M_2ddglcn_e,M_ac_e,M_ala__45__D_e,M_alaala_e,M_arab__45__L_e,M_arg__45__L_e,M_asp__45__L_e,M_buts_e,M_bz_e,M_ca2_e,M_cd2_e,M_cellb_e,M_cgly_e,M_co2_e,M_cobalt2_e,M_cro4_e,M_cu2_e,M_eths_e,M_etoh_e,M_fe2_e,M_fe3_e,M_fru_e,M_fum_e,M_glc__45__D_e,M_gln__45__L_e,M_glu__45__L_e,M_glyc3p_e,M_glyclt_e,M_gthrd_e,M_h2_e,M_h2o_e,M_h_e,M_hexs_e,M_hom__45__L_e,M_ile__45__L_e,M_istnt_e,M_k_e,M_lac__45__L_e,M_leu__45__L_e,M_mal__45__L_e,M_met__45__D_e,M_met__45__L_e,M_mg2_e,M_mn2_e,M_mobd_e,M_mops_e,M_na1_e,M_nh4_e,M_ni2_e,M_no2_e,M_no3_e,M_o2_e,M_orot_e,M_pi_e,M_ppa_e,M_ppn_e,M_pro__45__L_e,M_ptrc_e,M_pyr_e,M_rib__45__D_e,M_so4_e,M_spmd_e,M_succ_e,M_sula_e,M_tsul_e,M_ura_e,M_val__45__L_e,M_zn2_e,M_fixed_uptake,objective,virtual_tag_R_constraint_reaction
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33784637482930413,0.0,0.0,0.0,0.0,0.0,-2.3244047154450314e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31170956376832937,-0.08465054909570549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07459811182302369,0.0,0.0,0.0,-0.16579402582029093,0.0,-0.0063675358058502335,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017091006048444454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006836484457191269,0.010488021354988839
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018711219404723083,0.0,0.0,0.0,0.0,0.0,-3.1376441080905e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5082348682674847,-0.07053348818589568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27563273215794337,0.0,0.0,0.0,-0.005131648455608278,0.08746749084203326,-0.00859534532498833,0.0,0.0,0.0,0.0,0.0,0.0,-0.002307063570853826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009228365023795588,0.01415746500226298
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21220745468835442,0.0,0.0,0.0,0.0,0.0,-3.4383915932877177e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26939576757459865,-0.26899695890995334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11034976777626809,0.0,0.0,0.0,-0.0056235239885792905,0.0,-0.00941922094690043,0.0,0.0,0.0,0.0,0.09585136963804533,0.0,-0.0025281987739622044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010112916450846228,0.01551447741333258
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20934095129244795,0.0,0.0,0.0,0.0,0.0,-4.1664764675560035e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2945729030030269,-0.25079689690579987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1337165061529448,0.0,0.0,0.0,0.0,0.0,-0.011413755924305881,0.0,0.0,0.0,0.0,0.0,0.0,-0.003063548874881171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06604098603077851,0.012254342551635305,0.018799692616532734
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030214935742660664,0.0,0.0,0.0,0.0,0.0,-3.271968859654036e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4907496156509901,-0.0896070902427673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26602741158185833,0.0,0.0,0.0,0.0,0.08050935978524855,-0.00896331810507667,0.0,0.0,0.0,0.0,0.0,0.0,-0.0024058305853145003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007135117248063927,0.009623437822511871,0.01476355603862203
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2079778161401341,0.0,0.0,0.0,0.0,0.0,-3.558458038126252e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2710430377377605,-0.2725702675502271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11420311139527854,0.0,0.0,0.0,0.0,0.0,-0.009748134144120535,0.0,0.0,0.0,0.0,0.08755865069648257,0.0,-0.0026164818651689668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007759858486865604,0.010466053053312507,0.016056233084845682
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23890080545208206,0.0,0.0,0.0,0.0,0.0,-3.742748263365734e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27308996311195666,-0.25071585295956644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12011761618825001,0.0,0.0,0.0,0.0,0.0,-0.010252983665412241,0.0,0.0,0.0,0.0,0.0,0.0,-0.002751987757637187,0.0,0.07627455851901561,0.0,0.0,0.0,0.0,0.0,0.0,0.011008083127546277,0.016887774943707093
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024342537234756666,0.0,0.0,0.0,0.0,0.0,-3.2033989777581385e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49792906205422377,-0.08249002432074684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2709307200920762,0.0,0.0,0.0,0.0,0.08406133527171891,-0.00877547595552594,0.0,0.0,0.0,0.0,0.0,0.0,-0.002355412159537063,0.0,0.005239191205440416,0.0,0.0,0.0,0.0,0.0,0.0,0.009421761699288643,0.014454159666787729
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2101289258656752,0.0,0.0,0.0,0.0,0.0,-3.4973946412759495e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26829859432996944,-0.2736129661460798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.112243377758419,0.0,0.0,0.0,0.0,0.0,-0.009580855458404782,0.0,0.0,0.0,0.0,0.09177616199514434,0.0,-0.002571582847456069,0.0,0.005720024066234452,0.0,0.0,0.0,0.0,0.0,0.0,0.010286454827282205,0.01578070696587052
