,M_ac_e,M_co2_e,M_etoh_e,M_fe2_e,M_fum_e,M_glu__45__L_e,M_glyclt_e,M_h2o_e,M_h_e,M_hom__45__L_e,M_nh4_e,M_o2_e,M_orot_e,M_pi_e,M_pro__45__L_e,M_pyr_e,M_so4_e,M_succ_e,objective,virtual_tag_R_constraint_reaction,M_mal__45__L_e
1,0.0,4.57741161409586,0.0,-9.11034255586473e-06,0.0,0.0,0.0,7.774411483973384,-5.48387986960115,0.0,-2.923821089385154,0.0,0.0,-0.24957113553662147,0.0,0.0,-0.06698700905701475,0.0,0.26795125164307987,1.0,-4.000000000000005
2,0.0,8.005983042667285,0.0,-9.110342555864733e-06,0.0,0.0,0.0,10.345840055401954,-7.198165583886863,0.0,-2.923821089385154,0.0,0.0,-0.2495711355366226,0.0,0.0,-0.06698700905701259,5.142857142857138,0.26795125164307926,1.0,-10.0
3,0.0,10.57741161409586,0.0,-9.110342555864738e-06,0.0,0.0,0.0,12.27441148397339,-12.983879869601152,4.5,-7.4238210893851555,0.0,0.0,-0.24957113553662,0.0,0.0,-0.06698700905701457,0.0,0.2679512516430769,1.0,-10.0
4,0.0,4.577411614095852,0.0,-9.11034255586472e-06,5.9249657789184935,0.0,0.15006844216298493,13.624343041810377,-5.483879869601143,0.0,-2.923821089385152,0.0,0.0,-0.24957113553662263,0.0,0.0,-0.06698700905701176,0.0,0.26795125164308,1.0,-10.0
5,0.0,4.57741161409586,0.0,-9.11034255586473e-06,0.0,0.0,0.15006844216298554,7.699377262891888,-5.48387986960115,0.0,-2.923821089385154,0.0,0.0,-0.24957113553662147,0.0,0.0,-0.06698700905701475,0.0,0.26795125164307987,1.0,-4.0750342210814985
6,0.0,7.539894503555102,0.0,-9.11034255586472e-06,0.0,0.0,1.6313098868926101,9.180618707621505,-6.9651213143307675,0.0,-2.923821089385152,0.0,0.0,-0.24957113553662263,0.0,0.0,-0.06698700905701176,4.443724334188872,0.26795125164308,1.0,-10.0
7,0.0,16.427343171932865,5.9249657789185,-9.110342555864731e-06,0.0,0.0,0.15006844216298554,7.69937726289189,-17.333811427438153,0.0,-2.923821089385154,0.0,0.0,-0.24957113553662325,0.0,0.0,-0.06698700905701296,0.0,0.2679512516430774,1.0,-10.0
8,0.0,16.427343171932865,0.0,-9.110342555864731e-06,0.0,0.0,6.0750342210814905,13.624343041810393,-2.5213969801419,0.0,-2.923821089385154,-8.887448668377754,0.0,-0.24957113553662325,0.0,0.0,-0.06698700905701296,0.0,0.2679512516430774,1.0,-10.0
9,0.0,9.317384237230673,0.0,-9.110342555864743e-06,0.0,0.0,2.52005475373039,10.069363574459304,-11.408845648519668,3.5549794673511026,-6.478800556736264,0.0,0.0,-0.24957113553662352,0.0,0.0,-0.06698700905701252,0.0,0.26795125164308065,1.0,-10.0
10,0.0,4.577411614095857,0.0,-9.110342555864724e-06,5.999999999999993,0.0,0.0,13.77441148397337,-5.483879869601144,0.0,-2.9238210893851546,0.0,0.0,-0.2495711355366207,0.0,0.0,-0.06698700905701273,0.0,0.2679512516430767,1.0,-10.0
