,M_ac_e,M_ca2_e,M_cit_e,M_co2_e,M_fe2_e,M_fe3_e,M_for_e,M_gly_e,M_h2_e,M_h2o_e,M_h_e,M_ile__45__L_e,M_k_e,M_leu__45__L_e,M_lys__45__L_e,M_mal__45__L_e,M_mg2_e,M_n2_e,M_pi_e,M_pro__45__L_e,M_so4_e,M_val__45__L_e,objective,virtual_tag_R_constraint_reaction,M_lac__45__L_e
127,5.840182949000772,-0.0002779794969135364,0.0,0.0,198.69719140801857,-198.69719140801857,6.677802830079355,0.0,-98.22284370714247,1.4950121170311637,201.0247886676934,0.0,-0.06560318373393938,0.0,0.0,0.0,-0.009451306146189088,-1.0032704460747481,-0.5254852326806497,0.0,-0.04940049001703922,0.0,0.29555716838913754,1.0,-10.0
128,2.5012815339610963,-0.00027797949691353666,0.0,0.0,232.08620555841568,-232.08620555841568,0.0,0.0,-114.91735078234109,4.833913532070854,231.07490140305083,0.0,-0.06560318373393945,0.0,0.0,3.3389014150396865,-0.009451306146189099,-1.0032704460747712,-0.5254852326806506,0.0,-0.04940049001703928,0.0,0.2955571683891233,1.0,-10.0
129,5.840182949000791,-0.00027797949691353726,0.0,6.677802830079363,145.27476876738402,-145.27476876738402,0.0,0.0,-64.8338295567458,1.4950121170312163,140.92456319697942,0.0,-0.06560318373390663,0.0,0.0,0.0,-0.009451306146189118,-1.0032704460747464,-0.5254852326806605,0.0,-0.04940049001703938,0.0,0.29555716838912505,1.0,-10.0
130,5.520898557829544,-0.000277979496913545,0.0,0.0,492.2284009248729,-492.2284009248729,0.0,3.6581858062109185,-253.49534419875482,8.172814947110693,487.55891096329685,0.0,-0.06560318373394143,0.0,0.0,0.0,-0.009451306146189383,-2.832363349180217,-0.525485232680554,0.0,-0.04940049001704076,0.0,0.2955571683891115,1.0,-10.0
131,5.0971180867289485,-0.00027797949691353444,0.0,7.104481376871619,139.2936511471276,-139.2936511471276,0.0,0.0,-61.51963924190865,1.7040042768895882,134.20038071445126,0.0,-0.06560318373392447,0.0,0.0,0.0,-0.009451306146189024,-1.1092155638498935,-0.5254852326806351,0.2118902355502094,-0.04940049001702493,0.0,0.2955571683891082,1.0,-10.0
132,5.520898557829348,-0.0002779794969135289,0.0,6.977347235541358,136.38369191223478,-136.38369191223478,0.0,0.16951218844019045,-59.873958412467196,1.1954677115689796,131.71420195065903,0.0,-0.06560318373389987,0.0,0.0,0.0,-0.009451306146188835,-1.0880265402948277,-0.5254852326806205,0.0,-0.04940049001702418,0.0,0.29555716838911666,1.0,-10.0
133,5.520898557829469,-0.00027797949691353585,0.0,7.316371612421928,125.87393622894581,-125.87393622894581,0.0,0.0,-53.85627572284163,0.8564433346886025,121.20444626736995,0.0,-0.06560318373392895,0.0,0.0,0.0,-0.009451306146189073,-1.003270446074774,-0.525485232680637,0.0,-0.04940049001699612,0.0,0.29555716838910007,1.0,-10.0
134,5.0123619925088105,-0.0002779794969135323,0.0,7.316371612421827,135.02759440471488,-135.02759440471488,0.0,0.0,-59.19590965870713,1.5344920884493989,129.84956787781846,0.0,-0.06560318373392392,0.16951218844016638,0.0,0.0,-0.009451306146188951,-1.0880265402948164,-0.5254852326806722,0.0,-0.04940049001699735,0.0,0.2955571683891069,1.0,-10.0
135,4.673337615628311,-0.00027797949691352625,0.0,6.468810670220718,132.65442376654923,-132.65442376654923,0.0,0.0,-58.94164137604554,1.7040042768895556,127.98493380497348,0.0,-0.06560318373389773,0.0,0.0,0.0,-0.009451306146188745,-1.0032704460747088,-0.5254852326806503,0.0,-0.049400490017031895,0.0,0.2955571683891128,1.0,-9.152439057799063
136,5.5208985578294465,-0.0002779794969135339,0.0,6.468810670220872,125.8739362289449,-125.8739362289449,0.8475609422009902,0.0,-54.70383666504223,0.8564433346886011,122.05200720957008,0.0,-0.06560318373391262,0.0,0.0,0.0,-0.009451306146189003,-1.0032704460747475,-0.5254852326806331,0.0,-0.04940049001699824,0.0,0.2955571683891046,1.0,-10.0
137,4.673337615628394,-0.0002779794969135297,0.0,5.621249728019803,141.13003318856067,-141.13003318856067,0.0,0.0,-63.1794460870512,1.7040042768895576,137.3081041691859,0.0,-0.06560318373388899,0.0,0.0,0.8475609422009666,-0.009451306146188864,-1.003270446074744,-0.525485232680667,0.0,-0.049400490017038036,0.0,0.29555716838908824,1.0,-10.0
138,5.278738288628988,-0.0002779794969135242,0.0,7.074211343221337,134.34954565095015,-134.34954565095015,0.0,0.0,-59.12326157794531,1.5829241422893978,129.43789542017421,0.12108013460011256,-0.06560318373389114,0.0,0.0,0.0,-0.009451306146188675,-1.0638105133747708,-0.5254852326806329,0.0,-0.04940049001703175,0.0,0.29555716838909474,1.0,-10.0
139,5.181874180949013,-0.00027797949691353146,0.0,7.146859423981622,133.6714968971929,-133.6714968971929,0.0,0.0,-58.68737309338635,1.5344920884493722,128.66298255873667,0.0,-0.06560318373392553,0.0,0.0,0.0,-0.009451306146188922,-1.0880265402948197,-0.5254852326806577,0.0,-0.049400490017008074,0.169512188440195,0.2955571683891188,1.0,-10.0
140,5.309008322279012,-0.00027797949691352517,0.0,7.104481376871415,136.8922284775535,-136.8922284775535,0.0,0.0,-60.31892790712191,1.4921140413393092,131.90490316265243,0.0,-0.06560318373389368,0.0,0.10594511777510371,0.0,-0.009451306146188708,-1.1092155638498222,-0.525485232680636,0.0,-0.049400490017034546,0.0,0.2955571683890988,1.0,-10.0
141,3.8257766734274514,-0.0002779794969135346,0.847560942200984,5.621249728019911,149.60564261057308,-149.60564261057308,0.0,0.0,-66.56968985585625,1.7040042768896049,145.78371359119825,0.0,-0.06560318373389486,0.0,0.0,0.0,-0.009451306146189027,-1.003270446074735,-0.5254852326806516,0.0,-0.04940049001703891,0.0,0.2955571683891314,1.0,-10.0
