M_2ddglcn_e,M_ac_e,M_ala__45__D_e,M_alaala_e,M_arab__45__L_e,M_arg__45__L_e,M_asp__45__L_e,M_buts_e,M_bz_e,M_ca2_e,M_cd2_e,M_cellb_e,M_cgly_e,M_cit_e,M_co2_e,M_cobalt2_e,M_cro4_e,M_cu2_e,M_eths_e,M_etoh_e,M_fe2_e,M_fe3_e,M_fru_e,M_fum_e,M_glc__45__D_e,M_gln__45__L_e,M_glu__45__L_e,M_glyc3p_e,M_glyclt_e,M_gthrd_e,M_h2_e,M_h2o_e,M_h_e,M_hexs_e,M_hom__45__L_e,M_ile__45__L_e,M_istnt_e,M_k_e,M_lac__45__L_e,M_leu__45__L_e,M_met__45__D_e,M_met__45__L_e,M_mg2_e,M_mn2_e,M_mobd_e,M_mops_e,M_na1_e,M_nh4_e,M_ni2_e,M_no2_e,M_no3_e,M_o2_e,M_orot_e,M_pi_e,M_ppa_e,M_ppn_e,M_pro__45__L_e,M_ptrc_e,M_pyr_e,M_rib__45__D_e,M_so4_e,M_spmd_e,M_succ_e,M_sula_e,M_tsul_e,M_ura_e,M_val__45__L_e,M_zn2_e,M_fixed_uptake,objective,virtual_tag_R_constraint_reaction
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.620183637989211e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4942631815843078,-0.06162049259736956,0.0,0.04869819525962371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2762981970681433,0.0,0.0,0.0,0.0,0.08780137867693134,-0.004438373945121591,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011912972027834964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004765245994085914,0.02092347565326944
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6350089530487243e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00538258340594214,0.0,0.0,0.49098113740461025,-0.06137695673604323,0.0,0.047798156974234604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2753277546083531,0.0,0.0,0.0,0.0,0.08752827901034792,-0.004478986805630432,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012021980389274175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004808849861908012,0.021114933653107505
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3062749112137673e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.547699562847036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2463235227782197,0.0,0.0,0.0,-0.07852595125326069,0.10220034248240324,-0.003578444069644291,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009604847322903182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003841985032981668,0.016869576176672858
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8543173418153722e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5395332607058246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24947748200960831,0.0,0.0,0.0,-0.017542989184090387,0.09498304237346002,-0.005079766011039843,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013634522720641694,0.0,0.06261880787844834,0.0,0.0,0.0,0.0,0.0,0.0,0.005453874534751094,0.02394713959897897
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.541936104328422e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5359363628678036,0.0,0.0,0.02909791004244604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2733032749370142,0.0,0.0,0.0,-0.034496765774870874,0.09735967595397932,-0.004224020580152982,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011337629419817428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004535106189201241,0.01991296651893957
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2052591031108878e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5053452977045026,0.07733120129285596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2272750288550918,0.0,0.0,0.0,-0.07245344511018179,0.0942970672256977,-0.0033017186909794017,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008862092941188607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003544879715032023,0.015565031585629403
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.379079180056129e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017978794365607943,0.0,0.0,0.5350760875947137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2456691471724028,0.0,0.0,0.0,-0.07391314005328971,0.10070488545507615,-0.003777886010882879,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010140166405190943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004056115235459203,0.017809789564130474
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8587356360812033e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037726188661523414,0.0,0.0,0.5370461913290968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24927767811482443,0.0,0.0,0.0,-0.01778334786881289,0.09481224132499513,-0.0050918696033065095,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013667009788629193,0.0,0.061378097914694243,0.0,0.0,0.0,0.0,0.0,0.0,0.005466869517885892,0.024004198607805175
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.573994028791102e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011401349300626439,0.0,0.0,0.528635493584723,0.0,0.0,0.027355539217356842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2712727627147917,0.0,0.0,0.0,-0.0342079761287319,0.09670118093464138,-0.004311840907018166,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011573346623990858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004629394202326771,0.02032697094798177
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2817928966777813e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016710491494570195,0.0,0.0,0.49732947765416036,0.07054437829623965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22833856991855822,0.0,0.0,0.0,-0.0686989835403075,0.09360072191925377,-0.0035113773909710854,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009424834670316333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037699791078758278,0.016553409031742034
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008657305586490863,0.0,0.0,0.0,0.0,0.0,-1.8394256651939368e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000270503774293226,0.0,0.0,0.5349298659728167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2501509127070236,0.0,0.0,0.0,-0.012404217464696953,0.09555872018650459,-0.005038971357911643,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013525026412396725,0.0,0.06247191629203434,0.0,0.0,0.0,0.0,0.0,0.0,0.00541007548586452,0.02375482458855727
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008689355680646674,0.0,0.0,0.0,0.0,0.0,-1.839052562199538e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5350918114811606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25016778515302907,0.0,0.0,0.0,-0.012367895321136977,0.09557314348626567,-0.005037949269692531,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013522283040946995,0.0,0.0625606630357892,0.0,0.0,0.0,0.0,0.0,0.0,0.005408978124116288,0.023750006238811957
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018050109554644738,0.0,0.0,0.0,0.0,0.0,-1.565253102243341e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002301842797416678,0.0,0.0,0.49792959341589305,-0.042349186175127736,0.0,0.04247706330818365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27670855251291354,0.0,0.0,0.0,0.0,0.09199857693001157,-0.004287895781455762,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011509075876515544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004603685594833356,0.02021408833423307
