,M_ac_e,M_ca2_e,M_cit_e,M_co2_e,M_fe2_e,M_fe3_e,M_for_e,M_gly_e,M_h2_e,M_h2o_e,M_h_e,M_ile__45__L_e,M_k_e,M_leu__45__L_e,M_lys__45__L_e,M_mg2_e,M_nh4_e,M_pi_e,M_pro__45__L_e,M_so4_e,M_val__45__L_e,objective,virtual_tag_R_constraint_reaction,M_mal__45__L_e
0,0.0,-0.0005670346204217808,0.0,0.0,248.8735175753448,-248.8735175753448,16.25248822455272,0.0,-133.3700408198038,10.418773766952691,248.8306720891071,0.0,-0.13382021623918516,0.0,0.0,-0.019279183726134023,-4.093029039097415,-1.0719075426739033,0.0,-0.10076925966293594,0.0,0.6028903161969086,1.0,-10.0
1,0.0,-0.0005670346204217855,0.0,6.263289376416193,198.76720256401725,-198.76720256401725,9.989198848136718,0.0,-102.05359393772395,10.418773766952842,192.46106770136342,0.0,-0.1338202162391497,0.0,0.0,-0.019279183726134182,-4.0930290390974395,-1.071907542673993,0.0,-0.10076925966290191,0.0,0.6028903161969041,1.0,-10.0
2,0.0,-0.0005670346204217771,0.0,11.25788880048439,263.69699507690206,-263.69699507690206,0.0,2.497299712034141,-132.0211904821322,15.41337319102093,249.898961078146,0.0,-0.13382021623916207,0.0,0.0,-0.019279183726133898,-6.590328751131542,-1.0719075426739024,0.0,-0.10076925966296012,0.0,0.6028903161968728,1.0,-10.0
3,0.0,-0.0005670346204217525,0.0,12.760140207084582,226.14070991187245,-226.14070991187245,0.0,1.7461740087336306,-110.98967078971627,13.911121784419553,211.59155020981655,0.0,-0.13382021623914284,0.0,0.0,-0.019279183726133062,-5.83920304783088,-1.0719075426738576,0.0,-0.10076925966290082,0.0,0.6028903161968886,1.0,-10.0
4,0.0,-0.0005670346204217885,0.0,0.0,590.1757702909614,-590.1757702909614,0.0,8.126244112276405,-312.14741128988885,26.67126199150574,582.0066806924473,0.0,-0.13382021623920612,0.0,0.0,-0.019279183726134286,-12.21927315137385,-1.0719075426739135,0.0,-0.10076925966297098,0.0,0.6028903161968682,1.0,-10.0
5,0.0,-0.0005670346204217787,0.0,10.131127024409972,185.05685985876676,-185.05685985876676,3.9630241131620103,0.0,-94.35225685887781,13.872113106121828,173.15621767853452,0.0,-0.1338202162391453,0.0,0.0,-0.019279183726133953,-4.524696456493523,-1.0719075426739646,0.0,-0.10076925966293902,0.43166741739613707,0.6028903161968976,1.0,-10.0
6,0.0,-0.0005670346204217497,0.0,14.094151137571258,185.0568598587572,-185.0568598587572,0.0,0.0,-90.38923274571113,13.872113106121128,169.19319356536388,0.0,-0.1338202162391311,0.0,0.0,-0.019279183726132965,-4.524696456493318,-1.0719075426738782,0.0,-0.10076925966294684,0.43166741739610653,0.6028903161968981,1.0,-10.0
7,0.0,-0.0005670346204217703,0.0,12.112639080990762,210.81651659431662,-210.81651659431662,0.0,0.9907560282904779,-106.24132919836225,15.85362516270259,195.94360632921317,0.0,-0.13382021623919585,0.0,0.0,-0.019279183726133665,-5.515452484783954,-1.0719075426739029,0.0,-0.10076925966294438,0.4316674173960773,0.6028903161969142,1.0,-10.0
8,0.0,-0.0005670346204217829,0.0,9.267792189617765,180.74018568480662,-180.74018568480662,6.984696034935027,0.0,-90.035582684917,10.418773766952759,171.4295480089513,0.0,-0.13382021623913923,0.0,0.0,-0.019279183726134096,-4.093029039097411,-1.071907542673932,0.0,-0.10076925966295872,0.0,0.6028903161969607,1.0,-10.0
9,0.0,-0.0005670346204217779,0.0,9.26779218961769,185.92019469355878,-185.92019469355878,3.531356695765837,0.0,-94.35225685887765,13.008778271329524,174.88288734811886,0.0,-0.1338202162391449,0.0,0.0,-0.019279183726133926,-4.093029039097379,-1.0719075426739444,0.0,-0.10076925966290387,0.0,0.6028903161969025,1.0,-9.136665165207726
10,0.0,-0.0005670346204217718,0.0,12.799148885383383,185.92019469355677,-185.92019469355677,0.0,0.0,-90.82090016311082,13.008778271329408,171.35153065235122,0.0,-0.1338202162391683,0.0,0.0,-0.01927918372613372,-4.093029039097341,-1.0719075426739537,0.0,-0.10076925966292127,0.0,0.6028903161969487,1.0,-9.13666516520775
11,0.0,-0.0005670346204217696,0.0,11.033470537500406,208.8740132160338,-208.8740132160338,0.0,0.8828391739414506,-104.94632694617366,14.77445661921224,195.18818834876976,0.0,-0.13382021623914375,0.0,0.0,-0.019279183726133645,-4.975868213038769,-1.0719075426739038,0.0,-0.10076925966296571,0.0,0.6028903161968828,1.0,-9.136665165207795
13,0.0,-0.0005670346204217823,0.0,16.252488224552838,180.74018568480645,-180.74018568480645,0.0,0.0,-83.05088664998188,10.418773766952794,164.44485197401602,0.0,-0.1338202162391579,0.0,0.0,-0.019279183726134075,-4.0930290390974475,-1.0719075426739624,0.0,-0.1007692596629101,0.0,0.6028903161969431,1.0,-10.0
14,0.0,-0.0005670346204217539,0.0,7.126624211208082,207.1127726336646,-207.1127726336646,6.967526926363252,0.0,-107.95304864213198,13.872113106121265,198.2166332666344,0.0,-0.13382021623916812,0.0,0.0,-0.019279183726133114,-4.524696456493358,-1.0719075426739235,0.43166741739609077,-0.10076925966289349,0.0,0.6028903161968893,1.0,-10.0
15,0.0,-0.0005670346204217657,0.0,10.610387674389944,252.40169765503134,-252.40169765503134,0.0,1.7418817315908104,-128.85562942122453,17.355876569303234,238.27991309322832,0.0,-0.1338202162391398,0.0,0.0,-0.01927918372613351,-6.266578188084298,-1.0719075426739584,0.43166741739604564,-0.10076925966292628,0.0,0.6028903161969421,1.0,-10.0
16,0.0,-0.000567034620421764,0.0,10.131127024409711,189.08575575445917,-189.08575575445917,3.9630241131618495,0.0,-95.93503738932783,13.872113106121502,177.18511357422724,0.0,-0.13382021623916415,0.0,0.0,-0.019279183726133454,-4.524696456493415,-1.0719075426739029,0.4316674173960742,-0.10076925966292338,0.0,0.6028903161968773,1.0,-10.0
17,0.0,-0.0005670346204217675,0.0,14.094151137571693,189.08575575446037,-189.08575575446037,0.0,0.0,-91.97201327616652,13.87211310612157,173.2220894610665,0.0,-0.13382021623915652,0.0,0.0,-0.019279183726133572,-4.524696456493419,-1.0719075426739202,0.43166741739607395,-0.10076925966291712,0.0,0.602890316196896,1.0,-10.0
18,0.0,-0.0005670346204217706,0.0,12.11263908099081,214.84541249001407,-214.84541249001407,0.0,0.9907560282904443,-107.8241097288148,15.8536251627026,199.9725022249106,0.0,-0.13382021623916524,0.0,0.0,-0.019279183726133676,-5.515452484783931,-1.0719075426739115,0.43166741739607145,-0.10076925966293197,0.0,0.60289031619695,1.0,-10.0
19,0.0,-0.0005670346204217976,0.0,0.0,264.1257663233497,-264.1257663233497,14.094151137572398,0.0,-143.58616969818348,13.872113106122324,262.35625116752743,0.0,-0.13382021623911225,0.0,0.0,-0.019279183726134595,-4.524696456493724,-1.0719075426739917,0.43166741739607434,-0.10076925966290595,0.0,0.602890316196928,1.0,-10.0
20,0.0,-0.0005670346204218516,0.0,0.0,560.1029402124251,-560.1029402124251,0.0,7.0470755687868545,-298.62183221150934,27.9662642436973,551.2863494878159,0.0,-0.133820216239221,0.0,0.0,-0.01927918372613643,-11.571772025280868,-1.071907542674112,0.431667417396095,-0.1007692596629822,0.0,0.6028903161969197,1.0,-10.0
21,0.0,-0.0005670346204217688,0.0,0.0,321.22220132842,-321.22220132842,12.46592580472708,0.0,-174.0882576001316,16.47727363867293,318.15010590632215,0.0,-0.13382021623916082,0.0,0.0,-0.019279183726133613,-4.850341523062393,-1.0719075426738593,0.7573124839649716,-0.10076925966296747,0.0,0.6028903161968994,1.0,-10.0
22,0.0,-0.0005670346204218182,0.0,0.0,583.0066432277416,-583.0066432277416,0.0,6.232962902364131,-311.21344145215767,28.94319944340262,573.7015849032794,0.0,-0.13382021623921314,0.0,0.0,-0.019279183726135293,-11.083304425426864,-1.0719075426739828,0.7573124839650763,-0.10076925966297627,0.0,0.6028903161968221,1.0,-10.0
23,0.0,-0.0005670346204218051,0.0,0.0,828.1698507207117,-828.1698507207117,0.0,0.0,-442.5211932619519,36.42275492623874,815.1250146548313,0.0,-0.13382021623921006,0.0,0.0,-0.019279183726134852,-7.3435266840081255,-1.0719075426738947,3.2504976449104923,-0.10076925966297394,0.0,0.6028903161969253,1.0,-10.0
24,0.0,-0.0005670346204217899,0.0,12.773143099851566,213.2161692434992,-213.2161692434992,0.0,0.0,-106.94343770367135,15.985725966475217,197.61670455764886,0.0,-0.1338202162391818,0.0,0.0,-0.019279183726134335,-4.788898064037742,-1.0719075426739315,0.6958690249402456,-0.10076925966296009,0.0,0.6028903161969045,1.0,-10.0
25,0.0,-0.0005670346204217651,0.0,11.034365010035176,232.94728124813602,-232.94728124813602,1.4315607946918112,0.0,-118.91643254995428,16.477273638672813,218.84082081600303,0.0,-0.13382021623916013,0.0,0.0,-0.019279183726133495,-4.850341523062372,-1.0719075426739437,0.7573124839650415,-0.10076925966296202,0.0,0.6028903161968893,1.0,-10.0
26,0.0,-0.0005670346204217495,0.0,11.750145407380815,242.25242641362644,-242.25242641362644,0.0,0.3578901986728714,-123.21111493402644,17.19305403601826,227.07229538547492,0.0,-0.1338202162391494,0.0,0.0,-0.01927918372613296,-5.208231721735129,-1.0719075426738824,0.7573124839650084,-0.10076925966294195,0.0,0.6028903161969235,1.0,-10.0
27,0.0,-0.0005670346204217645,0.0,11.988738873163117,236.12852745856216,-236.12852745856216,0.0,0.0,-120.98424258673126,17.431647501800686,220.59050623173724,0.47718693156394354,-0.1338202162391533,0.0,0.0,-0.019279183726133468,-4.850341523062357,-1.0719075426739135,0.2801255524010533,-0.10076925966293876,0.0,0.6028903161969139,1.0,-10.0
28,0.0,-0.0005670346204217761,0.0,11.750145407381373,242.01383294785586,-242.01383294785586,0.0,0.0,-124.16548879716018,17.908834433365037,226.4758117210307,0.0,-0.13382021623912763,0.0,0.7157803973458684,-0.01927918372613387,-5.56612192040835,-1.0719075426739124,0.041532086619121104,-0.10076925966296159,0.0,0.60289031619689,1.0,-10.0
29,0.0,-0.000567034620421749,0.0,12.465925804726728,224.3579164799785,-224.3579164799785,0.0,0.0,-113.19018937118366,16.477273638672408,208.81989525315407,0.0,-0.13382021623912108,0.0,0.0,-0.019279183726132944,-4.850341523062231,-1.071907542673928,0.7573124839649601,-0.10076925966290107,0.0,0.6028903161968835,1.0,-10.0
30,0.0,-0.0005670346204217641,0.0,12.044878512170607,241.98576312834697,-241.98576312834697,0.0,0.0,-122.93041673899198,17.150949306763124,226.5319513600334,0.0,-0.13382021623913526,0.0,0.0,-0.019279183726133454,-4.934550981573586,-1.0719075426739162,0.8415219424763081,-0.10076925966295884,0.0,0.6028903161969189,1.0,-10.0
31,0.0,-0.0005670346204217808,0.0,7.558291628604574,212.58055992069222,-212.58055992069222,6.104192091571272,0.0,-111.11860970304213,14.735447940914186,202.82108571886937,0.0,-0.13382021623916066,0.0,0.4316674173961174,-0.019279183726134023,-4.956363873889698,-1.0719075426739302,0.0,-0.10076925966292836,0.0,0.6028903161969432,1.0,-10.0
32,0.0,-0.000567034620421776,0.0,10.61038767439015,252.25780851590375,-252.25780851590375,0.0,1.5260480228927493,-129.43118597775506,17.787543986699685,237.92019024540252,0.0,-0.1338202162391127,0.0,0.43166741739605136,-0.01927918372613386,-6.482411896782446,-1.0719075426739697,0.0,-0.10076925966293464,0.0,0.6028903161969142,1.0,-10.0
33,0.0,-0.0005670346204217851,0.0,10.562794441806247,194.55354304148406,-194.55354304148406,3.0996892783697088,0.0,-99.10059845023648,14.735447940914268,181.78956602645948,0.0,-0.13382021623916954,0.0,0.43166741739608594,-0.019279183726134172,-4.956363873889773,-1.0719075426739673,0.0,-0.10076925966293541,0.0,0.6028903161969542,1.0,-10.0
34,0.0,-0.0005670346204217499,0.0,13.662483720175112,194.55354304147198,-194.55354304147198,0.0,0.0,-96.00090917186076,14.735447940913366,178.6898767480786,0.0,-0.13382021623914492,0.0,0.4316674173960662,-0.019279183726132975,-4.956363873889417,-1.0719075426739153,0.0,-0.10076925966295311,0.0,0.6028903161969095,1.0,-10.0
35,0.0,-0.0005670346204217891,0.0,12.112639080991173,214.701523350889,-214.701523350889,0.0,0.7749223195924072,-108.39966628534653,16.285292580099256,199.61277937708704,0.0,-0.13382021623915993,0.0,0.431667417396121,-0.019279183726134307,-5.731286193482252,-1.071907542673952,0.0,-0.10076925966289924,0.0,0.6028903161969696,1.0,-10.0
36,0.0,-0.0005670346204217897,0.0,0.0,273.04689294953323,-273.04689294953323,13.662483720176091,0.0,-148.9100678460674,14.735447940914414,270.84571037631474,0.0,-0.13382021623911222,0.0,0.4316674173960895,-0.019279183726134325,-4.9563638738897495,-1.071907542673973,0.0,-0.10076925966292252,0.0,0.6028903161969477,1.0,-10.0
37,0.0,-0.0005670346204218174,0.0,0.0,559.9590510732595,-559.9590510732595,0.0,6.831241860088272,-299.1973887680196,28.39793166109197,550.9266266399526,0.0,-0.13382021623921295,0.0,0.4316674173960195,-0.019279183726135272,-11.787605733978355,-1.0719075426738944,0.0,-0.10076925966297612,0.0,0.6028903161968424,1.0,-10.0
38,0.0,-0.0005670346204218095,0.0,0.0,336.87332599705536,-336.87332599705536,11.708613320762916,0.0,-183.42844490238042,17.99189860660431,333.0439180909923,0.0,-0.13382021623908877,0.0,0.7573124839650063,-0.019279183726135005,-5.607654007027799,-1.07190754267399,0.0,-0.10076925966297472,0.0,0.6028903161969136,1.0,-10.0
39,0.0,-0.0005670346204218374,0.0,0.0,582.7542057331062,-582.7542057331062,0.0,5.854306660381649,-312.22319143078846,29.70051192736862,573.0704911666611,0.0,-0.13382021623921767,0.0,0.7573124839650405,-0.019279183726135952,-11.461960667409727,-1.071907542673964,0.0,-0.10076925966297968,0.0,0.6028903161969454,1.0,-10.0
40,0.0,-0.0005670346204217576,0.0,11.708613320761817,243.20441943092936,-243.20441943092936,0.0,0.0,-124.88537829855417,17.991898606602707,227.6663982041047,0.0,-0.133820216239157,0.0,0.7573124839650252,-0.019279183726133235,-5.607654007027276,-1.0719075426739062,0.0,-0.10076925966294656,0.0,0.6028903161968676,1.0,-10.0
