M_ac_e,M_ca2_e,M_cd2_e,M_cit_e,M_cl_e,M_co2_e,M_cobalt2_e,M_cu2_e,M_fe2_e,M_fe3_e,M_for_e,M_fum_e,M_gln__45__L_e,M_gly_e,M_h2_e,M_h2o_e,M_h2s_e,M_h_e,M_ile__45__L_e,M_k_e,M_lac__45__L_e,M_leu__45__L_e,M_lys__45__L_e,M_mg2_e,M_mn2_e,M_mobd_e,M_n2_e,M_na1_e,M_nh4_e,M_ni2_e,M_oxa_e,M_pi_e,M_pro__45__L_e,M_s_e,M_so4_e,M_ss_e,M_succ_e,M_ura_e,M_val__45__L_e,M_zn2_e,M_fixed_uptake,objective,virtual_tag_R_constraint_reaction
0.0,-6.887307844336837e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.26584784071790235,-0.26584784071790235,0.04403294570267612,0.0,0.0,0.0,-0.13162826489750248,-0.005564442493490699,0.0,0.27794198557609506,0.0,-0.00016254052077976453,0.0,0.0,0.0,-2.341685472584481e-05,0.0,0.0,0.0,0.0,-0.004971469111904595,0.0,0.0,-0.0013019588154195923,0.0,0.0,-0.00012239621489575759,0.0,0.0,0.0,0.0,0.0,0.0,0.0007322817786556725,0.0018219278672651947
0.0,-8.923986769377178e-07,0.0,0.0,0.0,0.009857160306427625,0.0,0.0,0.26560570175870135,-0.26560570175870135,0.04719697953291356,0.0,0.0,0.0,-0.12126689060391245,-0.007209930543717769,0.0,0.2714191040495573,0.0,-0.0002106061598682556,0.0,0.0,0.0,-3.0341565452994198e-05,0.0,0.0,0.0,0.0,-0.0064416061517395045,0.0,0.0,-0.0016869673180983185,0.0,0.0,-0.00015859058822958102,0.0,0.0,0.0,0.0,0.0,0.0,0.0009488283451062199,0.002360698918896619
0.0,-8.613474022177106e-07,0.0,0.0,0.0,0.00951417751124426,0.0,0.0,0.2702819909367773,-0.2702819909367773,0.03627600155005795,0.0,0.0,0.0,-0.12864580491907282,0.0,0.0,0.27125374159152216,0.0,-0.00020327805652521204,0.0,0.0,0.0,-2.9285821749351577e-05,0.0,0.0,0.0,0.0,-0.006217468569036979,0.0,0.0,-0.0016282687935580357,0.0,0.0,-0.00015307238201705888,0.0,0.0,0.0,0.0,0.0,-0.002319686295857523,0.0009158135834672589,0.0022785577049344668
0.0,-6.700874685129386e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.2694792176557036,-0.2694792176557036,0.03562258978310212,0.0,0.0,0.0,-0.13708823764542716,0.0,0.0,0.2776367729483359,0.0,-0.00015814069671598135,0.0,0.0,0.0,-2.278298176649526e-05,0.0,0.0,0.0,0.0,-0.004836895964691967,0.0,0.0,-0.0012667159744427293,0.0,0.0,-0.00011908306068023738,0.0,0.0,0.0,0.0,0.0,-0.0018046060320530707,0.0007124595769318038,0.0017726099369767092
0.0,-8.742761987640146e-07,0.0,0.0,0.0,0.01142286354073231,0.0,0.0,0.26904127924519006,-0.26904127924519006,0.04005794713453917,0.0,0.0,0.0,-0.12763364338499814,0.0,0.0,0.2694389896677535,0.0,-0.00020632925355486102,0.0,0.0,0.0,-2.972540098313557e-05,0.0,0.0,0.0,0.0,-0.007193731837373639,0.0,0.0,-0.001652709055292623,0.0,0.0,-0.0001553699935021127,0.0,0.0,0.0,0.0008829392669463342,0.0,0.0,0.0009295599156260422,0.0023127587821191926
0.0,-9.785358511159344e-07,0.0,0.0,0.0,0.01796996176076763,0.0,0.0,0.27001577685231015,-0.27001577685231015,0.03965006605364912,0.0,0.0,0.0,-0.12211470763952058,0.0,0.0,0.2652760224564517,0.0,-0.0002309345399346947,0.0,0.0,0.0,-3.3270230382476976e-05,0.0,0.0,0.0,0.0,-0.00805160258981758,0.0,0.0,-0.0018497987985422722,0.0,0.0,-0.00017389825897628548,0.0,0.0,0.0,0.0009882320121335235,0.0,0.0,0.0010404122913174577,0.002588561128035145
0.0,-1.062817412318748e-06,0.0,0.0,0.0,0.06258285661134881,0.0,0.0,0.293272309759664,-0.293272309759664,0.0,0.0,0.0,0.0,-0.08956734378013603,0.0,0.0,0.24505918190171505,0.0,-0.0002508249951889944,0.0,0.0,0.0,-3.6135804449093594e-05,0.0,0.0,0.0,0.0,-0.008745089328888568,0.0,0.0,-0.0020091224763354124,0.0,0.0,-0.00018887616371044333,0.0,0.0,0.0,0.0010733487063437832,0.0,0.0,0.0011300232872833507,0.0028115146078600455
0.0,-6.511397749187974e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.26843522070266235,-0.26843522070266235,0.03834166310729176,0.0,0.0,0.0,-0.1375958146522152,0.0,0.0,0.2772388983971399,0.0,-0.00015366903949668123,0.0,0.0,0.0,-2.2138759962690367e-05,0.0,0.0,0.0,0.0,-0.005357717545137016,0.0,0.0,-0.0012308977458048936,0.0,0.0,-0.0001157158146831902,0.0,0.0,0.0,0.0006575918186485894,0.0,0.0,0.0006923137506087517,0.001722486823911633
0.0,-1.0012946130913092e-06,0.0,0.0,0.0,0.01636547410070186,0.0,0.0,0.266183634061545,-0.266183634061545,0.04765076029324229,0.0,0.0,0.0,-0.1148426855369462,-0.008089730297404892,0.0,0.2674009403013672,0.0,-0.00023630560959992219,0.0,0.0,0.0,-3.4044028555816425e-05,0.0,0.0,0.0,0.0,-0.007227650271205813,0.0,0.0,-0.0018928213720232,0.0,0.0,-0.00017794278026741643,0.0,0.0,0.0,0.0,0.0,0.0,0.0010646101739676896,0.0026487658170145775
0.0,-9.623681203875312e-07,0.0,0.0,0.0,0.015729247260123876,0.0,0.0,0.27138590093110054,-0.27138590093110054,0.03543130473315386,0.0,0.0,0.0,-0.12333676359957751,0.0,0.0,0.26737239455977424,0.0,-0.0002271189541763457,0.0,0.0,0.0,-3.2720527348620425e-05,0.0,0.0,0.0,0.0,-0.006946666960330959,0.0,0.0,-0.001819235739618627,0.0,0.0,-0.00017102504771676912,0.0,0.0,0.0,0.0,0.0,-0.0025917442076047134,0.0010232222151916224,0.002545791965061344
