pattern,mu,min_fraction,max_fraction
mEmC_1,0.0,0.0,1.0
mEmC_1,0.022762241379310346,0.0007733177237770404,0.9773229442643481
mEmC_1,0.04552448275862069,0.0015454403311549588,0.9541089546589696
mEmC_1,0.06828672413793103,0.002316370590466234,0.9303387329150442
mEmC_1,0.09104896551724138,0.003086111261499964,0.9059920447352486
mEmC_1,0.11381120689655173,0.003854665095534796,0.8810476623459305
mEmC_1,0.13657344827586207,0.004622034835371703,0.8554833027678287
mEmC_1,0.15933568965517242,0.005388223215366623,0.8292755614236316
mEmC_1,0.18209793103448277,0.006153232961462926,0.8023998406708632
mEmC_1,0.20486017241379312,0.0069170667912237405,0.7748302727978149
mEmC_1,0.22762241379310347,0.007679727413864146,0.7465396369801087
mEmC_1,0.2503846551724138,0.008441217530283191,0.7174992696320119
mEmC_1,0.27314689655172414,0.009201539833095776,0.6876789675371411
mEmC_1,0.2959091379310345,0.009960697006664408,0.6570468830658855
mEmC_1,0.31867137931034484,0.010718691727130763,0.6255694107200931
mEmC_1,0.3414336206896552,0.011475526662447161,0.5932110641505087
mEmC_1,0.36419586206896554,0.012231204472407836,0.5599343427033401
mEmC_1,0.38695810344827586,0.01298572780868014,0.5256995864425706
mEmC_1,0.40972034482758624,0.01373909931483551,0.4904648184649274
mEmC_1,0.43248258620689656,0.014491321626380364,0.45418557319237063
mEmC_1,0.45524482758620693,0.015242397370786852,0.4168147091679941
mEmC_1,0.47800706896551726,0.0159923291675234,0.37830220469048603
mEmC_1,0.5007693103448276,0.016741119628085218,0.33859493443193767
mEmC_1,0.523531551724138,0.017488771356024575,0.2976364249377117
mEmC_1,0.5462937931034483,0.01823528694698098,0.2553665866414504
mEmC_1,0.5690560344827587,0.018980668988711237,0.21172141972340952
mEmC_1,0.591818275862069,0.019724920061119332,0.1666326907801048
mEmC_1,0.6145805172413793,0.02046804273628619,0.12002757687546761
mEmC_1,0.6373427586206897,0.02121003957849935,0.07182827306428896
mEmC_1,0.660105,0.02195091314428238,0.021951558932908122
