M_2ddglcn_e,M_ac_e,M_ala__45__D_e,M_alaala_e,M_arab__45__L_e,M_arg__45__L_e,M_asp__45__L_e,M_buts_e,M_bz_e,M_ca2_e,M_cd2_e,M_cellb_e,M_cgly_e,M_cit_e,M_co2_e,M_cobalt2_e,M_cro4_e,M_cu2_e,M_eths_e,M_etoh_e,M_fe2_e,M_fe3_e,M_fru_e,M_fum_e,M_glc__45__D_e,M_gln__45__L_e,M_glu__45__L_e,M_glyc3p_e,M_glyclt_e,M_gthrd_e,M_h2_e,M_h2o_e,M_h_e,M_hexs_e,M_hom__45__L_e,M_ile__45__L_e,M_istnt_e,M_k_e,M_lac__45__L_e,M_leu__45__L_e,M_met__45__D_e,M_met__45__L_e,M_mg2_e,M_mn2_e,M_mobd_e,M_mops_e,M_na1_e,M_nh4_e,M_ni2_e,M_no2_e,M_no3_e,M_o2_e,M_orot_e,M_pi_e,M_ppa_e,M_ppn_e,M_pro__45__L_e,M_ptrc_e,M_pyr_e,M_rib__45__D_e,M_so4_e,M_spmd_e,M_succ_e,M_sula_e,M_tsul_e,M_ura_e,M_val__45__L_e,M_zn2_e,M_fixed_uptake,objective,virtual_tag_R_constraint_reaction
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20969510562534535,0.0,0.0,0.0,0.0,0.0,-4.1735251395181307e-07,0.0,0.0,0.0018509433353389457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3580033226158963,-0.2512211846868959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13394272218827663,0.0,0.0,0.0,0.0,0.0,-0.011433065242861425,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030687316597179824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012275073939759207,0.018509433353394188
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2100466984229251,0.0,0.0,0.0,0.0,0.0,-4.1658144530200546e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35660289353261393,-0.2522350665398164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13369525983811287,0.0,0.0,0.0,0.0,0.0,-0.011411942384162188,0.0,0.0,0.0,0.0,0.0022170284084498575,0.0,-0.003063062105328396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012252395450058984,0.01847523673708687
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2143219939030809,0.0,0.0,0.0,0.0,0.0,-4.1201420926883536e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35707868243446833,-0.24618057726016976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1322294773000692,0.0,0.0,0.0,-0.005481804440256566,0.0,-0.011286826311295283,0.0,0.0,0.0,0.0,0.0,0.0,-0.003029479890428854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012118064978495158,0.01827268146752656
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21221857860491167,0.0,0.0,0.0,0.0,0.0018407221183275575,-4.150478239411009e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35418564659444723,-0.25351534374981416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13320306819431374,0.0,0.0,0.0,0.0,0.0,-0.011369929954642973,0.0,0.0,0.0,0.0,0.0,0.0,-0.003051785612994218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012207288939444144,0.01840722118328028
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21008395912935746,0.0,0.0,0.0,0.0,0.0,-4.1812644230352373e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3568128195909427,-0.25168704314199075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13419110231476794,0.0,0.0,0.0,0.0,0.0,-0.011454266440991574,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030744222410751185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018543756796443982,0.012297836538338934,0.01854375679644872
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21008395912935746,0.0,0.0,0.0,0.0,0.0,-4.1812644230352373e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037087513592887963,0.0,0.0,0.3549584439112983,-0.25168704314199075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13419110231476794,0.0,0.0,0.0,0.0,0.0,-0.011454266440991574,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030744222410751185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012297836538338934,0.01854375679644872
0.0,0.0027712855105623217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21115521262715,0.0,0.0,0.0,0.0,0.0,-4.1658144530200546e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.355494379328389,-0.251680809437704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13369525983811287,0.0,0.0,0.0,0.0,0.0,-0.011411942384162188,0.0,0.0,0.0,0.0,0.0,0.0,-0.003063062105328396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012252395450058984,0.01847523673708687
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21028037275805614,0.0,0.0,0.0,0.0,0.0,-4.16068980441165e-07,0.0,0.0,0.0,0.0,0.0,0.0012301672736982905,0.0,0.0,0.0,0.0,0.356902312687503,-0.2516787417609404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13476095957850973,0.0,0.0,0.0,0.0,0.0,-0.01139790378611186,0.0,0.0,0.0,0.0,0.0,0.0,-0.003059294026569115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01223732295415191,0.018452509105479076
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20515780093314148,0.0,0.0,0.0,0.0,0.0,-4.1565991546117414e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3624504158892825,-0.24725284314559295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13782375746934375,0.0,0.0,0.0,0.0,0.0022121240665512977,-0.011386697751768085,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030562862319278576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012225291631211005,0.018434367221265527
