,M_ac_e,M_co2_e,M_etoh_e,M_fe2_e,M_glu__45__L_e,M_glyclt_e,M_h2o_e,M_h_e,M_hom__45__L_e,M_mal__45__L_e,M_nh4_e,M_o2_e,M_orot_e,M_pi_e,M_pro__45__L_e,M_pyr_e,M_so4_e,M_succ_e,objective,virtual_tag_R_constraint_reaction,M_cit_e
15,0.0,0.0,0.0,-1.2664269274554783e-05,0.0,0.0,29.961883204506066,0.0,0.0,2.245234226172625,-16.063751084630624,-2.298793997277957,5.999676568482042,-0.34692834481372503,0.0,1.7140541987474744,-0.09311850958326068,0.0,0.3724785080751387,1.0,-10.0
26,0.0,0.0,0.0,-1.2664269274554746e-05,0.0,0.0,21.39161221076862,-1.7140541987474667,0.0,5.673342623667559,-12.63564268713563,-0.5847397985304811,4.285622369734554,-0.34692834481372203,0.0,0.0,-0.09311850958325588,0.0,0.3724785080751349,1.0,-10.0
37,0.0,0.0,0.0,-1.2664269274554795e-05,0.0,0.0,27.823749994604054,-3.4682735943389322,0.0,2.7496436310151533,-16.144081478318597,0.0,5.455101966795538,-0.3469283448137259,1.1694795970609706,0.0,-0.09311850958325919,0.0,0.37247850807514027,1.0,-10.0
53,0.0,9.589243515405538,0.7291594576657943,-1.2664269274554754e-05,0.0,0.0,8.45900469100269,-12.617196970349289,0.0,4.29076411889824,-4.064397947666528,0.0,0.0,-0.34692834481372353,0.0,5.30362114567098,-0.09311850958325751,0.0,0.3724785080751365,1.0,-10.0
54,0.0,0.0,0.7291594576657957,-1.2664269274554773e-05,0.0,0.0,22.842869964111035,-3.027953454943753,0.0,4.29076411889825,-13.653641463072086,0.0,4.794621757702773,-0.3469283448137235,0.0,0.5089993879682105,-0.09311850958325868,0.0,0.37247850807513977,1.0,-10.0
55,0.0,0.0,0.7291594576657959,-1.2664269274554783e-05,1.017998775936421,0.0,25.89686629192033,-3.0279534549437552,0.0,2.7637659549936116,-15.689639014944946,0.0,5.303621145670987,-0.3469283448137221,0.0,0.0,-0.09311850958325793,0.0,0.3724785080751388,1.0,-10.0
56,0.0,0.0,0.38982653235365405,-1.2664269274554746e-05,0.0,0.0,20.806872412238132,-2.6886205296316064,0.0,5.478429357490732,-12.63564268713563,0.0,4.285622369734554,-0.34692834481372203,0.0,0.0,-0.09311850958325588,0.0,0.3724785080751349,1.0,-10.0
57,0.0,0.0,1.2381588456340094,-1.2664269274554788e-05,0.0,0.0,24.369868128015693,-3.0279534549437566,0.0,3.7817647309300395,-14.671640239008525,0.0,5.3036211456709905,-0.3469283448137215,0.0,0.0,-0.09311850958326005,0.0,0.3724785080751355,1.0,-10.0
64,0.0,9.589243515405538,0.7291594576657943,-1.2664269274554754e-05,0.0,8.440736131169194,4.238636625418095,-12.617196970349289,0.0,0.07039605331364487,-4.064397947666528,0.0,0.0,-0.34692834481372353,0.0,5.30362114567098,-0.09311850958325751,0.0,0.3724785080751365,1.0,-10.0
75,0.0,0.0,0.7291594576657957,-1.2664269274554773e-05,0.0,8.440736131169205,18.62250189852643,-3.027953454943753,0.0,0.07039605331364517,-13.653641463072086,0.0,4.794621757702773,-0.3469283448137235,0.0,0.5089993879682105,-0.09311850958325868,0.0,0.37247850807513977,1.0,-10.0
