,M_co2_e,M_fe2_e,M_glyclt_e,M_h2o_e,M_h_e,M_hom__45__L_e,M_nh4_e,M_o2_e,M_orot_e,M_pi_e,M_so4_e,M_succ_e,objective,virtual_tag_R_constraint_reaction,M_mal__45__L_e
11,-0.05936468180079412,-8.849573914489254e-06,0.01301407928601287,24.30718662662109,0.0,0.0,-11.320606663625918,-0.9539163032372929,4.240237583209475,-0.24242757034778967,-0.06506961558530909,1.9341282785561993,0.2602815857202707,1.0,-10.0
12,-0.06099144171154525,-8.849573914489256e-06,0.0,24.32020070590711,0.0,0.0,-11.323860183447422,-0.9522895433265415,4.241864343120226,-0.24242757034778878,-0.06506961558530745,1.9390085582884549,0.26028158572027,1.0,-10.0
13,-0.06812990582799215,-8.849573914489256e-06,0.013014079286009624,24.3422475227299,-2.870514133739089,1.9253630545289981,-13.26350016620932,0.0,4.24900280723668,-0.24242757034778548,-0.06506961558530695,0.0,0.26028158572026977,1.0,-10.0
14,-0.07246793225666391,-8.849573914489257e-06,0.0,24.3661066680876,-2.868345120524756,1.9275320677433312,-13.274345232281007,0.0,4.25334083366535,-0.24242757034778945,-0.06506961558530665,0.0,0.2602815857202697,1.0,-10.0
15,-0.8882768011820251,-8.849573914489284e-06,0.013014079286010748,27.62283510414609,0.0,1.1052161591749745,-14.08364706156339,-1.2302203430310412,5.069149702590721,-0.24242757034778994,-0.06506961558531045,0.0,0.2602815857202717,1.0,-10.0
16,-0.8919951095494548,-8.849573914489254e-06,0.0,27.644215377258742,0.0,1.108004890450545,-14.09387240957379,-1.2292907659391765,5.0728680109581346,-0.24242757034778714,-0.06506961558531033,0.0,0.2602815857202696,1.0,-10.0
17,-1.993492960356991,-8.849573914489262e-06,0.013014079286011946,32.043699740845916,3.868256557112402,0.0,-15.188863220738334,-2.888044581793494,6.174365861765678,-0.24242757034778942,-0.06506961558531048,0.0,0.26028158572027077,1.0,-10.0
18,-2.0,-8.849573914489267e-06,0.0,32.076234939060974,3.8780171165769137,0.0,-15.201877300024353,-2.8912981016150043,6.180872901408693,-0.24242757034778414,-0.06506961558530612,0.0,0.26028158572026905,1.0,-10.0
19,-2.000000000000006,-8.849573914489284e-06,0.0,32.07623493906104,0.0,0.0,-15.201877300024387,-2.8912981016150052,6.180872901408704,-0.2424275703477897,-0.06506961558530838,0.0,0.26028158572026877,1.0,-10.0
20,-1.9934929603569986,-8.849573914489283e-06,0.013014079286008583,32.04369974084599,0.0,0.0,-15.18886322073837,-2.888044581793502,6.1743658617656925,-0.24242757034778892,-0.06506961558530575,0.0,0.26028158572026744,1.0,-10.0
