,M_co2_e,M_fe2_e,M_glyclt_e,M_h2o_e,M_h_e,M_hom__45__L_e,M_nh4_e,M_o2_e,M_orot_e,M_pi_e,M_so4_e,M_succ_e,objective,virtual_tag_R_constraint_reaction,M_mal__45__L_e
11,-0.3644440965756935,-7.743377175178116e-06,0.011387319375260838,22.518788298293504,0.0,0.0,-10.530530830672703,-0.5221767653326332,4.022707885308298,-0.21212412405431502,-0.056935913637144106,2.6298622437366803,0.22774638750523782,1.0,-10.0
12,-0.3658675114976006,-7.743377175178111e-06,0.0,22.53017561766875,0.0,0.0,-10.533377660516509,-0.5207533504107242,4.024131300230204,-0.21212412405431538,-0.05693591363714292,2.634132488502403,0.22774638750523482,1.0,-10.0
13,-0.8929470009328319,-7.74337717517812e-06,0.011387319375258586,24.632799915722064,-2.0950332003550427,2.1013593393795436,-13.688895978766528,0.0,4.551210789665438,-0.2121241240543139,-0.05693591363714449,0.0,0.22774638750523604,1.0,-10.0
14,-0.8967427740579188,-7.743377175178116e-06,0.0,24.653676667910037,-2.093135313792498,2.103257225942086,-13.698385411579244,0.0,4.555006562790525,-0.2121241240543145,-0.05693591363714458,0.0,0.22774638750523446,1.0,-10.0
15,-1.4915279153199796,-7.743377175178094e-06,0.011387319375260498,27.0271235732706,0.0,1.5027784249923848,-14.287476893153638,-0.8978713715807285,5.149791704052577,-0.21212412405431283,-0.056935913637142385,0.0,0.2277463875052359,1.0,-10.0
16,-1.4947814351414923,-7.743377175178121e-06,0.0,27.045831312244342,0.0,1.505218564858518,-14.296424072662822,-0.8970579916253554,5.153045223874102,-0.21212412405431536,-0.0569359136371433,0.0,0.22774638750523574,1.0,-10.0
17,-2.9943063403123857,-7.74337717517814e-06,0.011387319375255616,33.038237273240334,5.25972448747338,0.0,-15.79025531814612,-3.1520390090693216,6.652570129045003,-0.2121241240543156,-0.056935913637142226,0.0,0.22774638750523546,1.0,-10.0
18,-3.000000000000007,-7.743377175178116e-06,0.0,33.066705571678376,5.268264977004805,0.0,-15.801642637521324,-3.1548858389131276,6.658263788732611,-0.2121241240543157,-0.056935913637144536,0.0,0.2277463875052357,1.0,-10.0
19,-3.0000000000000058,-7.743377175178107e-06,0.0,33.066705571678355,0.0,0.0,-15.801642637521315,-3.1548858389131285,6.658263788732606,-0.2121241240543155,-0.05693591363714425,0.0,0.22774638750523216,1.0,-10.0
20,-2.9943063403123746,-7.74337717517812e-06,0.011387319375256345,33.03823727324024,0.0,0.0,-15.790255318146073,-3.1520390090693136,6.652570129044987,-0.21212412405431685,-0.05693591363714158,0.0,0.22774638750523424,1.0,-10.0
