,M_ac_e,M_ca2_e,M_co2_e,M_fe2_e,M_fe3_e,M_for_e,M_gly_e,M_h2_e,M_h2o_e,M_h_e,M_ile__45__L_e,M_k_e,M_lys__45__L_e,M_mal__45__L_e,M_mg2_e,M_n2_e,M_pi_e,M_pro__45__L_e,M_so4_e,objective,virtual_tag_R_constraint_reaction,M_cit_e
137,0.0,-0.0006237380824639979,26.68221853705211,439.0486832860541,-439.0486832860541,0.0,2.69698408424466,-209.0654666371769,1.2057820682382976,409.5222594319099,0.0,-0.1472022378631339,0.0,0.4503875853672987,-0.02120710209874875,-3.5996580136260046,-1.1790982969413286,0.0,-0.11084618562927351,0.6631793478166264,1.0,-10.0
138,0.0,-0.0006237380824639329,15.894282200071455,293.4115427368073,-293.4115427368073,16.181904505466782,0.0,-140.2923724889214,-4.188186100250605,280.06702338813295,0.0,-0.1472022378630141,0.0,0.4503875853672147,-0.021207102098746544,-2.2511659715034025,-1.1790982969412593,0.0,-0.110846185629228,0.6631793478165331,1.0,-10.0
139,0.0,-0.0006237380824639509,24.270654400573566,406.4925674435879,-406.4925674435879,3.6173462047147456,2.094093050125398,-193.69174526712328,0.0,380.5834897941607,0.0,-0.1472022378630367,0.0,0.4503875853671957,-0.021207102098747158,-3.2982124965662356,-1.1790982969413693,0.0,-0.11084618562926515,0.6631793478165974,1.0,-10.0
140,0.0,-0.0006237380824639681,25.463126315227342,337.6535726689288,-337.6535726689288,1.0288122566447058,0.0,-155.63666740666068,0.0,311.9480851382647,0.0,-0.1472022378630253,0.0,1.8464496187842523,-0.021207102098747745,-2.2511659715035894,-1.1790982969413066,0.0,-0.1108461856292682,0.6631793478165532,1.0,-10.0
141,0.0,-0.0006237380824639495,22.06491188040003,303.6714283206531,-303.6714283206531,7.145598239332451,0.0,-140.68452389341908,-2.0389286608958765,282.7234409987469,0.0,-0.14720223786305828,0.0,1.1668067318188373,-0.021207102098747113,-2.2511659715035397,-1.1790982969413273,0.0,-0.1108461856291751,0.6631793478165784,1.0,-10.0
142,0.0,-0.0006237380824639375,22.06491188039961,309.7882143033349,-309.7882143033349,5.106669578436397,0.0,-144.76238121520825,0.0,287.8207626509812,0.0,-0.14720223786311326,0.0,0.14734240137088928,-0.021207102098746697,-2.2511659715034753,-1.179098296941256,0.0,-0.11084618562926093,0.6631793478166053,1.0,-8.98053566955208
143,0.0,-0.0006237380824639306,23.696054809116063,320.52657191738314,-320.52657191738314,5.106669578436326,0.0,-149.72377429005323,0.0,296.7240844702234,0.0,-0.1472022378630335,0.0,0.7590209996396425,-0.02120710209874647,-2.4550588375930125,-1.1790982969412678,0.4077857321791065,-0.11084618562926156,0.6631793478165935,1.0,-10.0
144,0.0,-0.0006237380824639873,25.633037036969547,342.4110728776966,-342.4110728776966,4.596937413212837,0.0,-160.05434617194018,0.0,316.36576390354895,0.0,-0.14720223786313033,0.5097321652239298,0.14734240137089197,-0.021207102098748397,-2.7608981367276533,-1.1790982969413804,0.0,-0.11084618562927165,0.6631793478166278,1.0,-10.0
145,0.0,-0.0006237380824639929,25.12330487174573,325.080179260083,-325.080179260083,5.106669578436896,0.0,-151.64376544574526,0.0,300.0543346163832,0.5097321652239664,-0.14720223786303788,0.0,0.14734240137083238,-0.021207102098748584,-2.506032054115658,-1.179098296941437,0.0,-0.11084618562927262,0.6631793478166946,1.0,-10.0
146,0.0,-0.0006237380824639432,26.14276920219171,358.72250216483957,-358.72250216483957,1.0288122566446156,1.0194643304479292,-166.68086431984054,0.0,331.657728860246,0.0,-0.14720223786304498,0.0,1.1668067318188515,-0.02120710209874689,-2.7608981367274987,-1.1790982969413077,0.0,-0.11084618562926378,0.6631793478165833,1.0,-10.0
