,M_ac_e,M_ca2_e,M_co2_e,M_fe2_e,M_fe3_e,M_for_e,M_gly_e,M_h2_e,M_h2o_e,M_h_e,M_ile__45__L_e,M_k_e,M_leu__45__L_e,M_lys__45__L_e,M_mal__45__L_e,M_mg2_e,M_n2_e,M_pi_e,M_pro__45__L_e,M_so4_e,M_val__45__L_e,objective,virtual_tag_R_constraint_reaction,M_cit_e
215,0.0,-0.00044102692699472465,22.771939032931744,345.5899780810357,-345.5899780810357,0.0,2.8833894198362198,-161.005885501028,-3.053150726161687,321.7834157599244,0.0,-0.10408239040827148,0.0,0.0,3.2477487977345505,-0.014994920675882232,-3.0334282251226394,-0.8337058665242244,0.0,-0.07837609084897748,0.0,0.4689146903753216,1.0,-10.0
216,0.0,-0.00044102692699471327,19.718788306769504,318.11162154557184,-318.11162154557184,0.0,2.1201017382957774,-150.70150180022824,0.0,296.5949222690824,0.0,-0.1040823904082688,0.0,0.0,0.9578857531132835,-0.014994920675881844,-2.6517843843523887,-0.8337058665241468,0.0,-0.07837609084897545,0.0,0.4689146903753876,1.0,-7.710136955378821
217,0.0,-0.00044102692699470134,23.382569178162896,342.2315122822397,-342.2315122822397,0.0,2.1201017382957525,-161.84550195071387,0.0,316.59305952543275,0.0,-0.10408239040826599,0.0,0.0,2.331803579885981,-0.01499492067588144,-3.1097569932766076,-0.8337058665241214,0.9159452178483906,-0.07837609084897333,0.0,0.468914690375351,1.0,-10.0
218,0.0,-0.0004410269269947533,27.56974731690203,386.15326630006683,-386.15326630006683,0.0,1.7929784462071308,-182.92314607098663,0.0,355.8042381371785,0.0,-0.10408239040827824,0.0,1.3084931683550303,0.6307624610245078,-0.014994920675883207,-3.7967159066633895,-0.8337058665241501,0.0,-0.07837609084898259,0.0,0.46891469037543304,1.0,-10.0
219,0.0,-0.00044102692699470085,26.588377440632506,352.4595672148807,-352.4595672148807,0.0,2.120101738295662,-166.15807735141695,0.0,324.07327880452834,1.1449315223105905,-0.10408239040826588,0.0,0.0,0.9578857531132278,-0.014994920675881422,-3.2242501455076433,-0.8337058665241308,0.0,-0.07837609084897325,0.0,0.4689146903753459,1.0,-10.0
220,0.0,-0.0004410269269946973,19.71878830676879,501.3006651152534,-501.3006651152534,0.0,4.409964782916812,-245.73081815200104,0.0,477.4941027941436,0.0,-0.10408239040826504,0.0,0.0,3.247748797734412,-0.0149949206758813,-3.796715906662878,-0.8337058665240985,0.0,-0.07837609084897264,0.0,0.46891469037532885,1.0,-10.0
221,0.0,-0.000441026926994725,22.875472216804088,295.34067548713335,-295.34067548713335,0.0,1.8185048430189739,-134.12860756304252,-3.663242902474512,272.54723115090314,0.0,-0.1040823904082645,0.0,0.0,3.754307790175167,-0.014994920675882243,-2.500985936714067,-0.8337058665241833,0.0,-0.07837609084897754,0.0,0.4689146903753436,1.0,-10.0
222,0.0,-0.0004410269269947256,19.21222931432953,262.37148936486255,-262.37148936486255,0.0,0.9026941174004189,-121.76516276719093,0.0,242.32547720548826,0.0,-0.10408239040818804,0.0,0.0,1.0068756133191992,-0.014994920675882267,-2.043080573904768,-0.8337058665241698,0.0,-0.07837609084897766,0.0,0.46891469037539035,1.0,-7.25256782314408
223,0.0,-0.00044102692699470145,23.6081207972977,291.31110829439575,-291.31110829439575,0.0,0.9026941174003612,-135.13599936121577,0.0,266.3197182166822,0.0,-0.10408239040820796,0.0,0.0,2.65533491943263,-0.014994920675881443,-2.5925670092758057,-0.8337058665241099,1.0989728707422464,-0.07837609084897336,0.0,0.46891469037533196,1.0,-10.0
224,0.0,-0.0004410269269947043,28.631996777834196,344.0094740485652,-344.0094740485652,0.0,0.5102038064209243,-160.42545839865608,0.0,313.366223492748,0.0,-0.10408239040826668,0.0,1.5699612439175608,0.6143853023398261,-0.014994920675881542,-3.4167966623324997,-0.8337058665240951,0.0,-0.07837609084897386,0.0,0.46891469037529315,1.0,-10.0
