,M_ac_e,M_ca2_e,M_co2_e,M_fe2_e,M_fe3_e,M_for_e,M_gly_e,M_h2_e,M_h2o_e,M_h_e,M_ile__45__L_e,M_k_e,M_leu__45__L_e,M_lys__45__L_e,M_mg2_e,M_n2_e,M_pi_e,M_pro__45__L_e,M_so4_e,M_val__45__L_e,objective,virtual_tag_R_constraint_reaction,M_mal__45__L_e
14,5.0926768904850395,-0.00027797949691352907,0.0,159.33730826008588,-159.33730826008588,18.172814947110524,0.0,-87.04789001614517,0.0,162.4124115782762,0.0,-0.06560318373392295,0.0,0.0,-0.009451306146188838,-1.0032704460746942,-0.525485232680611,0.0,-0.04940049001703792,0.0,0.29555716838912327,1.0,-10.0
15,5.09267689048513,-0.00027797949691353384,7.083557496319885,102.66884828952922,-102.66884828952922,11.089257450790909,0.0,-51.63010253454707,0.0,98.66039411139973,0.0,-0.06560318373391467,0.0,0.0,-0.009451306146189003,-1.003270446074752,-0.5254852326806608,0.0,-0.049400490017035135,0.0,0.2955571683891126,1.0,-10.0
84,2.3203625277873154,-0.0002779794969135294,18.17281494711053,263.46308132599364,-263.46308132599364,0.0,2.7723143626975997,-122.32411878333734,0.0,245.59305533437575,0.0,-0.06560318373393773,0.0,0.0,-0.009451306146188849,-2.3894276274235406,-0.525485232680658,0.0,-0.049400490017037973,0.0,0.2955571683890741,1.0,-10.0
85,2.6885896828893032,-0.0002779794969135265,18.172814947110375,233.26845460762559,-233.26845460762559,0.0,2.4040872075955724,-107.04269184660238,0.0,215.76665577110984,0.0,-0.06560318373393705,0.0,0.0,-0.009451306146188753,-2.2053140498725607,-0.5254852326806317,0.0,-0.04940049001703746,0.0,0.29555716838912477,1.0,-10.0
131,5.520898557829345,-0.0002779794969135282,7.083557496319769,100.95596162014995,-100.95596162014995,10.232814116102084,0.0,-51.63010253454602,0.8564433346886101,96.51928577467619,0.0,-0.06560318373392662,0.0,0.0,-0.00945130614618881,-1.0032704460747377,-0.5254852326806322,0.0,-0.0494004900170139,0.0,0.2955571683891133,1.0,-10.0
132,1.4277729113885722,-0.0002779794969135422,15.26980878920216,195.09785148829909,-195.09785148829909,0.0,0.0,-99.72432888023094,9.042694627570713,176.33523588028143,0.0,-0.06560318373394075,0.0,0.0,-0.009451306146189286,-2.0265518576850168,-0.525485232680638,0.0,-0.04940049001704025,2.0465628232204978,0.2955571683891456,1.0,-10.0
133,0.4044914997782923,-0.00027797949691353406,7.083557496319909,152.12003220066364,-152.12003220066364,0.0,0.0,-77.21213782480291,5.972850392739744,142.56694929713865,0.0,-0.06560318373390331,0.0,0.0,-0.00945130614618901,-1.003270446074762,-0.5254852326806632,0.0,-0.049400490017038806,0.0,0.29555716838913204,1.0,-4.883592941948876
134,1.427772911388555,-0.00027797949691354273,15.269808789202239,214.19910450502437,-214.19910450502437,0.0,0.0,-107.22839256537303,9.042694627570748,195.43648889700668,0.0,-0.06560318373394088,0.0,0.0,-0.009451306146189303,-2.0265518576850154,-0.5254852326806786,2.046562823220489,-0.04940049001704034,0.0,0.2955571683891498,1.0,-10.0
135,3.2469398653622346,-0.0002779794969135334,15.042412919955002,210.10597885857624,-210.10597885857624,0.0,0.0,-106.20511115375919,7.678319412090096,192.0255508582993,0.0,-0.06560318373393868,0.0,1.1369793462335624,-0.009451306146188988,-2.1402497923083086,-0.525485232680622,0.0,-0.04940049001703869,0.0,0.2955571683891202,1.0,-10.0
136,2.9626950288039233,-0.000277979496913538,14.758168083396848,180.26027101994754,-180.26027101994754,0.0,0.0,-91.92180811670127,8.531053921765444,163.03257752934556,1.2791017645127847,-0.06560318373391995,0.0,0.0,-0.009451306146189142,-1.64282132833114,-0.5254852326806401,0.0,-0.0494004900170395,0.0,0.29555716838911184,1.0,-10.0
137,5.520898557829317,-0.0002779794969135277,13.90543357372113,193.0512886650685,-193.0512886650685,0.0,1.705469019350323,-95.11956252797977,4.267381373389308,178.38179870349268,0.0,-0.06560318373393734,0.0,0.0,-0.009451306146188795,-1.8560049557498661,-0.525485232680649,0.0,-0.04940049001703768,0.0,0.2955571683891015,1.0,-10.0
138,5.520898557829389,-0.00027797949691353205,0.0,157.6244215907103,-157.6244215907103,17.31637161242207,0.0,-87.04789001614613,0.8564433346885746,160.27130324155632,0.0,-0.06560318373390255,0.0,0.0,-0.009451306146188939,-1.003270446074759,-0.5254852326806276,0.0,-0.049400490017038445,0.0,0.2955571683891178,1.0,-10.0
139,5.520898557830587,-0.0002779794969135979,0.0,902.2284009250753,-902.2284009250753,0.0,8.658185806212833,-480.9953441988632,18.172814947114937,887.5589109634958,0.0,-0.0656031837339539,0.0,0.0,-0.00945130614619118,-5.332363349181513,-0.5254852326807187,0.0,-0.04940049001705015,0.0,0.2955571683892093,1.0,-10.0
140,6.982729145843957,-0.0002779794969135295,14.392710436392763,154.95920366433623,-154.95920366433623,0.0,0.0,-74.2462317925954,3.780104510717783,141.75154429077492,0.0,-0.06560318373393027,0.0,0.0,-0.009451306146188857,-1.003270446074737,-0.5254852326806405,0.0,-0.04940049001703801,0.0,0.2955571683891134,1.0,-10.0
141,14.179084364043485,-0.000277979496913595,0.0,845.8093046113887,-845.8093046113887,0.0,0.0,-448.45670313891316,18.172814947114727,839.7980004560224,0.0,-0.06560318373395323,0.0,0.0,-0.009451306146191081,-1.0032704460749677,-0.5254852326805556,0.0,-0.04940049001704964,0.0,0.29555716838920626,1.0,-10.0
142,5.840182949000653,-0.00027797949691353113,0.0,178.69719140801436,-178.69719140801436,16.677802830079468,0.0,-98.22284370714064,1.4950121170311719,181.02478866768905,0.0,-0.06560318373393814,0.0,0.0,-0.009451306146188911,-1.0032704460747381,-0.5254852326806363,0.0,-0.04940049001703829,0.0,0.2955571683890932,1.0,-10.0
143,5.840182949000608,-0.00027797949691353194,0.0,895.8427131014353,-895.8427131014353,0.0,8.338901415039762,-477.6428580914506,18.172814947110425,881.4925075310306,0.0,-0.06560318373393832,0.0,0.0,-0.009451306146188937,-5.172721153594329,-0.525485232680424,0.0,-0.04940049001703843,0.0,0.29555716838913915,1.0,-10.0
144,5.840182949000642,-0.0002779794969135293,14.39640311385723,163.93340275318025,-163.93340275318025,0.0,1.1406998581110421,-79.29629591114394,3.7764118332532544,149.58319718277556,0.0,-0.06560318373391141,0.0,0.0,-0.009451306146188847,-1.5736203751302618,-0.5254852326806605,0.0,-0.04940049001703795,0.0,0.29555716838910095,1.0,-10.0
145,4.129133161834044,-0.00027797949691352923,14.966753042912792,155.3781538173472,-155.3781538173472,0.0,0.0,-77.1574836771857,6.628161478530958,139.31689845977598,0.8555248935832886,-0.0656031837339191,0.0,0.0,-0.009451306146188847,-1.4310328928663554,-0.5254852326806219,0.0,-0.04940049001703795,0.0,0.2955571683891193,1.0,-10.0
146,1.7336634598008207,-0.0002779794969135341,16.67780283007965,176.2529612207828,-176.2529612207828,0.0,0.0,-86.48270501724512,6.970371435964357,157.79623616117794,0.0,-0.06560318373389014,1.3688398297332829,0.0,-0.009451306146189008,-1.6876903609414105,-0.5254852326806537,0.0,-0.04940049001703881,0.0,0.29555716838909935,1.0,-10.0
147,4.31924980485255,-0.0002779794969135294,15.156869685931284,175.34040133429093,-175.34040133429093,0.0,0.0,-86.71084498886592,6.057811549475435,158.70879604766418,0.0,-0.06560318373388263,0.0,0.7604665720740289,-0.00945130614618885,-1.763737018148767,-0.5254852326806367,0.0,-0.04940049001703797,0.0,0.2955571683891293,1.0,-10.0
