,M_ac_e,M_ca2_e,M_co2_e,M_fe2_e,M_fe3_e,M_for_e,M_gly_e,M_h2_e,M_h2o_e,M_h_e,M_ile__45__L_e,M_k_e,M_leu__45__L_e,M_lys__45__L_e,M_mal__45__L_e,M_mg2_e,M_n2_e,M_pi_e,M_pro__45__L_e,M_so4_e,M_val__45__L_e,objective,virtual_tag_R_constraint_reaction,M_cit_e
0,0.0,-0.00015300116185795642,19.149567520954022,184.28187629402876,-184.28187629402876,0.0,0.0,-88.73975074967024,2.942024709708655,161.86672769986797,0.0,-0.03610828656185303,0.0,0.0,3.8448210504124822,-0.00520204129260642,-2.4585477663484143,-0.28922942890405756,3.8126864261868945,-0.027190251269899757,0.0,0.16267599107514313,1.0,-10.0
5,0.0,-0.00015300116185796545,18.889941276918176,168.47486880373907,-168.47486880373907,0.0,0.0,-79.00910637251248,1.2526513943785762,147.29782333062957,0.0,-0.03610828656185517,0.0,0.0,4.46387261093898,-0.005202041292606727,-2.2368897665417316,-0.28922942890407694,3.3693704265734277,-0.027190251269901364,0.0,0.1626759910751298,1.0,-10.0
60,3.062250952839942,-0.00015300116185795813,6.8289989605351975,19.817156805053816,-19.817156805053816,21.198016075505016,0.5298704083904396,0.8171397574502292,-18.123917557285015,23.163146185931723,0.0,-0.036108286561845816,0.0,0.0,4.595256523759527,-0.005202041292606478,-0.8171397574502292,-0.28922942890406467,0.0,-0.02719025126989638,0.0,0.16267599107516004,1.0,-10.0
64,0.0,-0.00015300116185795797,4.295232517579947,22.611548843760886,-22.611548843760886,24.36906570736784,0.0,0.6088346534512085,-20.086475078501767,29.113296269653464,0.0,-0.03610828656184305,0.0,0.05663010019620258,6.147051256853501,-0.005202041292606473,-0.6088346534512085,-0.2892294289040653,0.0,-0.02719025126989377,0.0,0.1626759910751656,1.0,-10.0
65,0.0,-0.00015300116185795813,4.9390201290713085,20.942469851005534,-20.942469851005534,20.33943213914418,0.0,0.5849906678404216,-17.67823253181189,25.20288262948375,0.0,-0.036108286561850195,0.0,0.03278611458541078,7.029278724452785,-0.005202041292606477,-0.5849906678404216,-0.28922942890406833,0.0,-0.027190251269899206,0.0,0.16267599107516234,1.0,-10.0
66,0.0,-0.00015300116185795707,4.334766738471609,22.498288643368348,-22.498288643368348,24.31670957699763,0.0,0.6066976685381383,-19.925132717565287,28.908145717999105,0.0,-0.036108286561846434,0.0,0.0,6.098969096309526,-0.0052020412926064435,-0.6066976685381383,-0.2892294289040689,0.10898623056627535,-0.02719025126988805,0.0,0.16267599107516245,1.0,-10.0
67,0.0,-0.0001530011618579564,4.9619085486874885,20.876897621834477,-20.876897621834477,20.309120448300828,0.0,0.5837534559692688,-17.58482303554004,25.08411028985329,0.0,-0.03610828656185196,0.0,0.0,7.0014414573518815,-0.005202041292606419,-0.5837534559692688,-0.28922942890406855,0.06309780542852879,-0.027190251269888516,0.0,0.162675991075166,1.0,-10.0
68,0.0,-0.0001530011618579581,4.701081568986086,22.498288643368507,-22.498288643368507,24.586147758119996,0.0,0.6324305285329678,-19.98265322814208,28.650817118051133,0.0,-0.036108286561842645,0.16045195055591346,0.0,5.835585705774376,-0.005202041292606477,-0.6324305285329678,-0.28922942890406916,0.0,-0.027190251269891146,0.0,0.16267599107515926,1.0,-10.0
69,0.0,-0.00015300116185795726,5.173987283600082,20.876897621834598,-20.876897621834598,20.465112245054822,0.0,0.5986515489176716,-17.618124655071863,24.935129360369388,0.0,-0.03610828656184181,0.09289399132533471,0.0,6.848955094232966,-0.00520204129260645,-0.5986515489176716,-0.2892294289040597,0.0,-0.027190251269889717,0.0,0.1626759910751609,1.0,-10.0
87,0.0,-0.0001530011618579581,4.578383018560984,22.724809044153325,-22.724809044153325,24.425695807564075,0.0,0.6088346534512112,-20.029844978305583,29.000036069261068,0.11326020039240926,-0.036108286561851985,0.0,0.0,5.977160956264896,-0.005202041292606477,-0.6088346534512112,-0.2892294289040654,0.0,-0.027190251269889026,0.0,0.1626759910751692,1.0,-10.0
88,0.0,-0.00015300116185795794,5.102950701998381,21.00804208017634,-21.00804208017634,20.372218253729567,0.0,0.5849906678404246,-17.645446417226452,25.137310400312895,0.06557222917081995,-0.03610828656184381,0.0,0.0,6.930920380696528,-0.005202041292606471,-0.5849906678404246,-0.28922942890407205,0.0,-0.027190251269899015,0.0,0.16267599107516664,1.0,-10.0
96,3.5254689712400245,-0.00015300116185795677,6.001118791946,19.817156805053646,-19.817156805053646,22.960924609805307,0.5255742439348821,0.0,-18.59572790459609,24.462836701831872,0.0,-0.03610828656184415,0.0,0.0,4.132038505359376,-0.005202041292606433,-0.8149916752224382,-0.28922942890406017,0.0,-0.027190251269892475,0.0,0.16267599107516797,1.0,-10.0
170,0.0,-0.00015300116185795927,18.953987720871634,211.92495616574598,-211.92495616574598,0.0,3.2462448988040835,-91.7658750670973,-9.21488036172807,194.6509568526202,0.0,-0.0361082865618537,0.4140372618897362,0.0,6.415395690930238,-0.0052020412926065155,-2.382345633601931,-0.2892294289040632,0.0,-0.027190251269900257,0.0,0.16267599107513472,1.0,-10.0
171,0.0,-0.000153001161857963,18.412554378400873,207.4660933454,-207.4660933454,0.0,3.0869997980773256,-90.25304661019467,-8.864541140129301,190.51058423372743,0.0,-0.036108286561854594,0.0,0.0,6.57464079165726,-0.005202041292606644,-2.3664211235292827,-0.2892294289040103,0.0,-0.02719025126990093,0.5414333424711645,0.1626759910751433,1.0,-10.0
172,0.0,-0.0001530011618579593,11.91535426874594,134.91402545425322,-134.91402545425322,7.038633452125653,2.0041331131348437,-55.33059602079966,-12.113141194956325,127.1628831645916,0.0,-0.03610828656185372,0.0,0.0,7.657507476599537,-0.005202041292606518,-1.5542711098224222,-0.28922942890406267,0.0,-0.02719025126990027,0.0,0.16267599107513422,1.0,-10.0
173,0.0,-0.00015300116185795845,3.8988218162065182,26.690837344970625,-26.690837344970625,19.063432130934746,0.0,-4.225201635860705,-16.121407421226003,30.964493734118154,0.0,-0.036108286561848814,0.0,0.0,7.657507476599491,-0.0052020412926064895,-0.5522045532550044,-0.2892294289040635,0.0,-0.02719025126988731,0.0,0.16267599107516847,1.0,-10.0
