M_ac_e,M_ca2_e,M_cd2_e,M_cit_e,M_cl_e,M_co2_e,M_cobalt2_e,M_cu2_e,M_fe2_e,M_fe3_e,M_for_e,M_fum_e,M_gln__45__L_e,M_gly_e,M_h2_e,M_h2o_e,M_h2s_e,M_h_e,M_ile__45__L_e,M_k_e,M_lac__45__L_e,M_leu__45__L_e,M_lys__45__L_e,M_mg2_e,M_mn2_e,M_mobd_e,M_n2_e,M_na1_e,M_nh4_e,M_ni2_e,M_oxa_e,M_pi_e,M_pro__45__L_e,M_s_e,M_so4_e,M_ss_e,M_succ_e,M_ura_e,M_val__45__L_e,M_zn2_e,M_fixed_uptake,objective,virtual_tag_R_constraint_reaction
0.0,-4.3762075276773727e-07,0.0,0.0,0.0,0.01569018369482417,0.0,0.0,0.2823277702678733,-0.2823277702678733,0.0,0.0,0.0,0.0,-0.1412062231491999,0.010502926050552941,0.0,0.2621825088345829,0.0,-0.00010327853301546397,0.0,0.0,0.0,-1.487911071232751e-05,0.0,0.0,-0.002146765050070836,0.0,0.0,0.0,0.0,-0.0008272669230910134,0.001134649875407463,0.0,-7.777077039273921e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0004652931311570399,0.0009922767204937643
0.0,-4.839638404269915e-07,0.0,0.0,0.0,0.018776374556621796,0.0,0.0,0.2833530762634006,-0.2833530762634006,0.0,0.0,0.0,0.0,-0.13816177347252093,0.009335747963692752,0.0,0.2610744753789597,0.0,-0.00011421550544783642,0.0,0.0,0.0,-1.645477623475101e-05,0.0,0.0,-0.002231639361190158,0.0,0.0,0.0,0.0,-0.0009148726942797392,0.0009698799396616364,0.0,-8.600652613979653e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0005145666636119871,0.0010973566709971308
0.0,-4.1600467337410277e-07,0.0,0.0,0.0,0.015827839384520013,0.0,0.0,0.28304027424479106,-0.28304027424479106,0.0,0.0,0.0,0.0,-0.14077217299397748,0.008822564839515861,0.0,0.26314335280607826,0.0,-9.817713653186247e-05,0.0,0.0,0.000746726093567053,-1.4144163760131553e-05,0.0,0.0,-0.002248150475074752,0.0,0.0,0.0,0.0,-0.0007864044471317119,0.0,0.0,-7.392931832109625e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00044231018713349296,0.0009432636601327251
0.0,-4.6338246386338984e-07,0.0,0.0,0.0,0.018763645007184287,0.0,0.0,0.2839229101351736,-0.2839229101351736,0.0,0.0,0.0,0.0,-0.13791754441570137,0.007938662013889082,0.0,0.2619488436614899,0.0,-0.00010935829891573264,0.0,0.0,0.0006429005746920288,-1.575500919087761e-05,0.0,0.0,-0.0023153186356832515,0.0,0.0,0.0,0.0,-0.0008759661937194589,0.0,0.0,-8.234895391322554e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0004926838505044404,0.0010506897323050873
0.0,-4.608336719270762e-07,0.0,0.0,0.0,0.016631066756558822,0.0,0.0,0.2818067561602395,-0.2818067561602395,0.0,0.0,0.0,0.0,-0.14214279748160175,0.011277280436820032,0.0,0.26059292034573617,0.0,-0.00010875678381280555,0.0,0.0009775927893060303,0.0,-1.566835023523337e-05,0.0,0.0,-0.0021520154763983237,0.0,0.0,0.0,0.0,-0.0008711480235357601,0.0,0.0,-8.189600118828217e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0004899738890293167,0.0010449105116264725
0.0,-5.057393542346107e-07,0.0,0.0,0.0,0.01971333856382211,0.0,0.0,0.2829572589848207,-0.2829572589848207,0.0,0.0,0.0,0.0,-0.1388192399943956,0.0099400776180185,0.0,0.25967625267119415,0.0,-0.00011935452846602152,0.0,0.0008292426605920388,0.0,-1.7195143958887123e-05,0.0,0.0,-0.0022399118756571703,0.0,0.0,0.0,0.0,-0.0009560365609209445,0.0,0.0,-8.987631173338579e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0005377191236770562,0.001146731238568333
0.0,-4.5009021769806523e-07,0.0,0.0,0.0,0.016720746338842535,0.0,0.0,0.28239798715214626,-0.28239798715214626,0.0,0.0,0.0,0.0,-0.14109666542004035,0.010218703842449776,0.0,0.2616787112797188,0.0008752352457064696,-0.00010622132774662597,0.0,0.0,0.0,-1.530307266579617e-05,0.0,0.0,-0.0020620619379830172,0.0,0.0,0.0,0.0,-0.000850838876249685,0.0,0.0,-7.998675281103998e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00047855108646329694,0.0010205504248122265
0.0,-4.957026924734595e-07,0.0,0.0,0.0,0.01972851001206374,0.0,0.0,0.2834377186196945,-0.2834377186196945,0.0,0.0,0.0,0.0,-0.13799466616442785,0.009065489994566729,0.0,0.26061873604195607,0.0007450537477791121,-0.00011698587547936976,0.0,0.0,0.0,-1.68538973416235e-05,0.0,0.0,-0.002161593574564263,0.0,0.0,0.0,0.0,-0.0009370635157882804,0.0,0.0,-8.80926693617674e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000527047806680148,0.0011239737579093983
0.0,-3.891268405603815e-07,0.0,0.0,0.0,0.015969345619692536,0.0,0.0,0.2850091334494584,-0.2850091334494584,0.0,0.0,0.0,0.001513374485900593,-0.13674094429000655,0.004294487436912659,0.0,0.2670962216777452,0.0,-9.183396581594052e-05,0.0,0.0,0.0,-1.3230317130113437e-05,0.0,0.0,-0.00216110542214469,0.0,0.0,0.0,0.0,-0.0007355952889495748,0.0,0.0,-6.915278578421321e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0004137327695647031,0.0008823199145957443
0.0,-4.373726542660352e-07,0.0,0.0,0.0,0.01872179271985953,0.0,0.0,0.2855838404028507,-0.2855838404028507,0.0,0.0,0.0,0.0013147644351536568,-0.13457559150858273,0.004054447636133019,0.0,0.2654499998383065,0.0,-0.0001032199817490145,0.0,0.0,0.0,-1.4870675360367987e-05,0.0,0.0,-0.002235926904571786,0.0,0.0,0.0,0.0,-0.0008267979241168365,0.0,0.0,-7.772668013539052e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00046502934446968053,0.0009917141732057955
