M_ac_e,M_ca2_e,M_cd2_e,M_cit_e,M_cl_e,M_co2_e,M_cobalt2_e,M_cu2_e,M_fe2_e,M_fe3_e,M_for_e,M_fum_e,M_gln__45__L_e,M_gly_e,M_h2_e,M_h2o_e,M_h2s_e,M_h_e,M_ile__45__L_e,M_k_e,M_lac__45__L_e,M_leu__45__L_e,M_lys__45__L_e,M_mg2_e,M_mn2_e,M_mobd_e,M_n2_e,M_na1_e,M_nh4_e,M_ni2_e,M_oxa_e,M_pi_e,M_pro__45__L_e,M_s_e,M_so4_e,M_ss_e,M_succ_e,M_ura_e,M_val__45__L_e,M_zn2_e,M_fixed_uptake,objective,virtual_tag_R_constraint_reaction
0.0,-3.902073978658074e-07,0.0,0.0,0.0,0.020100099135476317,0.0,0.0,0.2808698411982386,-0.2808698411982386,0.015032438555766097,0.0,0.0,0.0,-0.13142899115597317,0.0,0.0,0.26354983165791007,0.0,-9.20889774273363e-05,0.0,0.0,0.0,-1.3267056091135651e-05,0.0,0.0,-0.0026779076219605336,0.0,0.0,0.0,0.0,-0.0007376379464598269,0.002539179092944259,0.0,-6.934481455242173e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00041488165450413164,0.0016042597270595382
0.0,-4.096897539546329e-07,0.0,0.0,0.0,0.023274452712411152,0.0,0.0,0.281868419135676,-0.281868419135676,0.013612189625100055,0.0,0.0,0.0,-0.1293078385587491,0.0,0.0,0.26151286090972875,0.0,-9.668681503858571e-05,0.0,0.0,0.0,-1.392945642601299e-05,0.0,0.0,-0.0028116107504746603,0.0,0.0,0.0,0.0,-0.0007744668872132837,0.002665955754618555,0.0,-7.280707687090412e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00043559595200843025,0.0016843575402544701
0.0,-4.4317108235370505e-07,0.0,0.0,0.0,0.02282832857092372,0.0,0.0,0.27938834372791094,-0.27938834372791094,0.017649589044759405,0.0,0.0,0.0,-0.13206129293087732,0.0,0.0,0.2602942177176599,0.0,-0.00010458841124625097,0.0,0.0023070618405794437,0.0,-1.5067821983164687e-05,0.0,0.0,-0.0027530030195529968,0.0,0.0,0.0,0.0,-0.0008377591222147637,0.0,0.0,-7.875713451076681e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00047119442860620167,0.0018220093301817286
0.0,-4.684725946148418e-07,0.0,0.0,0.0,0.02661390270363239,0.0,0.0,0.28044561736376433,-0.28044561736376433,0.016174979164093446,0.0,0.0,0.0,-0.1296718938437331,0.0,0.0,0.25777911021925715,0.0,-0.00011055957018438718,0.0,0.0024387765570194333,0.0,-1.592807369595896e-05,0.0,0.0,-0.002910177398540508,0.0,0.0,0.0,0.0,-0.0008855884448998537,0.0,0.0,-8.32535348487423e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0004980958490451011,0.0019260314409265478
0.0,-4.057293722599754e-07,0.0,0.0,0.0,0.023011804197615025,0.0,0.0,0.28112973816771153,-0.28112973816771153,0.014046299903803931,0.0,0.0,0.0,-0.13146471320505082,0.0,0.0,0.26153664904687157,0.0021121476324038758,-9.575216463862489e-05,0.0,0.0,0.0,-1.3794803402075712e-05,0.0,0.0,-0.0025204130671630134,0.0,0.0,0.0,0.0,-0.0007669802843543372,0.0,0.0,-7.210326670309362e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00043138514073490225,0.001668075222463284
0.0,-4.268344414348499e-07,0.0,0.0,0.0,0.026470457966920102,0.0,0.0,0.2821836237891288,-0.2821836237891288,0.012515319859951989,0.0,0.0,0.0,-0.12925665283765897,0.0,0.0,0.2593097142606224,0.002222016488190999,-0.00010073296266930645,0.0,0.0,0.0,-1.4512376000857273e-05,0.0,0.0,-0.0026515189120157956,0.0,0.0,0.0,0.0,-0.0008068767598470977,0.0,0.0,-7.585390576337872e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0004538247614739927,0.0017548444961860256
0.0,-3.4176593854723406e-07,0.0,0.0,0.0,0.023456490502960087,0.0,0.0,0.2808358277411565,-0.2808358277411565,0.0,0.0,0.0,0.0,-0.14133709873228728,0.01170335000712016,0.0,0.25249970482719536,0.0,-8.0656789113804e-05,0.0,0.0,0.0,-1.1620045907753646e-05,0.0,0.0,-0.0030769239073011627,0.0,0.0,0.0,0.0,-0.0006460654678991872,0.0,0.0,-6.0736151488964476e-05,0.0,0.0,0.0,0.0036868769090027675,0.0,0.0,0.0003633770625906902,0.0014051023488811122
0.0,-3.668635746329862e-07,0.0,0.0,0.0,0.026258950426782557,0.0,0.0,0.2815883613233038,-0.2815883613233038,0.0,0.0,0.0,0.0,-0.1388650582205881,0.010834901279955686,0.0,0.25117137071375323,0.0,-8.657983325807509e-05,0.0,0.0,0.0,-1.2473365828200397e-05,0.0,0.0,-0.00319488542300681,0.0,0.0,0.0,0.0,-0.0006935093883490421,0.0,0.0,-6.519632043909077e-05,0.0,0.0,0.0,0.003741637539368298,0.0,0.0,0.00039006171500976177,0.001508286263478792
0.0,-2.835444850166769e-07,0.0,0.0018614569274996728,0.0,0.01813233782073153,0.0,0.0,0.2863413126726022,-0.2863413126726022,0.0,0.0,0.0,0.0027267429042043914,-0.13166291061501723,0.0,0.0,0.2684167538842922,0.0,-6.691652137596364e-05,0.0,0.0,0.0,-9.640515806781579e-06,0.0,0.0,-0.0023867267898996705,0.0,0.0,0.0,0.0,-0.0005360051418851845,0.0,0.0,-5.03894591398938e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00030147405126772214,0.001165736479190291
0.0,-3.164261210393274e-07,0.0,0.0022636148266824015,0.0,0.02004878852218603,0.0,0.0,0.2865737050995183,-0.2865737050995183,0.0,0.0,0.0,0.002577224935490285,-0.130025439170125,0.0,0.0,0.2671293738418314,0.0,-7.467659013433479e-05,0.0,0.0,0.0,-1.0758491816121196e-05,0.0,0.0,-0.0024306426502933944,0.0,0.0,0.0,0.0,-0.0005981637339688964,0.0,0.0,-5.6232943821737487e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0003364349147226262,0.0013009227537701222
