M_2ddglcn_e,M_ala__45__D_e,M_alaala_e,M_arab__45__L_e,M_arg__45__L_e,M_asp__45__L_e,M_buts_e,M_bz_e,M_ca2_e,M_cd2_e,M_cellb_e,M_cgly_e,M_cit_e,M_co2_e,M_cobalt2_e,M_cro4_e,M_cu2_e,M_eths_e,M_etoh_e,M_fe2_e,M_fe3_e,M_fru_e,M_fum_e,M_glc__45__D_e,M_gln__45__L_e,M_glu__45__L_e,M_glyc3p_e,M_glyclt_e,M_gthrd_e,M_h2_e,M_h2o_e,M_h_e,M_hexs_e,M_hom__45__L_e,M_ile__45__L_e,M_istnt_e,M_k_e,M_lac__45__L_e,M_leu__45__L_e,M_mal__45__L_e,M_met__45__D_e,M_met__45__L_e,M_mg2_e,M_mn2_e,M_mobd_e,M_mops_e,M_na1_e,M_nh4_e,M_ni2_e,M_no2_e,M_no3_e,M_o2_e,M_orot_e,M_pi_e,M_ppa_e,M_ppn_e,M_pro__45__L_e,M_ptrc_e,M_pyr_e,M_rib__45__D_e,M_so4_e,M_spmd_e,M_succ_e,M_sula_e,M_tsul_e,M_ura_e,M_val__45__L_e,M_zn2_e,M_fixed_uptake,objective,virtual_tag_R_constraint_reaction
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09420953510867726,0.0,0.0,0.0,0.0,0.0,0.3093005918647727,-0.30930086699065507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1580095977198972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08829732275832132,0.0,0.0,0.0,0.0,0.0,-0.007536871248942245,0.0,0.0,0.0,0.0,0.0011062055447037791,0.0,-0.002022960153340184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008091937716613337,0.02212411089407687
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0808560732248832,0.0,0.0,0.0,0.0,0.0,0.2654596615455999,-0.2654598976745487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13561297790861931,0.141742148163558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07578187055346584,0.0,0.0,0.0,0.0,0.0,-0.006468578927685013,0.0,0.0,0.0,0.0,0.0009494095944870267,0.0,-0.001736221435556466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069449690818548454,0.018988191889741636
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09362115074424765,0.0,0.0,0.0,0.0,0.0,0.30879614079099577,-0.30879641744707054,0.0,0.0,0.0,0.0,0.0,0.0,0.002224716055587973,0.0,0.0,0.15777605591456434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.088788413937336,0.0,0.0,0.0,0.0,0.0,-0.007578789745133298,0.0,0.0,0.0,0.0,0.0,0.0,-0.002034211433172561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008136943376010754,0.022247160555881024
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08036445634585913,0.0,0.0,0.0,0.0,0.0,0.26507080696070734,-0.2650710444424608,0.0,0.0,0.0,0.0,0.0,0.0,0.0019096977008928383,0.0,0.0,0.13543506843454287,0.14159935327651427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07621603194536178,0.0,0.0,0.0,0.0,0.0,-0.006505638018603745,0.0,0.0,0.0,0.0,0.0,0.0,-0.001746168409807635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006984757456320016,0.019096977008929494
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12911991270272988,0.0,0.0,0.0,0.0,0.0,0.12254411619473066,-0.12254449775176067,0.0,0.0,0.0,0.0,0.0,0.0,0.003068271865944036,0.0,0.0,0.3692705662645002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12245472487216862,0.0,0.0,0.0,-0.0758349190888649,0.0,-0.010452474280701812,0.0,0.0,0.0,0.0,0.0,0.0,-0.002805532730393986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011222265588763011,0.030682718659442148
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13754774619899646,0.0,0.0,0.0,0.0,0.0,0.0,-4.06461779804481e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0032685421717874876,0.0,0.0,0.4586447309635124,-0.09790705383688339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13044751243259536,0.0,0.0,0.0,-0.1134204527051255,0.0,-0.011134721588788019,0.0,0.0,0.0,0.0,0.0,0.0,-0.002988653693111201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011954758229543559,0.03268542171787678
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09415325849691296,0.0,0.0,0.0,0.0,0.0,0.30811068200983033,-0.3081109580517901,0.0,0.0,0.0,0.0,0.0007399258935140783,0.0,0.0,0.0,0.0,0.15964560582766343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08933124929130123,0.0,0.0,0.0,0.0,0.0,-0.007561966516811528,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020296959360357005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00811888117071685,0.02219777680542364
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08089802839360338,0.0,0.0,0.0,0.0,0.0,0.26473376598454107,-0.26473400316433343,0.0,0.0,0.0,0.0,0.0006357564984819603,0.0,0.0,0.0,0.0,0.13717013048022952,0.14078355135997953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07675487876864819,0.0,0.0,0.0,0.0,0.0,-0.006497366015309547,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017439481339796767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006975876246433664,0.01907269495445992
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.129524466892705,0.0,0.0,0.0,0.0,0.0,0.12331920636626818,-0.1233195861108278,0.0,0.0,0.0,0.0,0.0010178989917875405,0.0,0.0,0.0,0.0,0.36989155660554973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12289094000601682,0.0,0.0,0.0,-0.07513538874908245,0.0,-0.010402822986552424,0.0,0.0,0.0,0.0,0.0,0.0,-0.0027922059020180764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011168957635563932,0.030536969753627994
