M_2ddglcn_e,M_ac_e,M_ala__45__D_e,M_alaala_e,M_arab__45__L_e,M_arg__45__L_e,M_asp__45__L_e,M_buts_e,M_bz_e,M_ca2_e,M_cd2_e,M_cellb_e,M_cgly_e,M_cit_e,M_co2_e,M_cobalt2_e,M_cro4_e,M_cu2_e,M_eths_e,M_etoh_e,M_fe2_e,M_fe3_e,M_fru_e,M_fum_e,M_glc__45__D_e,M_gln__45__L_e,M_glu__45__L_e,M_glyc3p_e,M_glyclt_e,M_gthrd_e,M_h2_e,M_h2o_e,M_h_e,M_hexs_e,M_hom__45__L_e,M_ile__45__L_e,M_istnt_e,M_k_e,M_lac__45__L_e,M_leu__45__L_e,M_met__45__D_e,M_met__45__L_e,M_mg2_e,M_mn2_e,M_mobd_e,M_mops_e,M_na1_e,M_nh4_e,M_ni2_e,M_no2_e,M_no3_e,M_o2_e,M_orot_e,M_pi_e,M_ppa_e,M_ppn_e,M_pro__45__L_e,M_ptrc_e,M_pyr_e,M_rib__45__D_e,M_so4_e,M_spmd_e,M_succ_e,M_sula_e,M_tsul_e,M_ura_e,M_val__45__L_e,M_zn2_e,M_fixed_uptake,objective,virtual_tag_R_constraint_reaction
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1518512855212711,0.0,0.0,0.0,0.0,0.0,-3.022269669581501e-07,0.0,0.0,0.1326962032897842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39060492497372595,-0.1819225094983377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09699498941500291,0.0,0.0,0.0,0.0,0.0,-0.008279285534107523,0.0,0.0,0.0,0.0,0.0,0.0,-0.0022222304429010777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00888902843994559,0.026539240657956913
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35390404084090354,0.0,0.0,0.0,0.0,0.0,-1.566857437869764e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34009350936222904,-0.02552075507954489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05028582397216755,0.0,0.0,0.0,-0.20638399861631193,0.0,-0.004292290740938493,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011520872320444923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004608404229028718,0.013758933241087498
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.298438660579482,0.0,0.0,0.0,0.0,0.09491258447644767,-2.1617153936072217e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18447237168182246,-0.319947471798448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06937685403507207,0.0,0.0,0.0,0.0,0.0,-0.0059218603711256885,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015894775389871311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006357986451785946,0.018982516895289583
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17508430851710866,0.0,0.0,0.0,0.0,0.0,-3.4846724769859436e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29736837618170187,-0.20975638546538242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11183507991423096,0.0,0.0,0.0,0.0,0.0,-0.009546004024785568,0.0,0.0,0.0,0.0,0.0,0.0,-0.0025622284271442793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15299852692115076,0.010249036697017481,0.030599705384230236
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22344198692676112,0.0,0.0,0.0,0.0,0.0,-2.966043566710841e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3089224044956039,-0.21574590157900947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09519050111679565,0.0,0.0,0.0,0.0,0.0,-0.00812525825956562,0.0,0.0,0.0,0.0,0.0,0.0,-0.002180888216314736,0.0,0.11162359885333233,0.0,0.0,0.0,0.0,0.0,0.0,0.008723657549149532,0.02604550639911094
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21366586587534797,0.0,0.0,0.0,0.0,0.0,-2.269413336094232e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2683937838819843,-0.2611565552468339,0.0,0.07473088927814159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14756413931145415,0.0,0.0,0.0,0.0,0.0,-0.006216890965602495,0.0,0.0,0.0,0.0,0.0,0.0,-0.001668666252304558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006674745106159506,0.019928237140837808
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2214783443828257,0.0,0.0,0.0,0.0,0.0,-2.409992726110247e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30785747114293627,-0.20068540569089457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07734492435007172,0.0,0.0,0.0,-0.04838748535648165,0.0,-0.006601997867831514,0.0,0.0,0.0,0.0,0.10762118720727722,0.0,-0.0017720322104393632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070882139003242564,0.021162696891645034
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2214188488474822,0.0,0.0,0.0,0.0,0.0,-2.411274598369672e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003545992056425988,0.0,0.0,0.3076666209593713,-0.200703500217647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07738606402317424,0.0,0.0,0.0,-0.04832457280087668,0.0,-0.006605509462630895,0.0,0.0,0.0,0.0,0.10750113118569693,0.0,-0.0017729747522606555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007091984112851977,0.021173953304905582
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175718967458342,0.0,0.0,0.0,0.0,0.0,-3.3959099978748373e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29743540958462356,-0.2146023200468029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10898638781753155,0.0,0.0,0.0,0.0,0.0,-0.009302845739913567,0.0,0.0,0.0,0.0,0.015283355270372138,0.0,-0.002496962681584458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13636517945787474,0.009987970581984815,0.029820261769970383
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175718967458342,0.0,0.0,0.0,0.0,0.0,-3.3959099978748373e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004993985290992407,0.0,0.0,0.2971857103200739,-0.2146023200468029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10898638781753155,0.0,0.0,0.0,0.0,0.0,-0.009302845739913567,0.0,0.0,0.0,0.0,0.015283355270372138,0.0,-0.002496962681584458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13611548019332512,0.009987970581984815,0.029820261769970383
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20248392253628666,0.0,0.0,0.0,0.0,0.0,-2.8192406185496566e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30353134069592685,-0.23476437963655675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0904790914943191,0.0,0.0,0.0,0.0,0.0,-0.00772310237741248,0.0,0.0,0.0,0.0,0.06929234948951606,0.0,-0.0020729461673987017,0.0,0.0566043053443761,0.0,0.0,0.0,0.0,0.0,0.0,0.008291884172204873,0.024756396161940496
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20244322282495084,0.0,0.0,0.0,0.0,0.0,-2.820117521843774e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004147231649770256,0.0,0.0,0.30331470943090644,-0.23473372051522254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09050723432571067,0.0,0.0,0.0,0.0,0.0,-0.007725504589508531,0.0,0.0,0.0,0.0,0.06921022155513855,0.0,-0.0020735909414952296,0.0,0.05651823089062965,0.0,0.0,0.0,0.0,0.0,0.0,0.008294463299540512,0.024764096450167777
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19552740717963488,0.0,0.0,0.0,0.0,0.0,-2.490326483616137e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2847858620586801,-0.2573753896457788,0.0,0.03333360994642876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11325671983612182,0.0,0.0,0.0,0.0,0.0,-0.0068220662896249645,0.0,0.0,0.0,0.0,0.07787497993718742,0.0,-0.001831100440954657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00732448965769452,0.02186812597524563
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19550079525553465,0.0,0.0,0.0,0.0,0.0,-2.4915431023951497e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036640339741105145,0.0,0.0,0.2846196545706948,-0.2573179255699749,0.0,0.033288827444103386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11325098279912342,0.0,0.0,0.0,0.0,0.0,-0.006825399127312807,0.0,0.0,0.0,0.0,0.07779089034768014,0.0,-0.0018319950028514126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007328067948221028,0.021878809382782086
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15463248138434882,0.0,0.0,0.0,0.0,0.0,-2.9883967401174e-07,0.0,0.0,0.12000119497055553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38174399997846764,-0.18884978519773296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09590789104390336,0.0,0.0,0.0,0.0,0.0,-0.008186493134497198,0.0,0.0,0.0,0.0,0.013449334374767943,0.0,-0.00219732417599744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008789402176815883,0.026241794723239165
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1546664670288984,0.0,0.0,0.0,0.0,0.0,-2.9890535399596686e-07,0.0,0.0,0.11980778588648688,0.0,0.0,0.0,0.0,0.00043956669705289247,0.0,0.0,0.3813883342560099,-0.1888912912358922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0959289700013471,0.0,0.0,0.0,0.0,0.0,-0.008188292389370985,0.0,0.0,0.0,0.0,0.013452290314512281,0.0,-0.002197807111262639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008791333941057848,0.026247562232754783
