,M_ca2_e,M_co2_e,M_fe2_e,M_fe3_e,M_for_e,M_h2_e,M_h2o_e,M_h_e,M_k_e,M_mg2_e,M_n2_e,M_pi_e,M_so4_e,objective,virtual_tag_R_constraint_reaction,M_mal__45__L_e
1,-0.0007882337109700986,0.0,833.9090445783016,-833.9090445783016,6.9886305722592725,-445.70918818425855,26.186057943841533,820.3578128555191,-0.18602321948276815,-0.026799955391826426,-2.844855809858762,-1.4900565675340418,-0.14007914972946328,0.8380766431692299,1.0,-10.0
5,-0.0007882337109699064,0.0,991.1532324538936,-991.1532324538936,0.0,-527.8255974081766,31.4275308730284,974.1076854449858,-0.1860232194827228,-0.026799955391819893,-2.8448558098581387,-1.4900565675335706,-0.14007914972942911,0.8380766431689388,1.0,-8.252842356935773
11,-0.0007882337109700053,6.988630572258448,778.000000000135,-778.000000000135,0.0,-410.76603532291364,26.18605794383844,757.4601377050956,-0.18602321948274608,-0.026799955391823244,-2.844855809858536,-1.4900565675340198,-0.14007914972944668,0.8380766431690397,1.0,-10.0
