,M_ac_e,M_co2_e,M_fe2_e,M_glu__45__L_e,M_glyclt_e,M_h2o_e,M_h_e,M_hom__45__L_e,M_mal__45__L_e,M_nh4_e,M_o2_e,M_orot_e,M_pi_e,M_pro__45__L_e,M_pyr_e,M_so4_e,M_succ_e,objective,virtual_tag_R_constraint_reaction,M_fum_e
200,0.0,2.920542912143768,-6.83275691689855e-06,0.0,0.010048171936615042,0.0,-3.7028972634583623,0.0,3.640785718528417,-2.8078847751526217,0.0,0.3075094790568758,-0.18717835165246624,0.0,0.0,-0.05024025679276005,0.0,0.2009634387323098,1.0,-6.902067703710788
201,0.0,2.147315859563538,-6.8327569168985444e-06,0.0,0.0,0.0,-2.9296702108781334,0.0,5.197287995625482,-4.35433888031307,0.0,1.0807365316371014,-0.18717835165246632,0.0,0.0,-0.05024025679276001,0.773227052580224,0.2009634387323094,1.0,-10.0
202,0.0,2.1460598380714644,-6.83275691689855e-06,0.0,0.010048171936615042,0.0,-2.928414189386059,0.0,5.189751866673024,-4.356850923297229,0.0,1.0819925531291792,-0.18717835165246624,0.0,0.0,-0.05024025679276005,0.7744830740723015,0.2009634387323098,1.0,-10.0
203,0.0,2.1473158595635384,-6.832756916898543e-06,0.0,0.0,0.0,-3.3162837371682437,0.3866135262901115,5.583901521915593,-4.740952406603182,0.0,1.0807365316371005,-0.1871783516524667,0.0,0.0,-0.05024025679276117,0.0,0.20096343873230943,1.0,-10.0
204,0.0,2.146059838071464,-6.8327569168985495e-06,0.0,0.010048171936614655,0.0,-3.315655726422209,0.38724153703615083,5.576993403709174,-4.74409246033338,0.0,1.0819925531291783,-0.187178351652467,0.0,0.0,-0.050240256792759626,0.0,0.20096343873230996,1.0,-10.0
205,0.0,2.9205429121437656,-6.832756916898546e-06,0.0,0.0,-3.092908210320901,-3.7028972634583592,0.0,6.743742100785935,-2.807884775152619,0.0,0.30750947905687626,-0.18717835165246605,0.0,0.0,-0.0502402567927605,0.0,0.2009634387323093,1.0,-10.0
206,0.0,2.9205429121437665,-6.832756916898549e-06,0.0,0.010048171936615493,-3.097932296289212,-3.702897263458361,0.0,6.73871801481763,-2.8078847751526204,0.0,0.30750947905687537,-0.18717835165246693,0.0,0.0,-0.050240256792760146,0.0,0.20096343873230985,1.0,-10.0
239,0.0,0.0,-6.832756916898552e-06,0.0,0.0,8.589263438254168,0.0,0.0,2.46736497912759,-8.648970599440158,-0.7823543513145937,3.2280523912006456,-0.18717835165246696,0.0,0.0,-0.050240256792758814,1.3558342095145788,0.20096343873230907,1.0,-10.0
240,0.0,0.0,-6.832756916898552e-06,0.0,0.010048171936614128,8.584239352285861,0.0,0.0,2.4623408931592823,-8.648970599440158,-0.7823543513145937,3.2280523912006456,-0.18717835165246696,0.0,0.0,-0.050240256792758814,1.3558342095145788,0.20096343873230907,1.0,-10.0
241,0.0,0.0,-6.832756916898548e-06,0.0,0.0,8.589263438254163,0.0,0.33895855237864303,3.4842406362635234,-8.987929151818797,-1.1213129036932372,3.228052391200642,-0.18717835165246627,0.0,0.0,-0.0502402567927607,0.0,0.2009634387323083,1.0,-10.0
242,0.0,0.0,-6.832756916898548e-06,0.0,0.010048171936615143,8.584239352285856,0.0,0.33895855237864303,3.479216550295216,-8.987929151818797,-1.1213129036932372,3.228052391200642,-0.18717835165246627,0.0,0.0,-0.0502402567927607,0.0,0.2009634387323083,1.0,-10.0
243,0.0,0.0,-6.832756916898551e-06,0.0,0.0,8.58926343825417,0.6779171047572882,0.0,3.8231991886421706,-8.64897059944016,-1.460271456071883,3.228052391200645,-0.18717835165246555,0.0,0.0,-0.050240256792761256,0.0,0.20096343873230788,1.0,-10.0
244,0.0,0.0,-6.832756916898551e-06,0.0,0.010048171936614976,8.584239352285861,0.6779171047572882,0.0,3.818175102673863,-8.64897059944016,-1.460271456071883,3.228052391200645,-0.18717835165246555,0.0,0.0,-0.050240256792761256,0.0,0.20096343873230788,1.0,-10.0
245,0.0,0.4519447365048586,-6.8327569168985554e-06,0.0,0.0,6.781484492234732,0.0,0.0,4.275143925147034,-7.745081126430445,-1.2342990878194529,2.776107654695786,-0.18717835165246535,0.0,0.0,-0.05024025679276041,0.0,0.2009634387323089,1.0,-10.0
246,0.0,0.4519447365048586,-6.8327569168985554e-06,0.0,0.01004817193661347,6.776460406266424,0.0,0.0,4.270119839178725,-7.745081126430445,-1.2342990878194529,2.776107654695786,-0.18717835165246535,0.0,0.0,-0.05024025679276041,0.0,0.2009634387323089,1.0,-10.0
247,0.0,0.0,-6.832756916898548e-06,0.0,0.0,8.589263438254163,0.0,0.0,3.8231991886421692,-8.648970599440153,-1.4602714560718832,3.228052391200642,-0.18717835165246627,0.0,0.0,-0.0502402567927607,0.0,0.2009634387323083,1.0,-10.0
248,0.0,0.0,-6.832756916898548e-06,0.0,0.010048171936615143,8.584239352285856,0.0,0.0,3.8181751026738615,-8.648970599440153,-1.4602714560718832,3.228052391200642,-0.18717835165246627,0.0,0.0,-0.0502402567927607,0.0,0.2009634387323083,1.0,-10.0
312,0.15375473952843813,3.535561870257522,-6.83275691689855e-06,0.0,0.0,0.0,-4.164161482043676,0.0,2.728305453294403,-2.192865817038868,0.0,0.0,-0.18717835165246638,0.0,0.0,-0.05024025679276086,0.0,0.20096343873230918,1.0,-5.830808612980027
313,0.15375473952843746,3.535561870257519,-6.832756916898545e-06,0.0,0.01004817193661522,0.0,-4.164161482043675,0.0,2.7182572813577854,-2.192865817038865,0.0,0.0,-0.187178351652466,0.0,0.0,-0.05024025679276027,0.0,0.20096343873230987,1.0,-5.825784527011722
