M_2ddglcn_e,M_ac_e,M_ala__45__D_e,M_alaala_e,M_arab__45__L_e,M_arg__45__L_e,M_asp__45__L_e,M_buts_e,M_bz_e,M_ca2_e,M_cd2_e,M_cellb_e,M_cgly_e,M_co2_e,M_cobalt2_e,M_cro4_e,M_cu2_e,M_eths_e,M_etoh_e,M_fe2_e,M_fe3_e,M_fru_e,M_fum_e,M_glc__45__D_e,M_gln__45__L_e,M_glu__45__L_e,M_glyc3p_e,M_glyclt_e,M_gthrd_e,M_h2_e,M_h2o_e,M_h_e,M_hexs_e,M_hom__45__L_e,M_ile__45__L_e,M_istnt_e,M_k_e,M_lac__45__L_e,M_leu__45__L_e,M_mal__45__L_e,M_met__45__D_e,M_met__45__L_e,M_mg2_e,M_mn2_e,M_mobd_e,M_mops_e,M_na1_e,M_nh4_e,M_ni2_e,M_no2_e,M_no3_e,M_o2_e,M_orot_e,M_pi_e,M_ppa_e,M_ppn_e,M_pro__45__L_e,M_ptrc_e,M_pyr_e,M_rib__45__D_e,M_so4_e,M_spmd_e,M_succ_e,M_sula_e,M_tsul_e,M_ura_e,M_val__45__L_e,M_zn2_e,M_fixed_uptake,objective,virtual_tag_R_constraint_reaction
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22754998893303163,0.0,0.0,0.0,0.0,0.0,-3.7168824738053676e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2797856542163529,-0.2747321510091743,0.0,0.030598869781900004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14988636415479065,0.0,0.0,0.0,0.0,0.0,-0.010182126236807906,0.0,0.0,0.0,0.0,0.0,0.0,-0.002732969022952707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01093200727589814,0.013599497680844315
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262983810396191,0.0,0.0,0.0,0.0,0.03998287256838251,-3.6425766546544604e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24420518271056899,-0.2992270151433425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11690276602963419,0.0,0.0,0.0,0.0,0.0,-0.009978570908907169,0.0,0.0,0.0,0.0,0.0,0.0,-0.00267833304686368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010713460748983706,0.013327624189460709
0.0,0.0651870389994219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2423832989359272,0.0,0.0,0.0,0.0,0.0,-3.959175036581586e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2654305330695221,-0.2600476069516935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1270634929207196,0.0,0.0,0.0,0.0,0.0,-0.01084586889690374,0.0,0.0,0.0,0.0,0.0,0.0,-0.002911123181236137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011644632460534075,0.01448600866653806
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21630848333615843,0.0,0.0,0.0,0.0,0.0,-3.959175036581586e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29150534866929084,-0.27308501475157787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1270634929207196,0.0,0.0,0.0,0.0,0.0,-0.01084586889690374,0.0,0.0,0.0,0.0,0.05214963119953752,0.0,-0.002911123181236137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011644632460534075,0.01448600866653806
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2956636304891448,0.0,0.0,0.0,0.0,0.0,-3.1403377571855414e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3139442315940947,-0.154559470918337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10078419890304616,0.0,0.0,0.0,-0.10341008819138255,0.0,-0.008602724378621763,0.0,0.0,0.0,0.0,0.0,0.0,-0.002309044171420923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009236287521133946,0.011490009799042395
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23221722819317994,0.0,0.0,0.0,0.0,0.0,-3.6162876422958183e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2965713228657131,-0.275416007716981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13771050351901942,0.0,0.0,0.0,0.0,0.0,-0.009906554092566284,0.0,0.0,0.02165144197450169,0.0,0.0,0.0,-0.0026590031226794934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010636140124399465,0.013231436762195351
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21786088055963138,0.0,0.0,0.0,0.0,0.0,-4.3360471348229676e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3065616719568308,-0.2610040341566546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1391586098944457,0.0,0.0,0.0,0.0,0.0,-0.011878282298852311,0.0,0.0,0.0,0.0,0.0,0.0,-0.0031882316928362863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03172985068515512,0.012753079808302845,0.01586492534257741
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22148055188134338,0.0,0.0,0.0,0.0,0.0,-3.847699422228319e-07,0.0,0.0,0.0,0.0,0.0,0.028156273295134916,0.0,0.0,0.0,0.0,0.3001914083822456,-0.2597647037843995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1516421317833443,0.0,0.0,0.0,0.0,0.0,-0.010540489648119315,0.0,0.0,0.0,0.0,0.0,0.0,-0.00282915680134945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011316763006553878,0.014078136647567322
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10645750149566048,0.0,0.0,0.0,0.0,0.0,-3.762939147797637e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42575146061420804,-0.16041991304988923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2198952966946555,0.0,0.0,0.0,0.0,0.04956484292075703,-0.010308295108689582,0.0,0.0,0.0,0.0,0.0,0.0,-0.0027668338180351936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011067468081757756,0.013768011922432377
