M_2ddglcn_e,M_ac_e,M_ala__45__D_e,M_alaala_e,M_arab__45__L_e,M_arg__45__L_e,M_asp__45__L_e,M_buts_e,M_bz_e,M_ca2_e,M_cd2_e,M_cellb_e,M_cgly_e,M_cit_e,M_co2_e,M_cobalt2_e,M_cro4_e,M_cu2_e,M_eths_e,M_etoh_e,M_fe2_e,M_fe3_e,M_fru_e,M_fum_e,M_glc__45__D_e,M_gln__45__L_e,M_glu__45__L_e,M_glyc3p_e,M_glyclt_e,M_gthrd_e,M_h2_e,M_h2o_e,M_h_e,M_hexs_e,M_hom__45__L_e,M_ile__45__L_e,M_istnt_e,M_k_e,M_lac__45__L_e,M_leu__45__L_e,M_met__45__D_e,M_met__45__L_e,M_mg2_e,M_mn2_e,M_mobd_e,M_mops_e,M_na1_e,M_nh4_e,M_ni2_e,M_no2_e,M_no3_e,M_o2_e,M_orot_e,M_pi_e,M_ppa_e,M_ppn_e,M_pro__45__L_e,M_ptrc_e,M_pyr_e,M_rib__45__D_e,M_so4_e,M_spmd_e,M_succ_e,M_sula_e,M_tsul_e,M_ura_e,M_val__45__L_e,M_zn2_e,M_fixed_uptake,objective,virtual_tag_R_constraint_reaction
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19197296774989797,0.0,0.0,0.0,0.0,0.0,-3.820804518173088e-07,0.0,0.0,0.041939197069087504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36799177239162734,-0.2299895185544067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12262270886247931,0.0,0.0,0.0,0.0,0.0,-0.010466813036026486,0.0,0.0,0.0,0.0,0.0,0.0,-0.0028093813739109336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011237660347567907,0.02096959853454397
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2780897347161823,0.0,0.0,0.0,0.0,0.0,-2.953679802856277e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3493190447310701,-0.1453726391522904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0947937055706295,0.0,0.0,0.0,-0.09726351511189343,0.0,-0.008091388637586325,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021717973225725317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00868729353781258,0.016210585851982404
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24502314055358268,0.0,0.0,0.0,0.0,0.037252213321799586,-3.393804243257449e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28961403505242767,-0.2787910893771056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1089188069365533,0.0,0.0,0.0,0.0,0.0,-0.00929707717997413,0.0,0.0,0.0,0.0,0.0,0.0,-0.002495414351181272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009981777186051321,0.018626106660899987
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2003766015294767,0.0,0.0,0.0,0.0,0.0,-3.988060576619387e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34032555587816077,-0.24005733023501186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12799052887598603,0.0,0.0,0.0,0.0,0.0,-0.01092499870990053,0.0,0.0,0.0,0.0,0.0,0.0,-0.0029323622940385795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04377508916008937,0.011729589931233492,0.021887544580044913
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2146521746672795,0.0,0.0,0.0,0.0,0.0,-3.798049213254123e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3419776216567374,-0.24053104927744864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12189241315724668,0.0,0.0,0.0,0.0,0.0,-0.010404476551385164,0.0,0.0,0.0,0.0,0.0,0.0,-0.0027926497328408556,0.0,0.03573379084546167,0.0,0.0,0.0,0.0,0.0,0.0,0.011170732980159184,0.02084471132651952
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21171434113133752,0.0,0.0,0.0,0.0,0.0,-3.458217368825774e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32358023501451677,-0.2556130044709448,0.0,0.028469434719001332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13945547956472243,0.0,0.0,0.0,0.0,0.0,-0.009473532201209325,0.0,0.0,0.0,0.0,0.0,0.0,-0.002542776375159815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010171227555369925,0.018979623146001084
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21066301960227765,0.0,0.0,0.0,0.0,0.0,-3.572351986016682e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33870350772852753,-0.23865954950655602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11464901579028623,0.0,0.0,0.0,-0.012907092962435411,0.0,-0.009786195592752551,0.0,0.0,0.0,0.0,0.04189162160110476,0.0,-0.0026266978807300365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010506917605931417,0.019606024494199754
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21056627685123913,0.0,0.0,0.0,0.0,0.0,-3.5751692867008783e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005257601892207174,0.0,0.0,0.3384448627697764,-0.2387163259941127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11473943262264003,0.0,0.0,0.0,-0.01278583196858756,0.0,-0.009793913380822446,0.0,0.0,0.0,0.0,0.041661778926844036,0.0,-0.002628769400492234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010515203784414348,0.019621486594921658
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20036566311959456,0.0,0.0,0.0,0.0,0.0,-3.8722271617033144e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33915429813118947,-0.24470287291766016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1242730376915399,0.0,0.0,0.0,0.0,0.0,-0.01060768158690081,0.0,0.0,0.0,0.0,0.017427029408003086,0.0,-0.002847191687483363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.027981115043202075,0.011388903416774454,0.021251819774935878
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20036566311959456,0.0,0.0,0.0,0.0,0.0,-3.8722271617033144e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005694451708387226,0.0,0.0,0.33886957554577013,-0.24470287291766016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1242730376915399,0.0,0.0,0.0,0.0,0.0,-0.01060768158690081,0.0,0.0,0.0,0.0,0.017427029408003086,0.0,-0.002847191687483363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.027696392457782715,0.011388903416774454,0.021251819774935878
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2057217353266043,0.0,0.0,0.0,0.0,0.0,-3.716249936211668e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3389198237832396,-0.24827299748225384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11926719407413738,0.0,0.0,0.0,0.0,0.0,-0.010180393446580083,0.0,0.0,0.0,0.0,0.03015205476005892,0.0,-0.0027325039273620832,0.0,0.013427003718021831,0.0,0.0,0.0,0.0,0.0,0.0,0.010930146871210787,0.020395774985537494
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20566940837223002,0.0,0.0,0.0,0.0,0.0,-3.7177737792156965e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005467314381199553,0.0,0.0,0.3386487487966479,-0.24823811861244371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11931609941753989,0.0,0.0,0.0,0.0,0.0,-0.01018456790244234,0.0,0.0,0.0,0.0,0.030027735707724858,0.0,-0.0027336243867134894,0.0,0.01329582658228114,0.0,0.0,0.0,0.0,0.0,0.0,0.010934628762399107,0.020404138244079554
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20381203824363675,0.0,0.0,0.0,0.0,0.0,-3.603357902970392e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33296384259994877,-0.2537500931634496,0.0,0.008679412632091434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12432351453828472,0.0,0.0,0.0,0.0,0.0,-0.009871134022400405,0.0,0.0,0.0,0.0,0.03357580363871675,0.0,-0.0026494960754967324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010598111479324681,0.019776193270859804
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20377938149246433,0.0,0.0,0.0,0.0,0.0,-3.605905622288321e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005302802385718119,0.0,0.0,0.33275736126232514,-0.2536643645907508,0.0,0.008597169286997743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12432303623578868,0.0,0.0,0.0,0.0,0.0,-0.009878113312139569,0.0,0.0,0.0,0.0,0.033422783006077844,0.0,-0.002651369376044745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010605604771436237,0.019790175836840757
