,M_ac_e,M_co2_e,M_fe2_e,M_glu__45__L_e,M_glyclt_e,M_h2o_e,M_h_e,M_hom__45__L_e,M_mal__45__L_e,M_nh4_e,M_o2_e,M_orot_e,M_pi_e,M_pro__45__L_e,M_pyr_e,M_so4_e,M_succ_e,objective,virtual_tag_R_constraint_reaction,M_fum_e
1,0.0,4.577411614095836,-9.110342555864687e-06,0.0,0.0,0.0,-5.483879869601123,0.0,3.774411483973352,-2.923821089385142,0.0,0.0,-0.24957113553662022,0.0,0.0,-0.06698700905701396,0.0,0.26795125164307754,1.0,-7.774411483973347
3,0.0,4.577411614095842,-9.110342555864697e-06,0.0,0.1500684421629874,0.0,-5.483879869601129,0.0,3.624343041810368,-2.923821089385145,0.0,0.0,-0.24957113553662136,0.0,0.0,-0.06698700905701352,0.0,0.26795125164307915,1.0,-7.699377262891852
8,0.0,7.544862968798043,-9.11034255586469e-06,0.0,0.0,0.0,-4.742017030925574,0.0,5.258137161324455,-2.9238210893851413,-2.225588516026652,0.0,-0.24957113553662189,0.0,0.0,-0.06698700905701434,0.0,0.26795125164307737,1.0,-10.0
10,0.0,7.544862968798043,-9.11034255586469e-06,0.0,0.0,0.0,-6.967605546952228,0.0,0.8069601292711476,-2.9238210893851413,0.0,0.0,-0.24957113553662189,0.0,0.0,-0.06698700905701434,4.451177032053307,0.26795125164307737,1.0,-10.0
15,0.0,7.5448629687980455,-9.110342555864692e-06,0.0,0.0,0.0,-9.193194062978884,2.2255885160266544,3.032548645297801,-5.1494096054117975,0.0,0.0,-0.24957113553661936,0.0,0.0,-0.06698700905701284,0.0,0.26795125164307826,1.0,-10.0
19,0.0,26.51293109250037,-9.110342555864699e-06,0.0,0.0,14.226051092776737,0.0,0.0,0.5161201303988809,-2.9238210893851453,-16.45163960880339,0.0,-0.2495711355366197,0.0,0.0,-0.06698700905700952,0.0,0.26795125164307415,1.0,-10.0
30,0.0,9.178657088312153,-9.110342555864707e-06,0.0,2.45069117927114,0.0,-4.3335685010470595,0.0,3.6243430418103713,-2.923821089385149,-3.450934105662228,0.0,-0.24957113553662044,0.0,0.0,-0.06698700905701367,0.0,0.2679512516430769,1.0,-10.0
34,0.0,4.57741161409584,-9.110342555864692e-06,0.0,0.0,-2.225588516026653,-5.483879869601127,0.0,6.000000000000006,-2.9238210893851426,0.0,0.0,-0.2495711355366207,0.0,0.0,-0.06698700905701471,0.0,0.2679512516430778,1.0,-10.0
41,0.0,6.734664690332085,-9.1103425558647e-06,0.0,0.0,0.0,-6.7675127270905024,0.0,3.6377406043925227,-2.923821089385146,-1.0102910983277031,0.0,-0.24957113553662175,0.0,2.4305948353979057,-0.0669870090570125,0.0,0.2679512516430784,1.0,-10.0
42,0.0,6.741363471623154,-9.110342555864695e-06,0.0,0.013397562582152042,0.0,-6.770862117736035,0.0,3.6243430418103655,-2.923821089385142,-1.0136404889732402,0.0,-0.24957113553662152,0.0,2.4372936166889816,-0.06698700905701324,0.0,0.2679512516430785,1.0,-10.0
