,M_co2_e,M_etoh_e,M_fe2_e,M_fe3_e,M_glu__45__L_e,M_glyclt_e,M_h2o_e,M_h_e,M_hom__45__L_e,M_nh4_e,M_o2_e,M_pi_e,M_pyr_e,M_so4_e,objective,virtual_tag_R_constraint_reaction,M_ac_e
1,3.79203495121804,0.0,16.909216955714786,-16.909223236304612,1.666666666666665,0.0,3.6323049177003752,0.0,0.0,-3.6823231451214324,0.0,-0.17205214026467314,0.0,-0.04618025339111008,0.18472323024320714,1.0,-10.0
2,3.671497624936257,0.36161197884533536,14.739545082642724,-14.73955136323255,1.5461293403848793,0.0,3.993916896545709,0.0,0.0,-3.561785818839651,0.0,-0.17205214026467114,0.0,-0.04618025339110676,0.1847232302432055,1.0,-10.0
3,2.1253682845513784,0.0,6.9092169557147995,-6.909223236304629,0.0,0.0,3.6323049177003752,0.0,0.0,-2.0156564784547712,0.0,-0.1720521402646736,0.0,-0.04618025339110897,0.18472323024320728,1.0,-5.000000000000003
4,2.125368284551374,0.36161197884533847,5.462769040333427,-5.462775320923256,0.0,0.0,3.9939168965457066,0.0,0.0,-2.015656478454767,0.0,-0.17205214026467253,0.0,-0.046180253391111,0.18472323024320492,1.0,-5.361611978845354
5,4.625368284551368,0.0,21.90921695571475,-21.909223236304573,0.0,0.0,1.1323049177003737,0.0,0.0,-2.0156564784547655,0.0,-0.17205214026466975,2.4999999999999916,-0.04618025339111021,0.1847232302432033,1.0,-10.0
6,4.4445622951287165,0.36161197884533636,19.377933103797453,-19.377939384387282,0.0,0.0,1.6747228859683918,0.0,0.0,-2.0156564784547744,0.0,-0.17205214026467236,2.3191940105773323,-0.04618025339110703,0.18472323024320358,1.0,-10.0
7,4.6253682845513735,0.0,21.909216955714783,-21.90922323630461,0.0,0.0,1.1323049177003732,16.143814268506038,0.0,-2.0156564784547712,0.0,-0.17205214026467391,2.499999999999993,-0.046180253391105444,0.18472323024320517,1.0,-10.0
8,4.444562295128713,0.361611978845338,19.37793310379743,-19.37793938438726,0.0,0.0,1.674722885968388,13.431724427166008,0.0,-2.0156564784547726,0.0,-0.17205214026467108,2.3191940105773274,-0.04618025339110555,0.18472323024320486,1.0,-10.0
9,3.4930633668509965,0.0,19.64460712031402,-19.644613400903847,0.0,2.264609835400755,0.0,0.0,0.0,-2.015656478454768,0.0,-0.172052140264673,1.3676950822996172,-0.046180253391109635,0.18472323024320692,1.0,-10.0
10,3.493063366851005,0.0,19.644607120314095,-19.64461340090392,0.0,2.2646098354007624,0.0,15.01150935080571,0.0,-2.015656478454777,0.0,-0.1720521402646713,1.3676950822996188,-0.04618025339110548,0.18472323024320625,1.0,-10.0
11,2.5812666453179194,0.0,16.909216955714804,-16.909223236304637,0.4558983607665371,3.6323049177003752,0.0,0.0,0.0,-2.4715548392213105,0.0,-0.17205214026467242,0.0,-0.04618025339110706,0.18472323024320383,1.0,-10.0
12,2.1253682845513766,0.0,16.909216955714793,-16.90922323630462,0.0,4.999999999999996,-1.3676950822996166,0.0,0.0,-2.0156564784547717,0.0,-0.17205214026467008,0.0,-0.046180253391107616,0.18472323024320336,1.0,-10.0
13,2.1253682845513806,0.0,14.17382679111557,-14.173833071705397,0.0,3.6323049177003806,0.0,0.0,0.0,-2.0156564784547717,0.0,-0.17205214026467122,0.0,-0.04618025339110867,0.18472323024320533,1.0,-8.632304917700381
14,2.125368284551374,0.0,15.08562351264862,-15.085629793238448,0.0,4.088203278466909,0.0,0.0,0.45589836076653717,-2.4715548392213087,0.0,-0.17205214026467375,0.0,-0.046180253391110454,0.1847232302432047,1.0,-10.0
15,2.125368284551378,0.0,0.0,-6.280589828269049e-06,0.0,4.999999999999994,7.08691339555777,0.0,0.0,-2.015656478454771,-4.227304238928695,-0.17205214026467294,0.0,-0.046180253391110544,0.18472323024320542,1.0,-10.0
16,2.1253682845513806,0.0,14.173826791115571,-14.173833071705399,0.0,5.0,0.0,0.0,0.0,-2.0156564784547735,-0.6838475411498091,-0.1720521402646716,0.0,-0.04618025339110958,0.18472323024320403,1.0,-10.0
17,2.1253682845513784,0.0,6.909216955714799,-6.909223236304627,0.0,0.0,6.132304917700376,0.0,2.4999999999999973,-4.515656478454771,0.0,-0.17205214026467322,0.0,-0.046180253391108456,0.18472323024320478,1.0,-10.0
18,4.625368284551375,0.0,0.3841312643733972,-0.38413754496322516,0.0,0.0,11.89484776337107,0.0,0.0,-2.015656478454769,-5.381271422835346,-0.17205214026467178,2.4999999999999973,-0.04618025339110839,0.18472323024320614,1.0,-10.0
19,5.201565181111476,0.0,0.0,-6.280589828269054e-06,0.0,0.0,12.471044659931174,0.0,0.0,-2.0156564784547717,-5.957468319395444,-0.17205214026467333,2.3079343678132997,-0.04618025339110928,0.1847232302432073,1.0,-10.0
20,4.04917138799128,0.0,0.0,-6.280589828269054e-06,0.0,1.1523937931201935,10.93451960243758,0.0,0.0,-2.0156564784547704,-5.189205790648648,-0.17205214026467244,1.9238031034399006,-0.04618025339110914,0.18472323024320667,1.0,-10.0
21,4.62536828455138,0.0,0.0,-6.280589828269056e-06,0.0,0.0,12.08691339555778,-0.2880984482800478,0.0,-2.015656478454772,-5.477304238928698,-0.17205214026467464,2.4999999999999987,-0.04618025339110833,0.18472323024320658,1.0,-10.0
22,4.444562295128705,0.36161197884533797,1.4689672009094168,-1.4689734814992446,0.0,0.0,10.62920583741238,0.0,0.0,-2.015656478454769,-4.477241475721994,-0.17205214026467178,2.319194010577327,-0.04618025339110839,0.18472323024320614,1.0,-10.0
23,2.2411114937645746,0.3616119788453378,0.0,-6.280589828269041e-06,0.0,4.406901602728245,6.956787835138826,0.0,0.0,-2.0156564784547664,-3.742757875267282,-0.1720521402646725,0.11574320921319925,-0.04618025339110931,0.1847232302432054,1.0,-10.0
24,4.444562295128703,0.3616119788453377,0.0,-6.280589828269047e-06,0.0,0.0,11.363689437867082,-1.1017254006820605,0.0,-2.015656478454769,-4.8444832759493455,-0.17205214026467278,2.319194010577324,-0.04618025339110877,0.18472323024320697,1.0,-10.0
25,2.7698394091603147,0.3616119788453382,16.028487331860614,-16.028493612450443,0.0,3.34944577193677,0.0,0.0,0.0,-2.015656478454768,0.0,-0.17205214026467117,0.6444711246089353,-0.04618025339110785,0.18472323024320578,1.0,-10.0
26,2.769839409160314,0.3616119788453368,16.0284873318606,-16.02849361245043,0.0,3.34944577193677,0.0,11.757001541197578,0.0,-2.015656478454767,0.0,-0.1720521402646695,0.6444711246089384,-0.04618025339111014,0.1847232302432027,1.0,-10.0
27,2.3401919927543515,0.36161197884533836,14.739545082642719,-14.739551363232545,0.2148237082029791,3.9939168965457044,0.0,0.0,0.0,-2.2304801866577475,0.0,-0.17205214026467153,0.0,-0.046180253391107845,0.18472323024320617,1.0,-10.0
28,2.1253682845513753,0.36161197884533913,14.739545082642739,-14.739551363232565,0.0,4.638388021154649,-0.6444711246089384,0.0,0.0,-2.015656478454769,0.0,-0.17205214026467142,0.0,-0.046180253391110856,0.1847232302432048,1.0,-10.0
29,2.125368284551377,0.3616119788453372,13.450602833424876,-13.450609114014703,0.0,3.993916896545717,0.0,0.0,0.0,-2.0156564784547717,0.0,-0.1720521402646746,0.0,-0.04618025339110981,0.18472323024320508,1.0,-9.355528875391062
