,M_ac_e,M_co2_e,M_etoh_e,M_fe2_e,M_fum_e,M_glu__45__L_e,M_glyclt_e,M_h2o_e,M_h_e,M_hom__45__L_e,M_nh4_e,M_o2_e,M_orot_e,M_pi_e,M_pro__45__L_e,M_pyr_e,M_so4_e,M_succ_e,objective,virtual_tag_R_constraint_reaction,M_mal__45__L_e
1,0.0,3.4330587105718906,0.0,-6.832756916898542e-06,0.0,0.0,0.0,5.830808612980033,-4.112909902200858,0.0,-2.192865817038864,0.0,0.0,-0.18717835165246574,0.0,0.0,-0.05024025679276034,0.0,0.20096343873230957,1.0,-3.0000000000000053
2,0.0,7.4330587105718955,0.0,-6.832756916898553e-06,0.0,0.0,0.0,8.83080861298004,-6.112909902200865,0.0,-2.192865817038867,0.0,0.0,-0.18717835165246438,0.0,0.0,-0.05024025679275832,6.000000000000001,0.20096343873230865,1.0,-10.0
3,0.0,0.0,0.0,-6.832756916898566e-06,0.0,0.0,0.0,19.7326280551522,-0.6620001811148053,0.0,-9.130387280239324,0.0,3.4687607316002236,-0.1871783516524658,0.0,0.0,-0.05024025679276134,3.5223137631427086,0.20096343873230862,1.0,-10.0
4,0.0,10.433058710571915,0.0,-6.832756916898563e-06,0.0,0.0,0.0,11.08080861298006,-12.862909902200888,5.250000000000012,-7.442865817038884,0.0,0.0,-0.18717835165246505,0.0,0.0,-0.050240256792760264,0.0,0.2009634387323061,1.0,-10.0
5,0.0,0.0,0.0,-6.8327569168985495e-06,0.0,0.0,0.0,23.078826130137724,-2.9515041271575595,2.6417353223570244,-13.181048107853412,0.0,4.173223484228756,-0.18717835165246416,0.0,0.0,-0.05024025679275684,0.0,0.20096343873231007,1.0,-10.0
6,0.0,3.4330587105719017,0.0,-6.832756916898562e-06,6.943724334188891,0.0,0.11255133162224128,12.71825728135782,-4.112909902200869,0.0,-2.1928658170388684,0.0,0.0,-0.18717835165246532,0.0,0.0,-0.05024025679276092,0.0,0.20096343873230815,1.0,-10.0
7,0.0,3.4330587105718906,0.0,-6.832756916898542e-06,0.0,0.0,0.11255133162224043,5.774532947168912,-4.112909902200858,0.0,-2.192865817038864,0.0,0.0,-0.18717835165246574,0.0,0.0,-0.05024025679276034,0.0,0.20096343873230957,1.0,-3.0562756658111265
8,0.0,6.904920877666348,0.0,-6.832756916898562e-06,0.0,0.0,1.8484824151694632,7.510464030716151,-5.848840985748095,0.0,-2.1928658170388684,0.0,0.0,-0.18717835165246532,0.0,0.0,-0.05024025679276092,5.207793250641669,0.20096343873230815,1.0,-10.0
9,0.0,17.32050737894969,6.943724334188895,-6.832756916898562e-06,0.0,0.0,0.11255133162223774,5.774532947168927,-18.00035857057866,0.0,-2.192865817038867,0.0,0.0,-0.18717835165246408,0.0,0.0,-0.050240256792757156,0.0,0.20096343873230618,1.0,-10.0
10,0.0,17.32050737894969,0.0,-6.832756916898562e-06,0.0,0.0,7.056275665811133,12.718257281357822,-0.641047735106424,0.0,-2.192865817038867,-10.41558650128334,0.0,-0.18717835165246408,0.0,0.0,-0.050240256792757156,0.0,0.20096343873230618,1.0,-10.0
