,M_ac_e,M_ca2_e,M_co2_e,M_fe2_e,M_fe3_e,M_for_e,M_gly_e,M_h2_e,M_h2o_e,M_h_e,M_ile__45__L_e,M_k_e,M_leu__45__L_e,M_lys__45__L_e,M_mal__45__L_e,M_mg2_e,M_n2_e,M_pi_e,M_pro__45__L_e,M_so4_e,M_val__45__L_e,objective,virtual_tag_R_constraint_reaction,M_cit_e
0,0.0,-9.180069711477428e-05,17.889740512572477,152.70245910975115,-152.70245910975115,0.0,0.0,-72.71051711646905,1.7652148258252256,132.05336995325462,0.0,-0.02166497193711192,0.0,0.0,4.706892630247505,-0.0031212247755638663,-2.2751286598090337,-0.17353765734243676,3.8876118557121098,-0.01631415076193993,0.0,0.09760559464505604,1.0,-10.0
52,1.5558544104647576,-9.180069711477473e-05,5.556651295701515,19.89029408303233,-19.89029408303233,17.723730790523966,0.8043395514944043,0.7334925077002036,-17.620019760211573,23.184305018019213,0.0,-0.02166497193711108,0.0,0.0,7.038650075494938,-0.003121224775563882,-0.7334925077002036,-0.17353765734244306,0.0,-0.01631415076192943,0.0,0.09760559464509402,1.0,-10.0
73,0.0,-9.180069711477409e-05,5.871257157606767,22.508105776844666,-22.508105776844666,22.150851189126485,0.0,0.8358890273648363,-19.581296811806848,26.644448350027243,0.0,-0.0216649719371047,0.0,0.5045662954118344,6.276466048229718,-0.0031212247755638607,-0.8358890273648363,-0.1735376573424299,0.0,-0.016314150761934047,0.0,0.09760559464509548,1.0,-10.0
74,0.0,-9.180069711477482e-05,6.257529724501631,21.50665838119162,-21.50665838119162,19.733071048192436,0.0,0.8215826359983736,-18.136351283793072,24.29820016592561,0.0,-0.02166497193710403,0.0,0.490259904045367,6.8058025287893305,-0.003121224775563885,-0.8215826359983736,-0.1735376573424427,0.0,-0.01631415076192863,0.0,0.09760559464509984,1.0,-10.0
75,0.0,-9.180069711477459e-05,6.223501552516956,21.498973186021104,-21.498973186021104,21.684365368840187,0.0,0.8168487898021342,-18.14375887582227,24.816585544007115,0.0,-0.021664971937110516,0.0,0.0,5.848060703068753,-0.0031212247755638776,-0.8168487898021342,-0.1735376573424417,0.9710521156982539,-0.01631415076192907,0.0,0.09760559464509476,1.0,-10.0
76,0.0,-9.180069711477496e-05,6.599786638646521,20.526138573100912,-20.526138573100912,19.279811891622224,0.0,0.8030822622608146,-16.739573066607225,22.522164287119768,0.0,-0.02166497193711185,0.0,0.0,6.38954411969422,-0.0031212247755638897,-0.8030822622608146,-0.17353765734243337,0.9435190606156115,-0.016314150761939383,0.0,0.09760559464509604,1.0,-10.0
77,0.0,-9.180069711477404e-05,9.487315608058294,21.49897318602097,-21.49897318602097,24.085021988205188,0.0,1.046124983786442,-18.656258603551795,22.523823604163855,0.0,-0.02166497193709939,1.4296045036668708,0.0,3.5013514234645897,-0.0031212247755638585,-1.046124983786442,-0.17353765734244078,0.0,-0.01631415076193717,0.0,0.09760559464510206,1.0,-10.0
78,0.0,-9.180069711477408e-05,9.771059036826705,20.52613857310072,-20.52613857310072,21.612400680366186,0.0,1.0258575960172729,-17.237541459709753,20.294410949554916,0.0,-0.021664971937111466,1.3890697281285367,0.0,4.109373056539763,-0.0031212247755638602,-1.0258575960172729,-0.17353765734243812,0.0,-0.016314150761938803,0.0,0.09760559464509828,1.0,-10.0
102,0.0,-9.180069711477432e-05,8.394088634666,23.51723836766841,-23.51723836766841,22.655417484538386,0.0,0.835889027364845,-19.076730516395052,25.63531575920362,1.009132590823679,-0.021664971937109773,0.0,0.0,4.762767161994204,-0.0031212247755638685,-0.835889027364845,-0.17353765734243493,0.0,-0.016314150761928277,0.0,0.0976055946450899,1.0,-10.0
103,0.0,-9.180069711477409e-05,8.708829244728413,22.487178189282186,-22.487178189282186,20.223330952237646,0.0,0.8215826359983686,-17.64609137974756,23.317680357834686,0.9805198080907274,-0.021664971937101048,0.0,0.0,5.335022816653185,-0.0031212247755638607,-0.8215826359983686,-0.17353765734243393,0.0,-0.016314150761933766,0.0,0.09760559464510113,1.0,-10.0
