,M_ac_e,M_co2_e,M_fe2_e,M_glu__45__L_e,M_glyclt_e,M_h2o_e,M_h_e,M_mal__45__L_e,M_nh4_e,M_orot_e,M_pi_e,M_pro__45__L_e,M_pyr_e,M_so4_e,objective,virtual_tag_R_constraint_reaction,M_fum_e
0,0.0,6.866117421143774,-1.3665513833797063e-05,0.0,0.0,1.6616172259600355,-8.225819804401707,4.000000000000003,-4.3857316340777235,0.0,-0.3743567033049329,0.0,0.0,-0.10048051358552018,0.40192687746461936,1.0,-10.0
13,0.0,7.0711237405150245,-1.3665513833797062e-05,0.0,0.0,1.9691267050169134,-8.635832443144208,3.487484201571876,-4.385731634077721,0.0,-0.3743567033049332,0.0,0.6150189581137504,-0.10048051358552204,0.4019268774646179,1.0,-10.0
14,0.0,7.0711237405150245,-1.3665513833797062e-05,0.0,0.020096343873229495,1.9590785330802973,-8.635832443144208,3.477436029635262,-4.385731634077721,0.0,-0.3743567033049332,0.0,0.6150189581137504,-0.10048051358552204,0.4019268774646179,1.0,-10.0
25,0.0,8.301161656742527,-1.3665513833797067e-05,0.0,0.020096343873230373,3.189116449307801,-9.86587035937171,2.8624170715215103,-5.000750592191476,0.0,-0.3743567033049312,0.6150189581137492,0.0,-0.10048051358552075,0.40192687746461697,1.0,-10.0
26,0.0,8.301161656742527,-1.3665513833797067e-05,0.0,0.0,3.1991646212444174,-9.86587035937171,2.8724652434581235,-5.000750592191476,0.0,-0.3743567033049312,0.6150189581137492,0.0,-0.10048051358552075,0.40192687746461697,1.0,-10.0
31,0.0,6.866117421143774,-1.3665513833797063e-05,0.0,0.2251026632444793,1.549065894337796,-8.225819804401707,3.8874486683777625,-4.3857316340777235,0.0,-0.3743567033049329,0.0,0.0,-0.10048051358552018,0.40192687746461936,1.0,-10.0
43,0.0,7.071123740515032,-1.366551383379708e-05,0.20500631937124877,0.02009634387322947,1.9590785330802987,-8.430826123772968,3.6824423490065175,-4.590737953448981,0.0,-0.3743567033049317,0.0,0.0,-0.1004805135855204,0.40192687746462,1.0,-10.0
44,0.0,7.071123740515032,-1.366551383379708e-05,0.20500631937124877,0.0,1.9691267050169146,-8.430826123772968,3.6924905209431307,-4.590737953448981,0.0,-0.3743567033049317,0.0,0.0,-0.1004805135855204,0.40192687746462,1.0,-10.0
55,0.0,5.84108582428752,-1.3665513833797065e-05,0.0,0.0,3.8141835793581675,-7.405794526916704,3.4874842015718763,-5.615769550305227,0.6150189581137522,-0.3743567033049332,0.0,0.0,-0.10048051358552115,0.4019268774646174,1.0,-10.0
56,0.0,5.84108582428752,-1.3665513833797065e-05,0.0,0.02009634387322872,3.8041354074215548,-7.405794526916704,3.477436029635261,-5.615769550305227,0.6150189581137522,-0.3743567033049332,0.0,0.0,-0.10048051358552115,0.4019268774646174,1.0,-10.0
67,0.307509479056874,7.071123740515027,-1.366551383379707e-05,0.0,0.0,1.6616172259600366,-8.328322964087338,3.7949936806287536,-4.385731634077727,0.0,-0.3743567033049323,0.0,0.0,-0.10048051358552103,0.40192687746461936,1.0,-10.0
68,0.307509479056874,7.071123740515027,-1.366551383379707e-05,0.0,0.02009634387323001,1.6515690540234202,-8.328322964087338,3.7849455086921404,-4.385731634077727,0.0,-0.3743567033049323,0.0,0.0,-0.10048051358552103,0.40192687746461936,1.0,-10.0
