,M_ac_e,M_ca2_e,M_cit_e,M_co2_e,M_fe2_e,M_fe3_e,M_for_e,M_gly_e,M_h2_e,M_h2o_e,M_h_e,M_ile__45__L_e,M_k_e,M_leu__45__L_e,M_lys__45__L_e,M_mg2_e,M_nh4_e,M_pi_e,M_pro__45__L_e,M_so4_e,M_val__45__L_e,objective,virtual_tag_R_constraint_reaction,M_mal__45__L_e
0,0.0,-0.0007560461605625611,0.0,0.0,925.9185694787604,-925.9185694787604,0.0,0.0,-494.04197056466796,37.78611663272931,912.247566358715,0.0,-0.17842695498564975,1.3894418276784204,0.0,-0.025705578301518383,-6.846813879809628,-1.4292100568986934,0.0,-0.13435901288399268,0.0,0.8038537549292815,1.0,-10.0
1,0.0,-0.0007560461605624437,0.0,0.0,522.9804394518824,-522.9804394518824,8.336650966070266,0.0,-280.06792910211846,23.891698355939635,516.2566454702311,0.0,-0.17842695498562205,0.0,0.0,-0.02570557830151439,-5.457372052130351,-1.4292100568986088,0.0,-0.13435901288397178,0.0,0.8038537549291873,1.0,-10.0
2,0.0,-0.000756046160562517,1.3894418276782912,0.0,773.0799684340682,-773.0799684340682,0.0,0.0,-409.2860190762487,30.838907494334528,762.1878489693805,0.0,-0.17842695498563937,0.0,0.0,-0.025705578301516877,-5.457372052130861,-1.429210056898672,0.0,-0.1343590128839848,0.0,0.8038537549294342,1.0,-10.0
3,0.0,-0.0007560461605625289,0.0,0.0,836.9942925072936,-836.9942925072936,0.0,0.0,-449.57983207893324,37.786116632727726,823.3232893872488,1.3894418276785119,-0.17842695498564218,0.0,0.0,-0.025705578301517283,-6.846813879809499,-1.4292100568986492,0.0,-0.13435901288398694,0.0,0.8038537549293702,1.0,-10.0
4,0.0,-0.000756046160562471,0.0,0.0,834.2154088518726,-834.2154088518726,0.0,0.0,-446.80094842354185,37.78611663272487,820.5444057318289,0.0,-0.1784269549856285,0.0,1.38944182767816,-0.025705578301515312,-8.236255707487238,-1.4292100568986494,0.0,-0.13435901288397661,0.0,0.8038537549292084,1.0,-10.0
5,0.0,-0.0007560461605624225,0.0,0.0,710.5550861884454,-710.5550861884454,0.0,0.0,-378.02357795343477,30.14418658049163,699.6629667237596,0.0,-0.1784269549856171,0.0,0.0,-0.025705578301513668,-5.457372052130104,-1.4292100568986394,0.0,-0.13435901288396804,0.0,0.8038537549292238,1.0,-7.915837258482507
6,0.0,-0.0007560461605623667,0.0,0.0,846.4424969353263,-846.4424969353263,0.0,0.0,-453.47026919633583,37.230339901648485,833.0493821808203,0.0,-0.17842695498560396,0.0,0.0,-0.025705578301511774,-7.1247022453435624,-1.429210056898463,0.0,-0.13435901288395813,1.667330193213793,0.8038537549289787,1.0,-10.0
7,0.0,-0.000756046160562375,0.0,0.0,698.0501097392968,-698.0501097392968,0.0,4.168325483034715,-371.77108972885884,32.228349322007126,687.1579902746112,0.0,-0.1784269549856059,0.0,0.0,-0.025705578301512058,-9.625697535164626,-1.429210056898422,0.0,-0.13435901288395963,0.0,0.8038537549292224,1.0,-10.0
8,4.168325483034864,-0.0007560461605624107,0.0,0.0,856.4464780946595,-856.4464780946595,0.0,0.0,-455.1375993895764,32.228349322008654,845.5543586299736,0.0,-0.1784269549856143,0.0,0.0,-0.02570557830151327,-5.457372052129921,-1.4292100568986053,0.0,-0.13435901288396593,0.0,0.8038537549291774,1.0,-10.0
9,0.0,-0.000756046160562443,0.0,0.0,862.0042454054098,-862.0042454054098,0.0,0.0,-459.58381323816656,37.23033990165218,848.6111306509022,0.0,-0.17842695498562194,0.0,0.0,-0.02570557830151437,-7.124702245344448,-1.4292100568985935,1.6673301932139482,-0.1343590128839717,0.0,0.8038537549293198,1.0,-10.0
11,0.0,-0.0007560461605624023,0.0,8.336650966069787,456.2872317232943,-456.2872317232943,0.0,0.0,-238.38467427175368,23.891698355938473,441.2267867755737,0.0,-0.17842695498557312,0.0,0.0,-0.02570557830151298,-5.457372052129991,-1.4292100568985504,0.0,-0.13435901288396443,0.0,0.8038537549292433,1.0,-10.0
